นิติบุคคลจัดตั้งเดือนเมษายน  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน", ทุนจดทะเบียน ,รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
"1,123",0105558066261,บจ.มัชรูม อินทีเรียร์ อาร์คิเทคเจอร์ จำกัด,20/4/2558," 1,000,000 ",รับจ้างออกแบบงานสถาปัตยกรรมทั้งภายในและภายนอก,99/361 ซอยราษฎร์พัฒนา 22  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
"1,124",0105558066287,บจ.ซอฟทรี (ไทยแลนด์) จำกัด,20/4/2558," 1,000,000 ",ประกอบกิจการจำหน่ายไอศกรีม,19/19 ถนนหัวหมาก  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
"1,125",0105558066414,บจ.เน็ตฟอร์ซ จำกัด,20/4/2558," 1,000,000 ",จัดจำหน่ายโปรแกรมคอมพิวเตอร์และให้บริการดูแลหลังการขายทั้งในประเทศและต่างประเทศ,251/150 ซอยรามคำแหง 112  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
"1,126",0105558066520,บจ.บี.กริม โซลาร์ เพาเวอร์ (สระแก้ว) 1 จำกัด,20/4/2558," 1,000,000 ",ประกอบกิจการทำการผลิตและจำหน่ายกระแสไฟฟ้าและระบบผลิตไฟฟ้าจากพลังงานแสงอาทิตย์,88 ถนนกรุงเทพกรีฑา  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
"1,127",0105558066554,บจ.พีเอ็ม เพอร์เฟคชั่น จำกัด,20/4/2558," 1,000,000 ",ประกอบกิจการด้านอาหาร,192 ซอยนวมินทร์ 3 ถนนนวมินทร์  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
"1,128",0105558066597,บจ.รวิกิจ เอ็นจิเนียริ่ง จำกัด,21/4/2558," 1,000,000 ",ประกอบกิจการให้บริการซ่อมแซมบำรุงรักษาตรวจสอบอุปกรณ์เครื่องจักรโรงงานรวมทั้งบริการติดตั้งตรวจสอบแก้ไ,12 หมู่บ้านพฤกษชาติ ซอยรามคำแหง 118 แยก 23-2-1 ถนนสุขาภิบาล 3  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
"1,129",0105558066783,บจ.ซี ที อิมพอร์ต จำกัด,21/4/2558," 1,000,000 ",ประกอบธุรกิจนำเข้าส่งออก และจำหน่ายรถยนต์ทุกชนิด,22/126 ถนนคลองลำเจียก  แขวงนวมินทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10240
"1,130",0105558066848,บจ.โรดไบค์ จำกัด,21/4/2558," 1,000,000 ",ค้า รถจักรยาน อุปกรณ์ตกแต่ง รวมทั้งอะไหล่และอุปกรณ์เสริมเกี่ยวกับสินค้าดังกล่าว,110/263 ซอยโพธิ์แก้ว แยก 4-1-2 ถนนนวมินทร์  แขวงนวมินทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10240
"1,131",0105558066945,บจ.กฎหมายสุกใส จำกัด,21/4/2558," 1,000,000 ",ให้บริการด้านกฎหมาย,65 ซอยนักกีฬาแหลมทอง 48  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
"1,132",0105558066961,บจ.เอ็นที เพาเวอร์ กรุ๊ป จำกัด,21/4/2558," 1,000,000 ",ประกอบกิจการค้าวัสดุก่อสร้าง อุปกรณ์และเครื่องมือใช้ในการก่อสร้าง รวมทั้งอะไหล่ของอุปกรณ์สินค้า,152/14 ซอยรามคำแหง 110 ถนนรามคำแหง  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
"1,133",0105558067160,บจ.โกลบอล พลาส อินเตอร์เทรด จำกัด,21/4/2558," 1,000,000 ",จำหน่ายเม็ดพลาสติก พลาสติก หรือสิ่งอื่นซึ่งมีลักษณะคล้ายคลึงกัน,12 ซอยรามคำแหง83/3(อเล็กซานเดอร์)  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
"1,134",0105558067356,บจ.สื่อทำดี จำกัด,22/4/2558," 1,000,000 ",ให้บริการรับจ้างทำโฆษณา ประชาสัมพันธ์ ทุกประเภทรับออกแบบโฆษณา ทางวิทยุ โทรทัศน์ และสื่อทุกประเภท,10/105 ซอยกรุงเทพกรีฑา 7  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
"1,135",0105558067500,บจ.เอสวันเค มีเดีย จำกัด,22/4/2558," 1,000,000 ",ประกอบกิจการพัฒนาและจำหน่ายซอฟต์แวร์,10/1266 หมู่ที่ 6 ซอยโพธิ์แก้ว แยก 1 ถนนนวมินทร์  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240
"1,136",0105558067666,บจ.ป๊อปคอร์น แฟคทอรี่ จำกัด,22/4/2558," 1,000,000 ",ประกอบกิจการรับทำโฆษณา จัดอีเว้น ประสัมพันธ์ ทำโปรดักชั่น วางแผนสื่อและซื้อสื่อประชาสัมพันธ์,1/95 หมู่บ้านแฮปปี้แลนด์แกรนด์วิลล์ ซอยลาดพร้าว 101 ซอย53 ถนนลาดพร้าว 101  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
"1,137",0105558067674,บจ.เอสอาร์ รุ่งเจริญ ทรานสปอร์ต จำกัด,22/4/2558," 1,000,000 ",ขนส่งและขนถ่ายสินค้า ทั้งภายในประเทศและระหว่างประเทศ,118 ซอยหัวหมาก 5  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
"1,138",0105558067763,บจ.นาโนเฮิร์บ (ประเทศไทย) จำกัด,22/4/2558," 1,000,000 ",ผลิต จำหน่าย นำเข้า ส่งออก และรับทำงานวิจัยเกี่ยวกับสมุนไพร,23 ซอยรามคำแหง 16 ถนนรามคำแหง  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
"1,139",0105558067992,บจ.ทาเลนท์ มีเดีย จำกัด,22/4/2558," 1,000,000 ",รับจัดงานอีเว้นท์ งาน Organizer เวทีคอนเสิร์ต การออกแบบฉากเวที และงานมัลติมีเดียทุกประเภท,15 ซอยกรุงเทพกรีฑา 7  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
"1,140",0105558068255,บจ.เวิร์กกิ้ง แวร์ เอ็กซ์เพรซ จำกัด,23/4/2558," 1,000,000 ",ประกอบกิจการค้าเสื้อผ้า ผ้าสิ่งทอทำจากด้ายและวัสดุอุปกรณ์จากการตัดเย็บเสื้อผ้า,4/623 ซอยเสรีไทย 57  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240
"1,141",0105558068751,บจ.วายอาร์ซี เซอร์วิส เซ็นเตอร์ จำกัด,23/4/2558," 1,000,000 ",การซ่อมคอมพิวเตอร์และอุปกรณ์สื่อสาร,19/7 ซอยลาดพร้าว 107  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
"1,142",0105558068859,บจ.เกรทคอมพาเนียน จำกัด,23/4/2558," 1,000,000 ",ประกอบกิจการสถานพยาบาล คลินิกรักษาโรค,37/129 ซอยรามคำแหง 98 ถนนรามคำแหง  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
"1,143",0105558068913,บจ.ฟารุก กรีน เทค จำกัด,23/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคารพาณิชย์อาคารที่พักอาศัยสถานที่ทำการและงานก่อสร้างอื่น,99/17 ถนนนวมินทร์  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
"1,144",0105558069022,บจ.เอาท์โกรว์ วู้ด ซัพพลาย บี จำกัด,23/4/2558," 1,000,000 ",ใหบริการทางด้านวิศวกรรม การจัดซื้อ จัดจ้าง และการก่อสร้าง (EPC) ที่เกี่ยวกับพลังงานแสงอาทิตย์,9/15 โครงการเวิร์ค แอท ไลฟ์ ซอยนวมินทร์ 36 ถนนนวมินทร์  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240
"1,145",0105558069031,บจ.เอาท์โกรว์ เอ จำกัด,23/4/2558," 1,000,000 ",ประกอบกิจการให้บริการทางด้านวิศวกรรม การจัดซื้อ และการก่อสร้าง (EPC) ที่เกี่ยวกับพลังงานแสงอาทิตย์,9/15 โครงการเวิร์ค แอท ไลฟ์ ซอยนวมินทร์ 36 ถนนนวมินทร์  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240
"1,146",0105558069057,บจ.เอาท์โกรว์ วู้ด ซัพพลาย เอ จำกัด,23/4/2558," 1,000,000 ",ประกอบกิจการด้านวิศวกรรม การจัดซื้อ จัดจ้าง และการก่อสร้าง (EPC) ที่เกี่ยวกับพลังงานแสงอาทิตย์,9/15 โครงการเวิร์ค แอท ไลฟ์ ซอยนวมินทร์ 36 ถนนนวมินทร์  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240
"1,147",0105558069294,บจ.เจ พี พร็อพเพอร์ตี้ (ประเทศไทย) จำกัด,24/4/2558," 1,000,000 ",ประกอบกิจการเป็นตัวแทน นายหน้า ค้าอสังหาริมทรัพย์,390 ถนนรามคำแหง  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
"1,148",0105558069391,บจ.เอเชีย เอ็มพาวเวอร์ คอนเน็ค จำกัด,24/4/2558," 1,000,000 ",ประกอบกิจการสั่งเข้ามาจำหน่ายในประเทศและส่งออกไปจำหน่ายยังต่างประเทศ,1056/79 ถนนรามคำแหง  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
"1,149",0105558069456,บจ.ไฟฟ์ อินเตอร์เนชั่นแนล จำกัด,24/4/2558," 1,000,000 ",ปรับปรุงตกแต่งอาคาร,289/208 ถนนประชาราษฎร์พัฒนา  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
"1,150",0105558069553,บจ.เอ็มไอโอ (ไทยแลนด์) จำกัด,24/4/2558," 1,000,000 ",ประกอบกิจการค้านำเข้าเครื่องสำอางครีมบำรุงอาหารเสริมสุขภาพทุกชนิด,55/8 หมู่บ้านทาวน์พลัสเกษตรนวมินทร์ หมู่ที่ 9  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240
"1,151",0105558069901,บจ.เอาท์โกรว์ บี จำกัด,24/4/2558," 1,000,000 ",ให้บริการด้านวิศกรรม การจัดซื้อ จัดจ้าง และการก่อสร้าง (EPC)ที่เกี่ยวกับพลังงานแสงอาทิตย์,9/15 โครงการเวิร์ค แอท ไลฟ์ ซอยนวมินทร์ 36 ถนนนวมินทร์  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240
"1,152",0105558070055,บจ.สตาร์ ซาลูน จำกัด,27/4/2558," 1,000,000 ",ประกอบกิจการบริการให้เช่าอสังหาริมทรัพย์และสังหาริมทรัพย์,556 ซอยรามคำแหง 24  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
"1,153",0105558070063,บจ.คิว อาร์ ซาลูน จำกัด,27/4/2558," 1,000,000 ",บริการให้คำปรึกษาออกแบบ ตัดแต่งทรงผม สีผม เสริมความงามทุกส่วนของร่างกาย,556 ซอยรามคำแหง 24  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
"1,154",0105558070080,บจ.เอ็ม ซี ซาลูน จำกัด,27/4/2558," 1,000,000 ",ประกอบกิจการบริการให้คำปรึกษา ออกแบบ ตัดแต่งทรงผม สีผม เสริมความงาม ทุกส่วนของร่างกาย,3522 ถนนลาดพร้าว  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
"1,155",0105558070101,บจ.9 สเทรท แอนด์ ซัพพลาย จำกัด,27/4/2558," 1,000,000 ",ประกอบกิจการจำหน่ายวัสดุก่อสร้างและอุปกรณ์ เหล็ก เครื่องตกแต่งอาคาร สุขภัณฑ์ ทุกประเภท,240/5 หมู่บ้านสัมมากร ซอยรามอินทรา 110  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
"1,156",0105558070250,บจ.บีจี ทีม แอนด์ มีเดีย จำกัด,27/4/2558," 1,000,000 ",ให้บริการจัดกิจกรรมส่งเสริมการตลาดธุรกิจ การประชาสัมพันธ์ และกิจกรรมพิเศษทุกประเภท,6/60 ซอยลาดพร้าว 101 ซอย 42  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
"1,157",0105558070403,บจ.ซีแมน เอ็นเตอร์ไพรส์ จำกัด,27/4/2558," 1,000,000 ",นำเข้า จำหน่าย สินค้าเกี่ยวกับ หูฟัง ลำโพง แอมป์ขยายเสียง เครื่องเสียงและอะไหล่อิเล็กทรอนิกส์,438/1 ถนนรามคำแหง  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
"1,158",0105558070446,บจ.ดีเอ็น อีเว้นท์ โชว์ ซิสเต็ม จำกัด,27/4/2558," 1,000,000 ",ประกอบกิจการบริการ รับจัดทำ ออกแบบ ตกแต่งติดตั้งเกี่ยวกับ งานแสดงสินค้า งานอีเว้นท์,73/27 ซอยเสรีไทย 43 แยก 3 ถนนเสรีไทย  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240
"1,159",0105558070551,บจ.บี.เอ.เค. พาร์ทเนอร์ จำกัด,27/4/2558," 1,000,000 ",ประกอบกิจการ สถานพยาบาลคลินิกเวชกรรมเสริมความงาม,422 ซอยลาดพร้าว 107 (ดีสมโชค)  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
"1,160",0105558070632,บจ.ซี.เอส ลิงค์ คอมมูนิเคชั่น จำกัด,27/4/2558," 1,000,000 ",รับเหมา ติดตั้ง วางระบบ พร้อมบำรุงรักษา โครงข่ายใยแก้วนำแสง,137 ซอยลาดพร้าว 115 (ศานตินิเวศ)  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
"1,161",0105558070772,บจ.ดับเบิ้ลยู อินโนเวชั่น เซอร์วิส จำกัด,27/4/2558," 1,000,000 ",ประกอบกิจการบริหารลูกค้าสัมพันธ์(ซีอาร์เอ็ม) ให้แก่บุคคล คณะบุคคล นิติบุคคล ส่วนราชการ องค์การของรัฐ,110/22 ซอยโพธิ์แก้ว แยก 4-4 ถนนนวมินทร์  แขวงนวมินทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10240
"1,162",0105558070900,บจ.เวิร์ค พลัส แอสเสท จำกัด,28/4/2558," 1,000,000 ",ประกอบกิจการบริหารจัดการนิติบุคคลอาคารชุด นิติบุคคลหมู่บ้านจัดสรร,51/99 หมู่ที่ 9  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240
"1,163",0105558071728,บจ.ซีซีพี แล็บบอราทอรี่ จำกัด,29/4/2558," 1,000,000 ",ประกอบกิจการผลิต จำหน่าย เครื่องสำอางทุกชนิดทุกประเภท,77/539 ถนนนวมินทร์  แขวงนวมินทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10240
"1,164",0105558072333,บจ.ไอพีซี เทคโนโลยี แอนด์ แมททีเรียล จำกัด,29/4/2558," 1,000,000 ",ประกอบกิจการจำหน่ายและนำเข้าเคมีภัณฑ์เกี่ยวกับสิ่งแวดล้อมและที่ใช้ในโรงงานอุตสาหกรรม,140/135 ซอยรามคำแหง 60/3  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
"1,165",0105558072686,บจ.เพอร์เฟค สมาร์ท ไลฟ์ จำกัด,29/4/2558," 1,000,000 ",ประกอบกิจการด้านที่พักอาศัย ห้องพักให้เช่า ค่าน้ำประปา ค่าไฟฟ้า ค่าโทรศัพท์ และอินเทอร์เน็ต,1215 ถนนรามคำแหง  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
"1,166",0105558072741,บจ.เนทูลี่ จำกัด,29/4/2558," 1,000,000 ",ผลิตนำเข้าส่งออกจำหน่ายผลิตภัณฑ์อาหารเสริมเครื่องสำอางเวชสำอางอุปกรณ์ดูแลสุขภาพและความงามทุกชนิด,99/792 ซอยราษฎร์พัฒนา 22  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
"1,167",0105558072759,บจ.พีเค. คอนเน็คติ้ง ซิสเท็ม จำกัด,29/4/2558," 1,000,000 ",ให้บริการออกแบบวางระบบติดตั้งซ่อมแซมบำรุงรักษารับเป็นที่ปรึกษาเกี่ยวกับระบบคอมพิวเตอร์ระบบไฟฟ้าฯ,199/493 หมู่บ้านกลางเมือง ซอยนวมินทร์ 42  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240
"1,168",0105558073721,บจ.ฮอลิไฮ (ประเทศไทย) จำกัด,30/4/2558," 1,000,000 ",ประกอบกิจการจำหน่ายเสื้อผ้า เครื่องแต่งกาย รองเท้า กระเป๋าของเล่นของใช้เกี่ยวกับเด็ก,249 อาคาร24HOUSE ชั้นที่ 2 ห้องเลขที่ 210 ซอยโยธินพัฒนา  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
"1,169",0105558073771,บจ.นูนู (ประเทศไทย) จำกัด,30/4/2558," 1,000,000 ",จำหน่ายเสื่อผ้า เครื่องแต่งกาย รองเท้า กระเป๋า ของเล่น ของใช้เกี่ยวกับเด็ก,249 อาคาร24 HOUSE ชั้นที่ 1 ห้องเลขที่ 112 ซอยโยธินพัฒนา  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
"1,170",0105558057351,บจ.แมทไซโซลูชั่น จำกัด,1/4/2558," 1,000,000 ",รับติดตั้งพื้นอีพ็อกซี งานเคลือบพื้น งานก่อสร้าง งานปูน งานกระเบื้อง,62/155 หมู่บ้านคัฟเวอร์ อ่อนนุช 65 ซอยอ่อนนุช 65 แยก 15-2  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
"1,171",0105558057369,บจ.บีคอนเฮ้าส์ เอ็ดดูเคชั่น เซอร์วิสเซส จำกัด,1/4/2558," 1,000,000 ",ประกอบธุรกิจรับจ้างบริหารงานเกี่ยวกับธุรกิจโรงเรียนหรือสถานศึกษา,166 ซอยพัฒนาการ 78 ถนนพัฒนาการ  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
"1,172",0105558057687,บจ.ทีม เอ โฮลดิ้ง 2 จำกัด,1/4/2558," 1,000,000 ",ประกอบกิจการซื้อขายอสังหาริมทรัพย์รวมทั้งให้คำปรึกษาและจัดหาแหล่งเงินทุนในการทำธุรกิจอสังหาริมทรัพย์,978 ถนนศรีนครินทร์  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
"1,173",0105558057831,บจ.ฟูจิ เทคโนโลยี แอนด์ อินโนเวชั่น จำกัด,1/4/2558," 1,000,000 ",ประกอบกิจการเป็นตัวแทนจำหน่ายหลอดไฟฟ้าหลอดปล่อยประจุหลอดไส้หลอดฟลูออเรสเซนต์,11/1 ซอยเฉลิมพระเกียรติ ร.9 ซ.15  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
"1,174",0105558057881,บจ.เอชแอล เวลเนส จำกัด,1/4/2558," 1,000,000 ",ผลิตและจำหน่ายผลิตภัณฑฺ์ที่ได้จากสมุนไพรทุกชนิดจากพืขไร่จากพืชผลทางการเกษตรทุกชนิด,100/19 ถนนเฉลิมพระเกียรติ ร.9  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
"1,175",0105558058071,บจ.โจ๊กเกอร์ จำกัด,1/4/2558," 1,000,000 ",ประกอบกิจการบริการรับงานแสดง จัดหานักร้องนักดนตรี นักแสดง,152/163 หมู่บ้านพลัสซิตี้พาร์คศรีนครินทร์สวนหลวง ถนนเฉลิมพระเกียรติ ร.9  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
"1,176",0105558058136,บจ.เอเอพี (ไทยแลนด์) จำกัด,1/4/2558," 1,000,000 ",รับเหมาติดตั้งอุปกรณ์ไฟฟ้า อิเล็คทรอนิกส์ เครื่องจักรกลทุกประเภทให้แก่บุคคล คณะบุคคล นิติบุคคล ส่วนร,760/459 หมู่บ้านวิลเลตซิตี้ ซอยพัฒนาการ 38  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
"1,177",0105558058187,บจ.บัฟฟาโล่ อิงลิช จำกัด,2/4/2558," 1,000,000 ",กิจการบริการรับจัดอบรมและสัมมนา ให้แก่ บุคคล นิติบุคคลส่วนราชการและองค์กรต่างๆ,418/1 ถนนกาญจนาภิเษก  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250
"1,178",0105558058438,บจ.ทีทีเค ซีเคียวริตี้ เซอร์วิสเซส จำกัด,2/4/2558," 1,000,000 ",จำหน่าย บริการ ติดตั้ง ซ่อมแซม กล้องวงจรปิด อุปกรณ์รักษาความปลอดภัย,38 ซอยพัฒนาการ 50  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
"1,179",0105558058578,บจ.อิสรีย์ คอนสตรัคชั่น 2015 จำกัด,2/4/2558," 1,000,000 ",รับเหมาก่อสร้างงานปูนงานสีงานเหล็กงานไม้งานไฟฟ้าประปารับถมดินรับทุบตึกรื้อถอนทุกชนิดทุกประเภท,11 ซอยอ่อนนุช 65 แยก 6  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
"1,180",0105558058977,บจ.สตาร์ ไลท์ ดีเวลลอปเม้นท์ จำกัด,2/4/2558," 1,000,000 ",ประกอบกิจการค้า เครื่องใช้ไฟฟ้า อุปกรณ์ไฟฟ้า รวมทั้งอะไหล่ และอุปกรณ์ของสินค้าดังกล่าว,805 อาคารนครา (21 ทาวเวอร์) ชั้นที่ 16 ถนนศรีนครินทร์  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
"1,181",0105558058985,บจ.เลิฟ พิกเซล (ประเทศไทย) จำกัด,2/4/2558," 1,000,000 ",ประกอบกิจการรับจ้าง จัดงานอีเว้นท์ ออกแบบ และติดตั้งบูธแสดงสินค้า,58/559 อาคารฟิวส์โมเบียส ชั้นที่ 26 ห้องเลขที่ 559 ซอยรามคำแหง 3 (สองพี่น้อง)  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
"1,182",0105558059281,บจ.ยูนิตี้ แลนด์มาร์ค จำกัด,3/4/2558," 1,000,000 ",ประกอบกิจการซื้อขายจัดสรรและพัฒนาที่ดินอสังหาริมทรัพย์และสังหาริมทรัพย์,39 ซอยศรีนครินทร์ 52 ถนนศรีนครินทร์  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
"1,183",0105558059329,บจ.เพื่อนบัญชี จำกัด,3/4/2558," 1,000,000 ",ให้บริการงานด้านบัญชีและภาษีอากรวางระบบบัญชีตรวจสอบบัญชีจดทะเบียนนิติบุคคลทุกประเภท,183 ซอยรามคำแหง 2 ซอย 14  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250
"1,184",0105558059531,บจ.เอพีพี ชุลีพร จำกัด,3/4/2558," 1,000,000 ",ประกอบธุรกิจเป็นตัวแทนจำหน่ายรถยนต์มือสองทุกยี่ห้อ,94 ถนนศรีนครินทร์  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
"1,185",0105558059574,บจ.ดี ชัวร์ คาร์ จำกัด,3/4/2558," 1,000,000 ",ประกอบกิจการ ซื้อ ขาย แลกเปลี่ยนรถยนต์ทุกชนิด,890/2 ถนนศรีนครินทร์  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
"1,186",0105558059701,บจ.แสงอารี มาร์ท จำกัด,3/4/2558," 1,000,000 ",ประกอบกิจการร้านขายปลีกขนาดเล็กร้านสะดวกซื้อมินิมาร์ท,22 ซอยพรีเมียร์ 1 แยก 4 ถนนศรีนครินทร์  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
"1,187",0105558059744,บจ.แสงอารี คอร์เนอร์ จำกัด,3/4/2558," 1,000,000 ","การบริการเครื่องดื่มชนิดต่างๆ เช่น กาแฟ,ชา,น้ำผลไม้เป็นต้น และการบริการจัดอาหารและเครื่องดื่ม",22 ซอยพรีเมียร์ 1 แยก 4 ถนนศรีนครินทร์  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
"1,188",0105558059752,บจ.พีเอ็ม เอ็กซ์เซลเล้นท์ จำกัด,3/4/2558," 1,000,000 ",ประกอบกิจการการลงทุนการให้เช่าพื้นที่ในอาคารและนอกอาคารและบริการเกี่ยวกับอสังหาริมทรัพย์,51 ซอยเฉลิมพระเกียรติ ร.9 ซอย 62 แยก 6  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250
"1,189",0105558059779,บจ.เดอะ มัสแตง นีโร จำกัด,3/4/2558," 1,000,000 ",ให้บริการจัดงานเดินแฟชั่นโชว์ต่างๆ เดินแบบโฆษณา รับถ่ายแบบโฆษณาฯลฯ,1104/160 หมู่บ้านโนเบิล คิวบ์ ถนนพัฒนาการ  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
"1,190",0105558060581,บจ.คอนเนค เอ็นเนอร์ยี่ จำกัด,7/4/2558," 1,000,000 ",รับออกแบบอุปกรณ์ไฟฟ้า เครื่องมือเครื่องใช้ที่เกี่ยวกับไฟฟ้าทุกชนิดรวมทั้งติดตั้งและซ่อมบำรุงรักษา,678/37 หมู่บ้านดิเอ็กซ์คลูซีฟ พัฒนาการ ซอยพัฒนาการ 44  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
"1,191",0105558060629,บจ.เคพีเอ พรีเมี่ยม คอนซัลแทนท์ จำกัด,7/4/2558," 1,000,000 ",ประกอบกิจการเกี่ยวกับบัญชีการทำบัญชีและการตรวจสอบบัญชีการให้คำปรึกษาด้านภาษี,36 ซอยหมู่บ้านมิตรภาพ  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
"1,192",0105558060653,บจ.วิวัฒนาคอนสตรัคชั่น จำกัด,7/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง และ วางระบบไฟฟ้า ประปา,399 ซอยพัฒนาการ30 ถนนพัฒนาการ  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
"1,193",0105558060696,บจ.ศรีจันทร์โอสถ จำกัด,7/4/2558," 1,000,000 ",ประกอบกิจการ จำหน่าย นำเข้า ส่งออก เครื่องสำอาง,1193 ถนนพระราม 9  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
"1,194",0105558060777,บจ.เกรย์ กราฟฟิค จำกัด,7/4/2558," 1,000,000 ",กิจการโรงพิมพ์ ออกแบบสิ่งพิมพ์ รับจ้างจัดทำเกี่ยวกับสิ่งพิมพ์ทุกชนิด,426 ถนนรามคำแหง 2 ซอย8  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250
"1,195",0105558060955,บจ.สุนตาล อินเตอร์เทรด แอนด์ เซอร์วิส จำกัด,7/4/2558," 1,000,000 ",จำหน่ายผลไม้อบแห้ง เครื่องอุปโภค บริโภคทุกชนิด,49 ซอยอ่อนนุช 17 แยก 21  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
