นิติบุคคลจัดตั้งเดือนกุมภาพันธ์  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์เดิม,ที่ตั้งสำนักงานใหญ่
286,0105558022751,บจ.เอเชียน โฮเทล แมเนจเม้นท์ จำกัด,5/2/2558," 2,000,000 ",ประกอบธุรกิจรวมถึงบริหารจัดการงานด้านโรงแรม รีสอร์ท สปา ภัตตาคาร บาร์ ไนท์คลับ,98 อาคารสาทรสแควร์ ชั้นที่ 37 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
287,0105558023537,บจ.ฮาดี้ อินเตอร์เนชั่นแนล จำกัด,6/2/2558," 2,000,000 ",ค้า ทอง นาก เงิน เพชร พลอย อัญมณี วัตถุทำเทียมสิ่งดังกล่าว,987 อาคารรามาจิวเวลรี่ ชั้น 6 ห้อง 602 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
288,0105558023707,บจ.วานดา (ไทย) จำกัด,6/2/2558," 2,000,000 ",ประกอบกิจการจำหน่ายสินค้าอุปโภคบริโภค,491/13 อาคารสีลมพลาซ่า ชั้นที่ 2 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
289,0105558024673,บจ.ฮาเซีย ไมสัน จำกัด,9/2/2558," 2,000,000 ",เข้าเป็นหุ้นส่วนจำกัดความรับความรับผิดชอบในห้างหุ้นส่วน และเป็นผู้ถือหุ้นในบริษัทจำกัดอื่น,990 อาคารอับดุลราฮิม เพลส ชั้นที่ 31 ห้องเลขที่ 3101 ถนนพระราม 4  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
290,0105558025491,บจ.เฟอร์ริส วีล จำกัด,10/2/2558," 2,000,000 ",ประกอบกิจการจำหน่ายโปรแกรมและอุปกรณ์เพื่อใช้ในการบริหารข้อมูลศูนย์การค้าและลูกค้าทั่วไป,160 ซอยจินดาถวิล  แขวงมหาพฤฒาราม เขตบางรัก กรุงเทพมหานคร 10500
291,0105558025891,บจ.199 ดิจิตอล จำกัด,10/2/2558," 2,000,000 ",จัดทำพัฒนาควบคุมจัดจำหน่ายให้บริการประชาสัมพันธ์โฆษณา แอพพลิเคชั่นบนโทรศัพท์มือถือ เครื่องมือสื่อสาร,1 ห้องเลขที่ 0838 ชั้นที่ 8 อาคารซิลลิคเฮ้าส์ ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
292,0105558026374,บจ.อารี อีซี่ ฟู้ด จำกัด,11/2/2558," 2,000,000 ",ประกอบกิจการค้า จำหน่าย อาหารสำเร็จรูป,119 อาคารบีไอเอส ชั้นที่ 9 ห้องเลขที่ 9 เอ ถนนมเหสักข์  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
293,0105558027435,บจ.โอซีเค เทคโนโลยี (ประเทศไทย) จำกัด,12/2/2558," 2,000,000 ",นำวัสดุที่ไม่ต้องการใช้แล้วนำกลับมาใช้ซ้ำ,942/43 อาคารชาญอิสสระทาวเวอร์ ชั้นที่ 1 ถนนพระราม 4  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
294,0105558028423,บจ.แรมส์ โซลูชั่นส์ จำกัด,13/2/2558," 2,000,000 ",ให้คำปรึกษาด้านเทคโนโลยีสารสนเทศ,98 อาคารสาทรสแวร์ ชั้น 37 เลขที่ห้องแคมปัส 07 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
295,0105558028776,บจ.บูโร โอเล เชียเรน (ไทยแลนด์) จำกัด,13/2/2558," 2,000,000 ",ประกอบธุรกิจให้บริการด้านสถาปัตยกรรม,2 อาคารเค.ซี.ซี. ชั้นที่ 3 ซอยสีลม 9 (ซอยศึกษาวิทยา) ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
296,0105558030029,บจ.คิโอโตะ (ไทยแลนด์) จำกัด,17/2/2558," 2,000,000 ",ประกอบกิจการเป็นตัวแทนจัดหาวัตถุดิบสำหรับใช้ในงานเย็บกระเป๋าผ้าคาดศีรษะ,149/27-28 อาคารพรภิวัฒน์ ชั้นที่ 5 เอ ซอยแองโกลพลาซ่า ถนนสุรวงศ์  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
297,0105558030321,บจ.แม็คซิมอส จำกัด,17/2/2558," 2,000,000 ",ประกอบกิจการเครื่องพิมพ์ อุปกรณ์การพิมพ์ เครื่องมือสื่อสาร คอมพิวเตอร์รวมอุปกรณ์ของสินค้าดังกล่าว,74/66 ชั้น 7 ถนนทรัพย์  แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500
298,0105558031092,บจ.ลากูน พาราไดซ์ จำกัด,18/2/2558," 2,000,000 ",ประกอบธุรกิจบริการรับเป็นที่ปรึกษาและให้คำแนะนำปัญหาเกี่ยวกับด้านบริหาร งาน พาณิชยกรรม,990 อาคารอับดุลราฮิม เพลส ชั้น 31 ห้อง 3110 ถนนพระราม 4  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
299,0105558031963,บจ.คอร์ปอเรท คอนเน็ค จำกัด,19/2/2558," 2,000,000 ",ให้บริการรับจ้างงานแสดงต่างๆ (EVENT),160/728 ช29 อาคารไอทีเอฟ สีลมพาเลซ ชั้นที่ 29 ถนนสีลม  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
300,0105558035373,บจ.รอยัล อินเตอร์เน็ต อินเตอร์เนชั่นแนล (ไทยแลนด์) จำกัด,25/2/2558," 2,000,000 ",ให้บริการ รับออกแบบเว็บไซต์ และรับทำแบบสอบถาม,160/782-3 อาคารไอทีเอฟ สีลมพาเลซ ชั้นที่ 31 ถนนสีลม  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
301,0103558004221,หจ.ไอ ชาห์ เพอร์ฟูมส์ แอนด์ เทรด,18/2/2558," 2,000,000 ",จำหน่ายชิ้นไม้กฤษณา ไม้หอม ทุกชนิด,6 หมู่ที่ 8  แขวงแสนแสบ เขตมีนบุรี กรุงเทพมหานคร 10510
302,0105558019327,บจ.วัน สแลช วัน สตูดิโอ จำกัด,2/2/2558," 2,000,000 ",ประกอบกิจการค้าผลิต นำเข้า ส่งออกเครื่องประดับ,18/111 ซอยรามคำแหง 174  แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510
303,0105558020317,บจ.สยาม บากู จำกัด,2/2/2558," 2,000,000 ",ประกอบกิจการนำเข้า-ส่งออกสินค้าอุปโภคบริโภคทุกชนิด,159/85 หมู่บ้านบ้านราชพฤกษ์ ถนนสุวินทวงศ์  แขวงแสนแสบ เขตมีนบุรี กรุงเทพมหานคร 10510
304,0105558022018,บจ.อัล-เฟย์ฮะ อินเตอร์เนชั่นแนล จำกัด,4/2/2558," 2,000,000 ",ประกอบกิจการค้าผ้าทอ จากใยสังเคราะห์ เครื่องนุ่งห่ม เสื้อผ้าสำเร็จรูป เครื่องแต่งกายเครื่องประดับ,160/83 ซอยคุ้มเกล้า 14  แขวงแสนแสบ เขตมีนบุรี กรุงเทพมหานคร 10510
305,0105558032536,บจ.ก.วัชรพรดีไซน์แอนด์บิวท์ จำกัด,20/2/2558," 2,000,000 ",รับเหมาก่อสร้างอาคาร อาคารพาณิชย์อาคารที่พักอาศัยสถานที่ราชการถนนสะพานเขื่อนเป็นต้น,79/2 ถนนนิมิตใหม่  แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510
306,0105558020945,บจ.สอเสมอ เซอร์วิส จำกัด,3/2/2558," 2,000,000 ",ประกอบกิจการรับจ้าง รับเหมา วางระบบ ติดตั้งแก๊สแอลพีจี เอ็นจีวีให้แก่รถทุกประเภท,935 ถนนลาดกระบัง  แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520
307,0105558026901,บจ.ไคชัน (ประเทศไทย) จำกัด,11/2/2558," 2,000,000 ",ประกอบกิจการนำเข้าและจำหน่ายเครื่องอัดลม อะไหล่ และอุปกรณ์,959/1 ถนนลาดกระบัง  แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520
308,0105558030339,บจ.เคทีดี บอดี้ จำกัด,17/2/2558," 2,000,000 ",ประกอบกิจการซื้อขาย ติดตั้ง ซ่อมแซม บำรุงรักษา ตู้ห้องเย็น-ร้อนทุกชนิด รวมถึงอะไหล่ต่างๆ,3/12 หมู่ที่ 7  แขวงลำผักชี เขตหนองจอก กรุงเทพมหานคร 10530
309,0103558004697,หจ.แอลซีพี ฐิติพรรณ,23/2/2558," 2,000,000 ",ประกอบกิจการโรงแรม ภัตตาคาร บาร์ ไนท์คลับ ร้านอาหารโดยจำหน่ายอาหารและเครื่องดื่ม,32/417-418 ถนนประชาอุทิศ  แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140
310,0105558027150,บจ.เจ แอนด์ แอล รอยยิ้ม ทราเวล (ประเทศไทย) จำกัด,12/2/2558," 2,000,000 ",ประกอบกิจการธุรกิจนำเที่ยวและมัคคุเทศน์ ทั้งในประเทศและต่างประเทศกิจการสำหรับการบริการท่องเที่ยว,51/212 ถนนราษฎร์บูรณะ  แขวงบางปะกอก เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140
311,0105558021704,บจ.ดี.ดับเบิ้ลยู. อิมปอร์ต เอ็กซ์ปอร์ต จำกัด,4/2/2558," 2,000,000 ",นำเข้า ส่งออก จำหน่ายเครื่องใช้ไฟฟ้า อุปกรณ์ไฟฟ้าทุกชนิด,759 ถนนบางขุนเทียน-ชายทะเล  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
312,0105558023863,บจ.ดับเบิ้ลดีเครื่องจักรสิ่งพิมพ์ จำกัด,6/2/2558," 2,000,000 ",นำเข้ามาจำหน่ายสินค้าประเภทเครื่องจักรเครื่องมือเครื่องพิมพ์และอุปกรณ์เครื่องใช้,1/6 ซอยสะแกงาม 50  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
313,0105558027273,บจ.แคนแนล แมนูแฟคเจอริ่ง (ไทยแลนด์) จำกัด,12/2/2558," 2,000,000 ",ออกแบบ ผลิต ประกอบ จำหน่าย นำเข้า ส่งออก หมวกผ้า หมวกขนสัตว์,200 ซอยพระรามที่ 2 ซอย 69  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
314,0105558028504,บจ.ชันต๋า อินดัสตรี้ จำกัด,13/2/2558," 2,000,000 ",ประกอบกิจการจำหน่าย สกรู น๊อต อะไหล่ อุปกรณ์ เครื่องจักร เหล็ก ทองเหลือง ทองแดงทุกชนิด,567 ถนนสะแกงาม  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
315,0105558029080,บจ.เสริมโชค (1990) จำกัด,16/2/2558," 2,000,000 ",ประกอบกิจการนำเข้า ใบชา สมุนไพร เครื่องเทศ จากต่างประเทศ,71 ซอยพระรามที่ 2 ซอย 78  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
316,0105558033478,บจ.ฟินเคล จิวเวลรี่ จำกัด,23/2/2558," 2,000,000 ",การผลิตเครื่องประดับจากอัญมณีและโลหะมีค่า  เช่น ไข่มุก เพชร พลอย เงิน ทอง,6 ซอยอนามัยงามเจริญ 25  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150
317,0105558034008,บจ.เบสท์  พลาสติกแวร์  โปรดักส์ จำกัด,23/2/2558," 2,000,000 ",ประกอบกิจการผลิตและจำหน่าย เม็ดพลาสติก พลาสติก ชิ้นส่วนพลาสติก,"135,137 ซอยเอกชัย 94  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150"
318,0105558035926,บจ.ไอคอนสตีล จำกัด,26/2/2558," 2,000,000 ",ประกอบกิจการค้า ซื้อ ขาย นำเข้า  ส่งออก ผลิต เหล็ก เครื่องจักรและอุปกรณ์ทุกชนิด,38/1 ซอยเทียนทะเล 30 ถนนบางขุนเทียน-ชายทะเล  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150
319,0105558020198,บจ.ซัน เอเซีย ฮอลิเดย์ จำกัด,2/2/2558," 2,000,000 ",การดำเนินธุรกิจการท่องเที่ยว จัดการท่องเที่ยวภายในประเทศ และต่างประเทศ,82/273 ถนนกัลปพฤกษ์  แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160
320,0105558020490,บจ.อาร์.เอส.เอ (2015) จำกัด,3/2/2558," 2,000,000 ",ประกอบกิจการผลิตเสื้อผ้าสำเร็จรูปเพื่อจำหน่ายขายส่งขายปลีก,50 ซอยเทอดไท 53  แขวงปากคลองภาษีเจริญ เขตภาษีเจริญ กรุงเทพมหานคร 10160
321,0105558031408,บจ.ซุปเปอร์โซโซ จำกัด,18/2/2558," 2,000,000 ",ประกอบกิจการนำเข้า ส่งออก ขายปลีก ขายส่ง เครื่องอุปโภคบริโภคและงานภาพเขียนและศิลปะทุกชนิด,"162/724 ห้องเลขที่ 818,823 ชั้น จี ถนนเพชรเกษม  แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160"
322,0105558031751,บจ.แอมเบอร์สมาร์ทอินชัวรันส์โบรคเกอร์ จำกัด,19/2/2558," 2,000,000 ",ประกอบกิจการเป็นนายหน้าประกันวินาศภัยโดยตรง และการประกันภัยต่อ,27 ซอยเพชรเกษม 21 ถนนเพชรเกษม  แขวงปากคลองภาษีเจริญ เขตภาษีเจริญ กรุงเทพมหานคร 10160
323,0105558032471,บจ.แว่น มีคุณ จำกัด,19/2/2558," 2,000,000 ",ประกอบกิจการขายแว่นตาพร้อมเลนส์ ทุกชนิด,10 ซอยพุทธมณฑล สาย 1 ซอย 11  แขวงคลองขวาง เขตภาษีเจริญ กรุงเทพมหานคร 10160
324,0105558034393,บจ.เจนัส พร็อพเพอร์ตี้ จำกัด,24/2/2558," 2,000,000 ",ประกอบกิจการซื้อขาย เช่า เช่าซื้อ จำนอง จำนำ ขายฝาก ที่ดิน ที่ดินพร้อมสิ่งปลูกสร้าง,30 ซอยเพชรเกษม 77/2  แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160
325,0105558035098,บจ.มาสเตอร์ แอนด์ เมย์เฮม จำกัด,24/2/2558," 2,000,000 ",ให้บริการเป็นที่ปรึกษาด้านการตลาด การบริหารงาน ของกิจการประเภทโรงแรมร้านอาหาร ผับ บาร์ ทุกประเภท,599/298 หมู่บ้านพฤกษาวิลล์ 42 ถนนเทอดไท  แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160
326,0103558004557,หจ.วีคอมพิวเตอร์ แอนด์เซอร์วิส,20/2/2558," 2,000,000 ",ประกอบกิจการติดตั้งและจำหน่ายอุปกรณ์คอมพิวเตอร์,25 ซอยทุ่งมังกร 14  แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170
327,0105558027168,บจ.ยูวา เอสเตท จำกัด,12/2/2558," 2,000,000 ",ซื้อขายที่ดิน อสังหาริมทรัพย์และสังหาริมทรัพย์,64 ซอย19 ถนนพุทธมณฑลสาย 2  แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170
328,0105558036892,บจ.ซี.เอส.เอส. โกลเบิล เอ็นจิเนียริ่ง จำกัด,27/2/2558," 2,000,000 ",ประกอบกิจการค้ากล้องวงจรปิดอุปกรณ์รักษาความปลอดภัยอุปกรณ์ไฟฟ้าอุปกรณ์ระบบเครือข่ายจานดาวเทียม,211/6 ถนนศาลาธรรมสพน์  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170
329,0105558021551,บจ.หยก อินเตอร์เนชั่นแนล จำกัด,4/2/2558," 2,000,000 ",ประกอบกิจการค้าผ้า ผ้าทอจากใยสังเคราะห์ด้าย ด้ายยางยืดเส้นใยไนล่อน,131 ถนนตะนาว  แขวงบวรนิเวศ เขตพระนคร กรุงเทพมหานคร 10200
330,0105558022476,บจ.ฟูหยง ฟลาวเวอร์ จำกัด,5/2/2558," 2,000,000 ",ประกอบกิจการค้าดอกไม้สด ดอกไม้แห้ง ดอกไม้ประดิษฐ์,10-12 ถนนจักรเพชร  แขวงวังบูรพาภิรมย์ เขตพระนคร กรุงเทพมหานคร 10200
331,0105558030355,บจ.ทีแอลวีบีเคเค จำกัด,17/2/2558," 2,000,000 ",นายหน้าตัวแทนจำหน่ายตั๋วเครื่องบินทุกประเภท ตั๋วรถไฟ ตั๋วรถทัวร์ ตั๋วเรือรับจองโรงแรมที่พัก,53 ถนนจักรพงษ์  แขวงชนะสงคราม เขตพระนคร กรุงเทพมหานคร 10200
332,0105558030525,บจ.เอเคเอ็น กรุ๊ป จำกัด,18/2/2558," 2,000,000 ",ประกอบกิจการขายอาหารและเครื่องดื่ม,557 ถนนมหาไชย  แขวงสำราญราษฎร์ เขตพระนคร กรุงเทพมหานคร 10200
333,0105558021071,บจ.สกายไลน์ ฟาวเดชั่น จำกัด,3/2/2558," 2,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย,98/38 ซอยสุขาภิบาล 5 ซ.32(วัดพรฯ)  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
334,0105558025874,บจ.ดับเบิ้ล จี แอร์ จำกัด,10/2/2558," 2,000,000 ",ดำเนินธุรกิจการบินไม่ว่าจะเป็นการประจำหรือเป็นการชั่วคราวด้วยอากาศยานหรือยานพาหนะอื่นใด,161/370 หมู่ที่ 9 ซอยวิภาวดีรังสิต 76  แขวงสนามบิน เขตดอนเมือง กรุงเทพมหานคร 10210
335,0105558026277,บจ.แอล โซลูชั่น 35 จำกัด,11/2/2558," 2,000,000 ",ประกอบกิจการนำเข้าและส่งออก ขายส่ง ขายปลีก เครื่องใช้ไฟฟ้า,41 ซอยสรณคมน์ 7 (ท่านผู้หญิงเชิญฯ) ถนนสรณคมน์  แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210
336,0105558030860,บจ.ชัยกร ก่อสร้าง จำกัด,18/2/2558," 2,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,20/779 ซอยพหลโยธิน 54/1  แขวงคลองถนน เขตสายไหม กรุงเทพมหานคร 10210
337,0105558024444,บจ.เอิร์ธ เทค คอนสตรัคชั่น จำกัด,9/2/2558," 2,000,000 ",รับเหมาก่อสร้างทุกชนิดและให้คำปรึกษาเกี่ยวกับงานก่อสร้างออกแบบตกแต่งภายในภายนอก,77/73 ถนนกาญจนาภิเษก  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
338,0105558028946,บจ.ด็อกซ์แอนด์โค จำกัด,16/2/2558," 2,000,000 ",ประกอบกิจการผลิตสื่อโฆษณา สื่อสิ่งพิมพ์ ผลิตรายการทีวี,9/272 ซอยสุขาภิบาล 5 ซอย 28  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
339,0105558029811,บจ.วงศ์พัฒน์การช่าง จำกัด,17/2/2558," 2,000,000 ",ประกอบกิจการรับเหมาก่อสร้างทุกประเภท,55/57 ซอยรามอินทรา 34 แยก 20  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
340,0105558036311,บจ.ซิสเต็ม โลจิสติกส์ เอเชีย จำกัด,26/2/2558," 2,000,000 ",ออกแบบ ผลิต นำเข้า ส่งออกและขายอุปกรณ์สำหรับคลังสินค้า,4/194 ซอยลาดปลาเค้า 66  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
341,0105558019360,บจ.อริสรากรุ๊ป จำกัด,2/2/2558," 2,000,000 ",ประกอบกิจการงานรับเหมาก่อสร้างทุกชนิด,55/238 ถนนคลองลำเจียก  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
342,0105558023197,บจ.เมดิคแมนไทย จำกัด,6/2/2558," 2,000,000 ",เครื่องมือแพทย์,60/288 ซอยรามอินทรา 40 แยก 33-5 ถนนรามอินทรา  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
343,0105558025343,บจ.คิโนะคุนิ อินทีเรีย จำกัด,10/2/2558," 2,000,000 ",ประกอบกิจการเกี่ยวกับการออกแบบภายใน,17 ซอยนาคนิวาส 48 แยก 15 ถนนนาคนิวาส  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
344,0105558025408,บจ.ออโต้ เอกซิบิชั่น คอร์ปอเรชั่น จำกัด,10/2/2558," 2,000,000 ",ให้บริการจัดอบรม สัมนา เผยแพร่ความรู้,115/66 ซอยรามอินทรา 40  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
345,0105558025742,บจ.โชคชัยรักษา จำกัด,10/2/2558," 2,000,000 ",สถานพยาบาลฟอกไตเทียม,1 ถนนโชคชัย 4  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
346,0105558026218,บจ.สหมิตรกฎหมาย จำกัด,11/2/2558," 2,000,000 ",ประกอบกิจการบริการทางด้านกฎหมายทางบัญชีทางวิศวกรรมทางสถาปัตยกรรมรวมกิจการโฆษณา,24 ซอยลาดพร้าววังหิน 27 ถนนลาดพร้าววังหิน  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
347,0105558026846,บจ.ไจแอนท์ แบงค็อค จำกัด,11/2/2558," 2,000,000 ",ประกอบกิจการขายปลีกขายส่ง  ดูแล บำรุงรักษา ซ่อมแซม จักรยาน อะไหล่และอุปกรณ์,629 ถนนประดิษฐ์มนูธรรม  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
348,0105558026854,บจ.เซ็นทริก (ประเทศไทย) จำกัด,11/2/2558," 2,000,000 ",การจัดหาน้ำและกระจาายน้ำสำหรับใช้ในครัวเรือนและอุตสาหกรรม ผ่านระบบปะปา,456/12 ถนนนวลจันทร์  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
349,0105558033605,บจ.เอ เจ ฮาโกเน่ คอนซัลติ้ง จำกัด,23/2/2558," 2,000,000 ",ให้บริการนายหน้าตัวแทนในการจัดหารถเช่า จองห้องพัก และรับส่งผู้โดยสาร,87 ซอยเสรีไทย 81/2  แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230
350,0105558034067,บจ.โอติก เน็ตเวิร์ค จำกัด,23/2/2558," 2,000,000 ",ซื้อมาขายไป นำเข้า ส่งออก อุปกรณ์คอมพิวเตอร์ทุกชนิด,177 ซอยโชคชัย 4 ซอย 54 แยก 4 ถนนโชคชัย 4  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
351,0105558034695,บจ.คยุม อินเตอร์เนชั่นแนล จำกัด,24/2/2558," 2,000,000 ",นำเข้า-ส่งออก ผ้าทอมือ พรม กระเป๋า รองเท้าและเครื่องประดับที่ทำมาจากงานฝีมือต่างๆ,403/83 ถนนสุคนธสวัสดิ์  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
352,0105558035675,บจ.ดีไซน์ ฟิวเจอร์ กรุ๊ป จำกัด,25/2/2558," 2,000,000 ",ประกอบกิจการให้บริการดูแลงานรักษาสวน บริการงานออกแบบ จัดสวน และปรับภูมิทัศน์,113/7 ซอยโชคชัย 4 ซอย 20 ถนนโชคชัย 4  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
353,0105558037601,บจ.แล็ปสตอรี่ (ไทยแลนด์) จำกัด,27/2/2558," 2,000,000 ",ประกอบกิจการสั่งเข้ามาจำหน่ายในประเทศ เครื่องมือแพทย์ เครื่องมือที่ใช้ในทางวิทยาศาสตร์,58/375 ซอยรามอินทรา 68  แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230
354,0105558021348,บจ.ไทยเกอร์ เอ็นจิเนียริ่งแอนด์เซอร์วิส จำกัด,4/2/2558," 2,000,000 ",ประกอบิจการรับเหมาก่อสร้างทุกชนิด,19/177 ซอยราษฎร์พัฒนา 15  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
355,0105558023910,บจ.คานาอัน ควีน จำกัด,6/2/2558," 2,000,000 ",นำเข้าจำหน่ายผลิตภัณฑ์อุปโภคบริโภคทั่วไป,161 หมู่บ้านศิขริน ซอยรามคำแหง 24 แยก 30  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
356,0105558024479,บจ.ดับเบิ้ลยูบี เมเนจเมนต์ จำกัด,9/2/2558," 2,000,000 ",ประกอบกิจการรับจัดงานเลี้ยงงานอีเว้นท์งานแต่งงานในและนอกสถานที่ตลอดจนให้เช่าซื้อขายชุดแต่งงาน,52/255 ซอยกรุงเทพกรีฑา 13/1  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
357,0105558025025,บจ.เคาน์ทรี้ พิคส์ อิมพอร์ต แอนด์ เอ็กซ์พอร์ต เทรดดิ้ง จำกัด,9/2/2558," 2,000,000 ",นำเข้า ขายส่ง ขายปลีก อาหาร,14 ซอยรามคำแหง 89  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
358,0105558025611,บจ.ไฮฮา อินเตอร์เทรด จำกัด,10/2/2558," 2,000,000 ",ซื้อมา-ขายไปนำเข้า-ส่งออกจัดซื้อ-จัดหาสินค้าและเครื่องใช้ประเภทเครื่องใช้ไฟฟ้า,64 หมู่บ้านศิขริน ซอยรามคำแหง 24 แยก 30  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
359,0105558028687,บจ.เอสจี กรุ๊ป อินเตอร์เนชั่นแนล จำกัด,13/2/2558," 2,000,000 ",ประกอบกิจการค้า นำเข้าส่งออก เครื่องอุปโภคบริโภคทุกชนิด เช่น กระเป๋า รองเท้า อาหารกระป๋อง,107/110 อาคารชุดเอแบคคอนโดทาวน์ อาคารบี ชั้นที่ 8 ซอยรามคำแหง 24 แยก 34 (โรงเรียนคลองกะจะ) ถนนรามคำแหง  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
360,0105558028881,บจ.อาฟเตอร์เทสต์ จำกัด,16/2/2558," 2,000,000 ",จำหน่ายอาหารทุกชนิด เครื่องดื่มทุกชนิด สถานบันเทิง บาร์ ไนท์คลับ สุรา เบียร์ ยาสูบ,145 ซอยนวธานี 3 ถนนเสรีไทย  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240
361,0105558033541,บจ.ออลโมเดิร์นเทคโนโลยี จำกัด,23/2/2558," 2,000,000 ",ประกอบกิจการซื้อขาย นำเข้าส่งออก วิเคราะห์ ติดตั้งบำรุงรักษาอุปกรณ์เครือข่ายคอมพิวเตอร์,83/61 ซอยลาดพร้าว 101 ซอย 46 (กิตติจิต)  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
362,0105558034636,บจ.สตูดิโอ ไฮฟ์ เวิร์คช็อป จำกัด,24/2/2558," 2,000,000 ",รับทำ ออกแบบกราฟฟิค ดีไซน์ อาร์เวิร์ค,289 ซอยลาดพร้าว 107 (ดีสมโชค)  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
