นิติบุคคลจัดตั้งเดือนมิถุนายน  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
257 ,0105558101660,บจ.มายเมเนจ จำกัด,22/6/2558," 2,000,000 ",ประกอบกิจการศิลปะความบันเทิง และการแข่งขันกีฬาทุกชนิด,6 ซอยลาดพร้าว 66 ถนนลาดพร้าว  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
258 ,0105558092491,บจ.เจ ฟิตเนส จำกัด,8/6/2558," 2,000,000 ",ประกอบกิจการสถานที่ออกกำลังกาย ฟิตเนส และเครื่องออกกำลังกาย พร้อมผู้ฝึกสอน,456/1-2 ซอยลาดพร้าว 94 (ปัญจมิตร)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
259 ,0105558097204,บจ.แอมป์ โซล่าร์ (ประเทศไทย) จำกัด,16/6/2558," 2,000,000 ",โรงผลิตพลังงานไฟฟ้า โรงผลิตเซลล์แสงอาทิตย์ โรงผลิตพลังงานแสงอาทิตย์ แผงเซลล์แสงอาทิตย์ และอุปกรณ์,57 อาคารปาร์คเวนเชอร์ อีโคเพล็กซ์ ชั้น 18 ยูนิต 1833เอฟ ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
260 ,0105558097166,บจ.โกลบอล ฟูดส์ ยูนิเวอร์เซล (ประเทศไทย) จำกัด,16/6/2558," 2,000,000 ",ส่งออกผลิตภัณฑ์อาหารทานเล่น,598 อาคารคิวเฮาส์เพลินจิต ชั้นที่ 6 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
261 ,0105558104944,บจ.ไซเอนซ์ (ประเทศไทย) จำกัด,29/6/2558," 2,000,000 ",ประกอบกิจการส่งออกและจำหน่ายชุดชั้นใน เครื่องแต่งกายและสินค้าเสริมความงามและสินค้าเพื่อสุขภาพทุกชนิด,518/5 อาคารมณียา เซ็นเตอร์ ชั้น 6 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
262 ,0105558097913,บจ.รีจิสตาร์ จำกัด,17/6/2558," 2,000,000 ",ประกอบธุรกิจนำเข้าและส่งออกสินค้าทุกชนิด,147/15 ซอยร่วมฤดี  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
263 ,0105558092512,บจ.ซาพา เอเชีย จำกัด,8/6/2558," 2,000,000 ",ประกอบกิจการผลิต ขายส่ง และส่งออก ผลิตภัณฑ์ซึ่งเกี่ยวกับวัสดุก่อสร้างบ้านและอาคาร,153/3 อาคารโกลเด้นแลนด์ ชั้นที่ 4 ห้องเลขที่ เอ4 ซอยมหาดเล็กหลวง 1 ถนนราชดำริ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
264 ,0105558095562,บจ.ลิตเติ้ล ไนล์ จำกัด,12/6/2558," 2,000,000 ",ภัตตาคารร้านอาหาร ให้คำปรึกษา แนะนำ ชาวต่างชาติในการพำนักอยู่ในประเทศไทย,15/6 ซอยร่วมฤดี  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
265 ,0105558103999,บจ.ทริเบคคา โฮลดิ้ง จำกัด,25/6/2558," 2,000,000 ",ประกอบกิจการให้คำปรึกษาและเป็นที่ปรึกษาทางการเงิน,153/3 อาคารโกลเด้นแลนด์ ชั้นที่ 4 ห้องเลขที่ เอ 4 ซอยมหาดเล็กหลวง 1 ถนนราชดำริ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
266 ,0105558096577,บจ.ทาเลนต์ ฟิชเชอร์ส อินโดไชน่า - เอชอาร์ คอนซัลติ้ง จำกัด,15/6/2558," 2,000,000 ",ประกอบธุรกิจบริการรับเป็นที่ปรึกษาและให้คำแนะนำปัญหาเกี่ยวกับด้านบริหารงานพาณิชยกรรม อุตสาหกรรม,153/3 อาคารโกลเด้นแลนด์ ชั้นที่ 4 ห้องเลขที่ เอ 4 ซอยมหาดเล็กหลวง 1 ถนนราชดำริ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
267 ,0105558104910,บจ.หิมาลายัน บิวเดอร์ส แอนด์ เอ็นจิเนียริ่ง (ไทยแลนด์) จำกัด,26/6/2558," 2,000,000 ",ประกอบกิจการรับออกแบบก่อสร้าง เขียนแบบ แบบกราฟฟิค งานตกแต่งภายในทุกประเภท,125/5 ซอยร่วมฤดี ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
268 ,0105558089597,บจ.เวลซิส แบงคอก (ประเทศไทย) จำกัด,2/6/2558," 2,000,000 ",ประกอบธุรกิจเกี่ยวกับโรงเรียนสอนภาษญี่ปุ่นและหลักสูตรพิเศษในการสอนภาษาญี่ปุ่น,973 อาคารเพรสิเด้นท์ ทาวเวอร์ ชั้นที่ 10 ห้องเลขที่ 111 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
269 ,0105558104821,บจ.บี.อาร์.วาย.เจมส์ จำกัด,26/6/2558," 2,000,000 ",นำเข้าส่งออก จำหน่ายเพชรพลอยและอัญมณีต่างๆ,550/146 ถนนอโศก-ดินแดง  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
270 ,0105558103956,บจ.คิวพีอาร์ อินเตอร์เนชั่นแนล จำกัด,25/6/2558," 2,000,000 ",นำเข้า ส่งออก จำหน่ายเพชรพลอยและอัญมณีต่างๆ,550/146 ถนนอโศก-ดินแดง  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
271 ,0105558106327,บจ.หง ยุ่น จำกัด,30/6/2558," 2,000,000 ",จำหน่ายขายปลีกขายส่งซึ่งนาฬิกาและเครื่องอุปโภคอื่นๆทุกชนิด,120/126 ศูนย์ค้าส่งอินทราสแควร์ 2 ชั้นที่ 2 ห้องเลขที่ แอล-428/6 ถนนราชปรารภ  แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400
272 ,0105558100493,บจ.ลาปิส ลาซูลี่ จำกัด,19/6/2558," 2,000,000 ",ประกอบกิจการจำหน่ายหินสีทุกชนิด,555/6192 อาคารประตูน้ำเซ็นเตอร์ ห้อง บี192 ชั้นใต้ดิน ถนนราชปรารภ  แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400
273 ,0105558091141,บจ.เรนโบว์ ฮัท จำกัด,4/6/2558," 2,000,000 ",จำหน่าย ขายปลีกขายส่ง ซึ่ง หมวก และเครื่องอุปโภคอื่นๆ ทุกชนิด,120/126 อาคารศูนย์ค้าส่งอินทราสแควร์ 2 ชั้น 2 ห้อง แอล-485 ถนนราชปรารภ  แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400
274 ,0105558091737,บจ.แอร์ เอ็น ชิพ จำกัด,5/6/2558," 2,000,000 ",ประกอบกิจการให้บริการนำเข้า-ส่งออก และขนส่งสินค้า,599/514 ถนนอโศก-ดินแดง  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
275 ,0105558094094,บจ.ธันยามาม่า เมซอน แอนด์ คาเฟ่ จำกัด,10/6/2558," 2,000,000 ",กิจการเปิดร้านอาหารทุกชนิด,10/27-28 ซอยพหลโยธิน ซอย 5  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
276 ,0105558094248,บจ.เอชซีแอล เทคโนโลยีส์ (ประเทศไทย) จำกัด,10/6/2558," 2,000,000 ",ประกอบกิจการให้คำปรึกษาและบริหารทางเทคโนโลยีสารสนเทศและซอฟต์แวร์,89 อาคารเอไอเอ แคปปิตอล เซ็นเตอร์ ชั้น 20 ห้อง 2005-2007 ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
277 ,0105558089376,บจ.พญาไท โฮลดิ้ง จำกัด,2/6/2558," 2,000,000 ",ประกอบธุรกิจรับเป็นที่ปรึกษาและให้คำแนะนำปัญหาเกี่ยวกับด้านบริหารงานพาณิชยกรรม,53/6 ซอยพหลโยธิน 11 ถนนพหลโยธิน  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
278 ,0105558090897,บจ.วิซซาร์ด คอร์ปอเรชั่น จำกัด,4/6/2558," 2,000,000 ",ให้บริการการจัดงานกิจกรรมส่งเสริมการตลาด การขาย การประชาสัมพันธ์,453/2 ซอยอินทามระ 47  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
279 ,0105558096020,บจ.เอชบีเอ อินเตอร์เนชั่นแนล จำกัด,12/6/2558," 2,000,000 ",ให้บริการธุรกิจนำเที่ยว,425/20 ถนนราชปรารภ  แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400
280 ,0105558092954,บจ.สตาร์ เวย์ ทราเวล จำกัด,9/6/2558," 2,000,000 ",ประกอบกิจการ เป็นตัวแทนจำหน่ายตั๋วเครื่องบิน,122/41 ชั้นที่ 1 ถนนราชปรารภ  แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400
281 ,0105558104472,บจ.เออีซี แฮปปี้ ทัวร์ แอนด์ ทรานสปอร์ต จำกัด,26/6/2558," 2,000,000 ",จำหน่ายบัตรโดยสารเครื่องบินของบริษัทสายการบินต่างๆ หรือของสำนักงานตัวแทนชองสายการบินที่อยู่ต่างประเท,555/7067-7068 ชั้น 2 อาคารเดอะพาลาเดียม ถนนราชปรารภ  แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400
282 ,0105558104782,บจ.ฮิพ แวนเดอริงส์ (ประเทศไทย) จำกัด,26/6/2558," 2,000,000 ",ประกอบธุรกิจบริการรับเป็นที่ปรึกษาและให้คำแนะนำเกี่ยวกับงานศิลปะ,11/1402 ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
283 ,0105558102356,บจ.แบล็ค ทิวลิป จำกัด,23/6/2558," 2,000,000 ",ประกอบกิจการนำเข้า ส่งออก อาหาร ไม้ดอก ผัก ผลไม้ สินค้าชนิดอื่นๆ,1179/6 ถนนเจริญกรุง  แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500
284 ,0105558093411,บจ.โดโซ่ กรุ๊ป จำกัด,9/6/2558," 2,000,000 ",ประกอบกิจการด้านการส่งออกอัญมณี เครื่องประดับ พลอยเนื้อแข็งและพลอยเนื้ออ่อนเสื้อผ้าสำเร็จรูป,1055/928 อาคารสเตท ทาวเวอร์ ชั้น 38 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
285 ,0105558100019,บจ.ไทย เบรค จำกัด,19/6/2558," 2,000,000 ",ประกอบกิจการ นำเข้า ส่งออก เสื้อผ้าอาภรณ์ รองเท้า และเครื่องประดับทุกชนิด,109 อาคารซีซีที ชั้น 2 ถนนสุรวงศ์  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
286 ,0105558106068,บจ.สุมน เทรดดิ้ง จำกัด,30/6/2558," 2,000,000 ",ประกอบกิจการส่งออก เครื่องอุปโภคบริโภค เครื่องเทศ,90/2 ตรอกพุทธโอสถ ถนนเจริญกรุง  แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500
287 ,0105558092784,บจ.น้ำไทย เจมส์ จำกัด,9/6/2558," 2,000,000 ",ขายส่ง ขายปลีก พลอย อัญมณี เครื่องประดับ,333/4 ถนนเจริญกรุง 43  แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500
288 ,0105558099479,บจ.เรดลีน เอ็กซ์พอร์ต จำกัด,18/6/2558," 2,000,000 ",ขาย ซื้อ นำเข้า ส่งออก ขายปลีก ขายส่ง เครื่องประดับอัญมณี ที่ทำจากนาก เงิน ทอง เพชร พลอย,763 ชั้นที่ 2 ซอยสีลม 15 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
289 ,0105558099223,บจ.เดอะ ครีก จำกัด,18/6/2558," 2,000,000 ",ขาย เช่า บริการติดตั้งนั่งร้านและวัสดุก่อสร้าง,62 อาคารธนิยะ ชั้นที่ 8 ถนนสีลม  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
290 ,0103558011553,หจ.พาราส,4/6/2558," 2,000,000 ",ประกอบกิจการค้า พลอย เงิน นาก และอัญมณีต่างๆ,1179 อาคารวินลองเพลส ห้อง เอ2 ซอยเจริญกรุง 47 ถนนเจริญกรุง  แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500
291 ,0103558011588,หจ.ราชพุท อินเตอร์เนชั่นแนล,4/6/2558," 2,000,000 ",ประกอบกิจการค้า พลอย เงิน นาก และอัญมณีอื่นๆ,1179 ซอยเจริญกรุง 47 ถนนเจริญกรุง  แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500
292 ,0105558096968,บจ.กอตัม เดียม จำกัด,16/6/2558," 2,000,000 ",จำหน่ายเพชรพลอยแลอัญมณีต่างๆ,14-16 อาคารทีดี ชั้นที่ 4 ห้องเลขที่ 402 ถนนมเหสักข์  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
293 ,0105558105991,บจ.เอสเอเอส อัฟริกา เจมส์ จำกัด,30/6/2558," 2,000,000 ",ขายปลีกขายส่ง พลอยก้อน พลอยเจียรไน หินสี ทุกชนิด,1179 อาคารวินลอง บิวดิ้ง ชั้นที่ 1 ห้องเลขที่ เอ 1 ถนนเจริญกรุง 47  แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500
294 ,0105558101171,บจ.เทสต์ ออฟ ราจัสฐาน จำกัด,22/6/2558," 2,000,000 ",ขายอาหารปรุงสำเร็จพร้อมบริโภคและเครื่องดื่มทุกชนิด และขายอาหารนานาชาติตามสั่ง,92/5 ตรอกพุทธโอสถ  แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500
295 ,0105558093594,บจ.สแตมพีด จำกัด,9/6/2558," 2,000,000 ",ประกอบกิจการพัฒนาซอฟแวร์ จำหน่ายซอฟแวร์ ให้บริการระบบวีโอไอพี และจำหน่ายอุปกรณ์เกี่ยว,152 อาคารชาร์เตอร์สแควร์ ชั้นที่ 16 ห้องเลขที่ ยูนิต 16-02เอ ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
296 ,0105558104499,บจ.ฮิตาชิ เทอร์มินอล โซลูชั่นส์ โฮลดิ้ง (ประเทศไทย) จำกัด,26/6/2558," 2,000,000 ",ถือหุ้นในบริษัทอื่น รวมทั้งลงทุนในบริษัทธุรกิจของผู้อื่น,952 อาคารรามาแลนด์ ชั้นที่ 13 ถนนพระรามสี่  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
297 ,0105558089490,บจ.เจบีแอล แม่โขง (ไทยแลนด์) จำกัด,2/6/2558," 2,000,000 ",ประกอบธุรกิจให้บริการเป็นที่ปรึกษาและให้คำแนะนำปัญหาทางด้านกฎหมาย งานด้านการบริหาร พาณิชยกรรม,317 อาคารกมลสุโกศล ยูนิต เอ ชั้น 14 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
298 ,0105558103859,บจ.บาราวันซี จำกัด,25/6/2558," 2,000,000 ",ประกอบธุรกิจบริการรับเป็นที่ปรึกษาและให้คำแนะนำปัญหาเกี่ยวกับด้านบริหารงาน พาณิชยกรรม อุตสาหกรรม,990 อาคารอับดุลราฮิมเพลส ชั้นที่ 31 ห้องเลขที่ 3110 ถนนพระรามสี่  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
299 ,0105558097115,บจ.เจม ลาบอราทอรี่ จำกัด,16/6/2558," 2,000,000 ",ประกอบกิจการบริการตรวจสอบความบริสุทธิ์ และคุณภาพของอัญมณี เครื่องประดับ และโลหะมีค่าประเภทต่าง,919/1 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
300 ,0105558092911,บจ.เอ็นเอส อินทีเรีย เอเชีย จำกัด,9/6/2558," 2,000,000 ",รับออกแบบให้คำปรึกษาด้านการออกแบบตกแต่งภายในและภายนอกอาคาร,138 อาคารบุญมิตร ชั้น 2 ห้องBB9 ถนนสีลม  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
301 ,0105558103727,บจ.ไดโอ ไดโอ จำกัด,25/6/2558," 2,000,000 ",ประกอบกิจการ รับออกแบบดีไซน์ เสื้อผ้า เครื่องประดับ และสินค้าอื่นๆที่เกี่ยวข้องกับเครื่องแต่งกาย,763 ซอยสีลม 15 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
302 ,0105558097336,บจ.โทบุ ท็อป ทัวร์ส (ประเทศไทย) จำกัด,16/6/2558," 2,000,000 ",ประกอบกิจการนำเที่ยวรวมทั้งธุรกิจที่เกี่ยวข้องกับการนำเที่ยวทุกชนิด,33/90 อาคารวอลล์สตรีท ทาวเวอร์ ชั้นที่ 18 ห้องเลขที่ 1802 ถนนสุรวงศ์  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
303 ,0105558096275,บจ.ออสคอน (ประเทศไทย) จำกัด,15/6/2558," 2,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ,89/5 ถนนหทัยราษฎร์  แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510
304 ,0105558102526,บจ.ลัคกี้ กรีน ไทย อินดัสตรีส์ จำกัด,24/6/2558," 2,000,000 ",จำหน่าย นำเข้าส่งออก เครื่องระบายความร้อนของน้ำ เครื่องทำความเย็น พร้อมอุปกรณ์ทุกชนิด,314/517 ซอยราษฎร์อุทิศ 48  แขวงแสนแสบ เขตมีนบุรี กรุงเทพมหานคร 10510
305 ,0105558103310,บจ.ยี้ ทอง เน็ตเวิร์ค จำกัด,25/6/2558," 2,000,000 ",ประกอบกิจการขายส่งคอมพิวเตอร์และซอฟต์แวร์อิเล็กทรอนิกส์และเครื่องมือสื่อสาร,268/25 ถนนเลียบคลองสอง  แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510
306 ,0105558099584,บจ.ลีดดิ้ง แอดเวอร์ไทซิ่ง จำกัด,19/6/2558," 2,000,000 ",บริการ จำหน่าย พิมพ์ ภาพ ผ้า พิมพ์รูปทุกชนิด,11/1 ซอยหทัยราษฎร์ 15  แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510
307 ,0105558092300,บจ.หย่ง ไท่ อิมปอร์ต เอ็กซ์ปอร์ต จำกัด,8/6/2558," 2,000,000 ",ประกอบกิจการนำเข้าส่งออกสัตว์มีชีวิต ผัก ผลไม้ทุกชนิด รวมทั้งพืชผลทางการเกษตรทุกชนิด,333/254 ซอยฉลองกรุง 44  แขวงลำปลาทิว เขตลาดกระบัง กรุงเทพมหานคร 10520
308 ,0105558097999,บจ.บิลด์ แมทริช เทรดดิ้ง จำกัด,17/6/2558," 2,000,000 ",ค้าขายวัสดุอุปกรณ์ก่อสร้าง เครื่องใช้ไฟฟ้า,16 ถนนร่มเกล้า  แขวงคลองสามประเวศ เขตลาดกระบัง กรุงเทพมหานคร 10520
309 ,0105558104740,บจ.คชาวุฒิ เพาเวอร์ เซอร์วิส จำกัด,26/6/2558," 2,000,000 ",ออกแบบผลิตจำหน่ายซ่อมบำรุงรักษาให้บริการหม้อแปลงไฟฟ้ารวมถึงการติตตั้งด้านแรงสูง-ต่ำ,101/1461 หมู่ที่ 7  แขวงลำผักชี เขตหนองจอก กรุงเทพมหานคร 10530
310 ,0105558101198,บจ.โพเพอรี่ จำกัด,22/6/2558," 2,000,000 ",การผลิตเครื่องหอม เครื่องสำอาง,17/79 ถนนจรัญสนิทวงศ์  แขวงวัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600
311 ,0105558096950,บจ.แม็กซิเมกซ์ (ประเทศไทย) จำกัด,16/6/2558," 2,000,000 ",ประกอบกิจการค้า อาหารแห้ง อาหารสำเร็จรูป อาหารทะเลบรรจุกระป๋อง,161 ซอยอิสรภาพ 28 ถนนอิสรภาพ  แขวงวัดอรุณ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600
312 ,0105558094167,บจ.เรนฟอร์เรส อินเตอร์เนชันแนล จำกัด,10/6/2558," 2,000,000 ",ขายส่งเครื่องสำอาง,1006/427 อาคารมาสเตอร์วิว เอ็กเซ็กคิวทีฟ เพลส ซอยเจริญนคร 34/1 ถนนเจริญนคร  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600
313 ,0105558105959,บจ.เค.เจ.เฟิร์ส อินเตอร์เนชั่นแนล จำกัด,30/6/2558," 2,000,000 ",ขาย ขายส่ง ส่งออก สินค้าอุปโภค บริโภค เครื่องประดับ อัญมณี,507 ซอยเทอดไท 21 ถนนเทอดไท  แขวงบางยี่เรือ เขตธนบุรี กรุงเทพมหานคร 10600
314 ,0105558091320,บจ.เฟิร์ส คาร์โก จำกัด,5/6/2558," 2,000,000 ",ขนส่ง และขนถ่ายสินค้าและคนโดยสารทั้งทางบกและทางอากาศทั้งภายในและระหว่างประเทศ,28-30 ซอยเจริญนคร 37 ถนนเจริญนคร  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600
315 ,0105558104952,บจ.เซ้าท์อีสเทิร์น คอร์ปอเรชั่น เทรดดิ้ง (เอสอีซีที ) จำกัด,29/6/2558," 2,000,000 ",ประกอบกิจการส่งออกจำหน่ายแป้งมันสำปะหลังแป้งสำหรับทำอาหารทุกชนิดแป้งทอดกรอบและพืชผลทางการเกษตรแปรรูป,272/1 ซอยจรัญสนิทวงศ์ 67  แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700
316 ,0105558096011,บจ.ไอเค เบียฟรา จำกัด,12/6/2558," 2,000,000 ",ขายส่งขายปลีก เสื้อผ้าสำเร็จรูป เครื่องแต่งกาย เครื่องประดับกาย เพชร พลอย ทอง นาก เงิน อัญมณีทุกชนิด,44 ซอยจรัญสนิทวงศ์ 45  แขวงอรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700
317 ,0105558091061,บจ.ทิคเก็ตเทล จำกัด,4/6/2558," 2,000,000 ",การซื้อขายสินค้าหรือบริการโดยวิธีการสื่ออิเล็กทรอนิกส์,284 ซอยสิรินธร 7 ถนนสิรินธร  แขวงบางบำหรุ เขตบางพลัด กรุงเทพมหานคร 10700
318 ,0105558096453,บจ.ซีทรู เอ็นจิเนียร์ จำกัด,15/6/2558," 2,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารที่พักอาศัย สถานที่ทำการ ถนน สะพานและงานก่อสร้างอย่างอื่น,494/170 อาคารบี ชั้นที่ 7 ห้องเลขที่ 494/170 หมู่บ้านรีเจ้นท์โฮม 20 ซอยประชาชื่น 16 ถนนประชาชื่น  แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800
319 ,0105558104707,บจ.โกลเด้น เจแอนด์วาย (ไทยแลนด์) จำกัด,26/6/2558," 2,000,000 ",ประกอบกิจการนำเที่ยว รวมทั้งธุรกิจที่เกี่ยวข้องกับการนำเที่ยวทุกชนิด,2566/16 ถนนกรุงเทพ-นนทบุรี  แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800
320 ,0105558101813,บจ.ศานติสมัย จำกัด,23/6/2558," 2,000,000 ",ประกอบกิจการงานก่อสร้าง อาคารพาณิชย์ อาคารที่พักอาศัย,42 ซอยลาดพร้าว 26 ถนนลาดพร้าว  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
321 ,0105558101732,บจ.โซอิงส์ จำกัด,23/6/2558," 2,000,000 ",ประกอบกิจการนำเข้า จำหน่ายปลีก กาแฟสด กาแฟสำเร็จรูป,77/90 ซอยลาดพร้าว 3  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
322 ,0105558092482,บจ.อาร์อาร์ซีหนึ่งหกแปด จำกัด,8/6/2558," 2,000,000 ",ประกอบกิจการค้า จำหน่าย จุลินทรีย์ช่วยย่อยในระบบบำบัดน้ำเสีย,380/250 ซอยสันนิบาตเทศบาล  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900
323 ,0105558101058,บจ.แอดวานซ์ ไดอะไลซิส จำกัด,22/6/2558," 2,000,000 ",ประกอบกิจการหน่วยไตเทียม,245 อาคารทองทิพเพลส ซอยลาดพร้าว 26 ถนนลาดพร้าว  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
324 ,0105558105584,บจ.เออร์เฟซ จำกัด,29/6/2558," 2,000,000 ",ประกอบกิจการผลิตและจำหน่าย ผ้า ผ้าทอ เครื่องนุ่มห่ม,184/1 ถนนหลานหลวง  แขวงคลองมหานาค เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
325 ,0105558101988,บจ.มิราคัส เอ็กซิม จำกัด,23/6/2558," 2,000,000 ",ส่งออกเสื้อผ้าสำเร็จรูป,765/1 ถนนทรงวาด  แขวงจักรวรรดิ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100
326 ,0105558100850,บจ.ไท่ ซิง อินเตอร์เนชั่นแนล โลจิสติกส์ จำกัด,22/6/2558," 2,000,000 ",ประกอบกิจการจำหน่ายเครื่องใช้ไฟฟ้าทุกชนิด,339 ชั้นที่ 5 ถนนเจริญกรุง  แขวงป้อมปราบ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
327 ,0105558095503,บจ.อัศวการไฟฟ้ากรุ๊ป จำกัด,12/6/2558," 2,000,000 ",ประกอบกิจการนำเข้าและจำหน่ายอุปกรณ์เครื่องใช้ไฟฟ้า อิเล็กทรอนิกส์ชนิดใช้ในครัวเรือน,128/21 ตรอกแม้นศรี  แขวงคลองมหานาค เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
328 ,0105558094485,บจ.ไทย เอสซีซี โพสซิทีฟ เอนเนอจี้ เทคโนโลยี่ จำกัด,10/6/2558," 2,000,000 ",ประกอบกิจการจำหน่ายเครื่องใช้ไฟฟ้าทุกชนิด,339 ชั้นที่ 7 ถนนเจริญกรุง  แขวงป้อมปราบ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
329 ,0105558099908,บจ.อุบลบ้านไร่ จำกัด,19/6/2558," 2,000,000 ",ประกอบกิจการค้าอสังหาริมทรัพย์,202 ถนนวานิช1  แขวงจักรวรรดิ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100
330 ,0105558103271,บจ.อาการ์ วิตา เอสเซนเชียลส์ จำกัด,25/6/2558," 2,000,000 ",ประกอบกิจการบริหารการจัดการเกี่ยวกับป่า การปลูกสวนป่า การให้คำแนะนำและคำปรึกษาการทำสวนป่า,2 อาคารเพลินจิต เซนเตอร์ ชั้น G ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
331 ,0105558103816,บจ.โฮลี เครป จำกัด,25/6/2558," 2,000,000 ",ทำขนม เบเกอรี่,1108/31 ถนนสุขุมวิท  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110
