นิติบุคคลจัดตั้งเดือนธันวาคม  2558,,,,,,
ทั่วประเทศ,,,,,,
,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
676,0103558023918,หจ.ช.เจริญ รวมช่าง,11/12/2558," 1,000,000 ",รับเหมาก่อสร้าง ต่อเติม ครบวงจร ทุบรื้อ จัดสวน ตกแต่งภายใน เทถนน ตอกเข็ม ประเมินราคาก่อสร้าง,1/404 ซอยสุขาภิบาล 5 ซอย 41  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
677,0105558196881,บจ.พาวเวอร์ ฟอร์เวิร์ด จำกัด,22/12/2558," 1,000,000 ",ประกอบกิจการขายส่ง ขายปลีก อุปกรณ์เสริมของยานยนต์,77/339 ถนนจตุโชติ  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
678,0105558196164,บจ.บางกอก อะกรีคัลเจอรัล พาร์ทเนอร์ จำกัด,21/12/2558," 1,000,000 ",ประกอบกิจการนำเข้าส่งออก สินค้าเกษตร,98/38 ซอยสุขาภิบาล 5 ซอย 32 (วัดพรฯ)  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
679,0105558193050,บจ.จีเอเอฟเอฟ จำกัด,11/12/2558," 1,000,000 ",ประกอบกิจการนำเข้า ส่งออก อาหารสัตว์,8/54 ซอยงามวงศ์วาน 47 แยก 6 ถนนงามวงศ์วาน  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
680,0105558193742,บจ.ตุงคำ จำกัด,14/12/2558," 1,000,000 ",ประกอบกิจการนำเข้า ส่งออก สินค้าอุปโภค บริโภค เช่น ข้าว น้ำตาล กระทิงแดง,98/38 ซอยสุขาภิบาล 5 ซอย 32 (วัดพรฯ)  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
681,0105558196792,บจ.เจเจ แอนด์ เจ อิเล็กทรอนิกส์ จำกัด,22/12/2558," 1,000,000 ",ประกอบกิจการ นำเข้า ส่งออก ซื้อขาย อะไหล่และอุปกรณ์เครื่องจักรกลและเครื่องมือช่างทุกชนิด,8/54 ซอยพหลโยธิน 54/1 แยก 6-6  แขวงคลองถนน เขตสายไหม กรุงเทพมหานคร 10210
682,0103558024582,หจ.ซัมนัท(ไทยแลนด์),29/12/2558," 1,000,000 ",จำหน่ายเหล้า บุหรี่ สินค้าอุปโภค บริโภค ทุกชนิด,232/27 ซอยแจ้งวัฒนะ 6 แยก 1  แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพมหานคร 10210
683,0103558023632,หจ.ซูดาเกอร์,3/12/2558," 1,000,000 ",จำหน่ายเสื้อผ้าสำเร็จรูป สินค้าอุปโภค บริโภคทุกชนิด,282/14 ซอยแจ้งวัฒนะ 6 แยก 1-4  แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพมหานคร 10210
684,0103558023861,หจ.เชาฮัน(ไทยแลนด์),9/12/2558," 1,000,000 ",จำหน่าย เสื้อผ้าสำเร็จรูป สินค้าอุปโภค บริโภคทุกชนิด,116/156 ซอยพหลโยธิน 54 แยก10-2(ม.รุ่งเรืองฯ)  แขวงคลองถนน เขตสายไหม กรุงเทพมหานคร 10210
685,0103558023527,หจ.บาลราม(ไทยแลนด์),1/12/2558," 1,000,000 ",จำหน่าย เสื้อผ้าสำเร็จรูป สินค้าอุปโภค บริโภคทุกชนิด,282/14 ซอยแจ้งวัฒนะ6 แยก1-4  แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพมหานคร 10210
686,0105558188927,บจ.สกาย อินเตอร์เทรดดิ้ง จำกัด,1/12/2558," 1,000,000 ",ประกอบกิจการขายส่งผลิตภัณฑ์เครื่องนอน ที่ทำจากยางพารา,98/38 ซอยสุขาภิบาล 5 ซอย 32 (วัดพรฯ)  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
687,0105558192061,บจ.มาลิช (ไทยแลนด์) จำกัด,9/12/2558," 1,000,000 ",ประกอบกิจการนำเข้าและส่งออก จัดจำหน่ายภายในประเทศ เครื่องปั้มนม ที่ปั้มนม ถุงเก็บนม,312/8 ซอยสรงประภา 14 ถนนสรงประภา  แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210
688,0105558199074,บจ.อินโนเวชั่น โอเปอร์เรชั่นส์ เอ็กซ์เซลเลนซ์ จำกัด,28/12/2558," 1,000,000 ",ประอบกิจการจำหน่ายโปรแกรมคอมพิวเตอร์ และ สินค้าเทคโนโลยีอุตสาหกรรม,100/323 ถนนสุขาภิบาล 5  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
689,0105558194811,บจ.ไดจิ โซลูชั่น จำกัด,16/12/2558," 1,000,000 ",จำหน่าย ขายส่งขายปลีก พร้อมติดตั้งและบริการซ่อมแซมบำรุงษาคอมพิวเตอร์ พริ้นเตอร์ อุปกรณ์,306/87 กำแพงเพชร 6 ซอย 7 แยก 7(สายรอง)  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
690,0105558190921,บจ.เอสบีวี ก๊อปปี้ เซ็นเตอร์ จำกัด,4/12/2558," 1,000,000 ",จำหน่ายเครื่องถ่ายเอกสาร,9/211 ซอยสุขาภิบาล 5 ซอย 70 (ชูศักดิ์ฯ)  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
691,0105558195699,บจ.ซีซีเอส ชัตเตอร์ จำกัด,18/12/2558," 1,000,000 ",ค้า รับทำและจำหน่ายประตูม้วน ประตูเหล็ก ประตูโรงงาน ทุกชนิดทุกประเภทรวมทั้งหน้าต่างทุกชนิด,139/16 ซอยแจ้งวัฒนะ 10 แยก 9-1  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
692,0103558024302,หจ.จอมพจน์ ดีเวลลอปเมนท์ กรุ๊ป,22/12/2558," 1,000,000 ",จำหน่ายวัสดุก่อสร้าง,34/423 หมู่บ้านบูรพา 24 ซอยเวฬุวราราม 21  แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 10210
693,0105558192673,บจ.มีอิสระ กรุ๊ป จำกัด,11/12/2558," 1,000,000 ",ประกอบกิจการเป็นตัวแทน จำหน่าย ขายปลีก ขายส่ง วัสดุก่อสร้างทุกชนิด,17/62 ถนนสุขาภิบาล 5  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
694,0103558024248,หจ.ส สุวรรณี เอ็นเตอร์ไพรส์,21/12/2558," 1,000,000 ",ประกอบกิจการค้าวัสดุก่อสร้าง อุปกรณ์และเครื่องมือใช้ในการก่อสร้างทุกชนิด,117/185 ซอยสายไหม 64 (หมู่บ้านณัฐกานต์) ถนนสายไหม  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
695,0105558198728,บจ.เอ็น เค อาร์ ทรานสปอร์ต จำกัด,25/12/2558," 1,000,000 ",ตัวแทนนายหน้าในการขนส่งสินค้า การเป็นตัวแทนให้ผู้ขนส่งและเป็นผู้จัดการด้านขนส่ง,98/38 ซอยสุขาภิบาล 5 ซอย 32 (วัดพรฯ)  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
696,0105558192177,บจ.ดีเวลล็อป อินเตอร์ เซอร์วิส จำกัด,9/12/2558," 1,000,000 ",บริการชิปปิ้ง จัดเก็บสินค้า ขนส่ง ขนถ่านสินค้า ทางบก ทางอากาศ ทางเรือ ทั้งในและต่างประเทศ,188/195 ซอยสรงประภา 30 ถนนสรงประภา  แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210
697,0105558194803,บจ.อินฟราสตรัคเจอร์ ไอที ดิจิตอล คอนซัลติ้ง จำกัด,16/12/2558," 1,000,000 ",ประกอบกิจการให้บริการด้านการจัดตั้งและบริการศูนย์ข้อมูลการติดต่อสื่อสารทางอินเตอร์เน็ต,9/81 หมู่บ้านลลิลอินเดอะพาร์ค ซอยวัชรพล 3 ถนนวัชรพล  แขวงคลองถนน เขตสายไหม กรุงเทพมหานคร 10210
698,0105558192401,บจ.ทิพย์แมนชั่น ดอนเมือง จำกัด,9/12/2558," 1,000,000 ",ให้เช่าอพาร์ทเม้นท์ ห้องเช่ารายวัน รายอาทิตย์ รายเดือน,ห้องที่ 109 เลขที่ 235/145 หมู่ที่ 3  แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210
699,0105558198302,บจ.เจแอล ไทยโฮม จำกัด,25/12/2558," 1,000,000 ",นายหน้า ตัวแทน ในการซื้อ ขาย คอนโดมิเนียม รวมทั้งอสังหาริมทรัพย์ บริการที่พักแรม และ ด้านอาหาร,99/249 ถนนสุขาภิบาล 5  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
700,0105558197063,บจ.จัสท์ ไรด์ นาว จำกัด,22/12/2558," 1,000,000 ",ให้บริการออกแบบ ผลิต และ จำหน่าย แบนเนอร์ โฆษณาสื่ออนไลน์ทุกชนิด,306/67 อาคารอาคารชุดบางบัว ซอยพหลโยธิน49/1 แยก3-5 ถนนพหลโยธิน  แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพมหานคร 10210
701,0105558192070,บจ.วิชั่น คาวบอย เอ็นเตอร์เทนเม้นต์ จำกัด,9/12/2558," 1,000,000 ",ประกอบกิจการผลิต จำหน่ายสื่อโฆษณาทางโทรทัศน์ วิทยุ หนังสือพิมพ์และสื่อสิ่งพิมพ์ทุกชนิด,110/79 หมู่ที่ 4  แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210
702,0105558198841,บจ.คูณ เฮง24 จำกัด,28/12/2558," 1,000,000 ",ประกอบกิจการให้บริการรับจองโรงแรมรีสอร์ททั้งในประเทศและต่างประเทศจำหน่ายตั๋วเครื่องบิน ตั๋วรถโดยสาร,39/90 ถนนเพิ่มสิน  แขวงคลองถนน เขตสายไหม กรุงเทพมหานคร 10210
703,0105558195478,บจ.ทีบีพี เอ็ดดูเคชั่น จำกัด,18/12/2558," 1,000,000 ",ประกอบกิจการ รับกวดวิชา รับสอนพิเศษทุกวิชา และทุกระดับการศึกษา,9/18 ถนนเพิ่มสิน  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
704,0105558197152,บจ.พาวเวอร์ เอ็ดดูเคชั่น จำกัด,22/12/2558," 1,000,000 ",ประกอบกิจการให้บริการด้านเสริมความรู้ จัดการระบบการเรียนการสอนแก่นักเรียน และบุคคลทั่วไป,100/148 ถนนสุขาภิบาล 5  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
705,0105558193378,บจ.ภคร จำกัด,14/12/2558," 1,000,000 ",ประกอบกิจการรับจัดงานบันเทิงทุกรูปแบบ รับจัดงานแสดงแสง สี เสียง,77/46 ถนนสุขาภิบาล 5  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
706,0105558197055,บจ.168 ลอนดรี้ จำกัด,22/12/2558," 1,000,000 ",ประกอบธกิจการให้บริการซักรีด และงานอื่นๆที่เกี่ยวข้องกับการซักรีดทุกประเภท,59/19 หมู่ที่ 3  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
707,0105558192436,บจ.สวนสวรส เฟอร์ติไลเซอร์ จำกัด,9/12/2558," 1,000,000 ",ประกอบกิจการผลิตปุ๋ย ดิน ในการปลูกพันธุ์ไม้ประดับ เคมีภัณฑ์ทางการเกษตร,68/17 ซอยพหลโยธิน 54/1 แยก 8 (ผู้ใหญ่ม้วน)  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
708,0105558192126,บจ.เจ.เอ็ม. วิเศษโชติวาณิช จำกัด,9/12/2558," 1,000,000 ",ประกอบธุรกิจผลิตและจำหน่ายเครื่องสำอางค์ รวมถึงผลิตภัณฑ์ต่างที่เกี่ยวข้องกับการบำรุงเส้นผม,299/843 ถนนสุขาภิบาล 5  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
709,0105558195702,บจ.โปรเกรส ลิฟต์ แอนด์ เซอร์วิส จำกัด,18/12/2558," 1,000,000 ",การผลิตเครื่องจักรที่ใช้ในการยก การขนย้าย การขนสินค้าขึ้น,27 ซอยลาดปลาเค้า 72 แยก 14 ถนนลาดปลาเค้า  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
710,0105558195923,บจ.ธนตา โปรดักส์ ซัพพลาย จำกัด,18/12/2558," 1,000,000 ",ประกอบกิจการผลิต จำหน่าย อุปกรณ์เครื่องใช้สำนักงาน เครื่องเขียน แฟ้มเอกสาร ปกหนังสือ กระดาษ พลาสติก,26 ซอยพหลโยธิน 48 แยก 3 ถนนพหลโยธิน  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
711,0105558193491,บจ.เอ็ม.ไอ.ที. ดีไซน์ แอนด์ บิลด์ จำกัด,14/12/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ ถนน สะพาน ฯลฯ,98 ซอยพหลโยธิน 48 แยก 3  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
712,0103558024060,หจ.เน็คโฮมโปร,17/12/2558," 1,000,000 ",ประกอบกิจการรับออกแบบ รับเหมาก่อสร้างอาคาร อาคารที่พักอาศัย  และงานโยธาทุกชนิด,244/249 ซอยรามอินทรา 5 แยก 3  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
713,0105558195125,บจ.พี.ซี.เอฟ.คอร์ปอเรชั่น จำกัด,17/12/2558," 1,000,000 ",ประกอบกิจการติดตั้งและซ่อมแซมระบบเทคโนโลยีสารสนเทศและการสื่อสาร ระบบซอฟต์แวร์,56/191 ซอยรามอินทรา 34 แยก 21  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
714,0105558194757,บจ.บีเน็ตเวิร์ก จำกัด,16/12/2558," 1,000,000 ",ประกอบกิจการบริการติดตั้งวางระบบอุปกรณ์อิเล็คทรอนิกส์ อุปกรณ์ไฟฟ้า,34 ซอยรามอินทรา 47  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
715,0105558196661,บจ.ดับเบิ้ลยู เอสพี ออโต้คาส์ จำกัด,22/12/2558," 1,000,000 ",ประมูลรถยนต์ ตัวแทนจำหน่ายรถยนต์อะไหล่รถยนต์ทุกชนิด,11/1 ซอยรามอินทรา 23 แยก 18 ถนนรามอินทรา  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
716,0105558196067,บจ.สยาม เทรชเชอร์ อิเล็กทรอนิกส์ จำกัด,21/12/2558," 1,000,000 ",ประกอบกิจการประมูล จัดซื้อ จัดจ้าง นำเข้า ซื้อขาย จำหน่าย อุปกรณ์อิเล็กทรอนิกส์ทุกชนิด,71/103 ซอยคู้บอน 27 แยก 10 ถนนคู้บอน  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
717,0105558197691,บจ.ไทชีน อินเตอร์ จำกัด,23/12/2558," 1,000,000 ",ประกอบกิจการเป็นตัวแทนนำเข้า-ส่งออกแร่ ยางพารา ทุกชนิดทั้งภายในและต่างประเทศทั่วราชอาณา,44/253 ถนนพหลโยธิน  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
718,0103558024418,หจ.ซี.เอสเอส กรุ๊ป,24/12/2558," 1,000,000 ",เป็นนายหน้า ตัวแทน ตัวแทนค้าต่างๆในธุรกิจการและธุรกิจทุกประเภท เว้นแต่ในธุรกิจประกันภัย,102/150 ซอยคู้บอน 27 แยก 10  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
719,0105558196156,บจ.ฟูล ริช ฟู๊ดส์ จำกัด,21/12/2558," 1,000,000 ",ประกอบกิจการค้าเนื้อไก่ปรุงรส อาหารปรุงรสอื่นๆทุกประเภท ซื้อมา ขายไป เนื้อไก่สด เนื้อไก่สับ,102/583-584 ซอยคู้บอน 27 แยก 10  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
720,0105558190433,บจ.แฮปปี้ เฮลท์ 35 จำกัด,3/12/2558," 1,000,000 ",จำหน่ายอาหาร อาหารเสริมสุขภาพ บำรุงร่างกาย เสริมสร้างสมรรถภาพร่างกาย เปิดสถานเสริมความงาม,29/27 ซอยรามอินทรา 6  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
721,0105558199627,บจ.คะเนซี จำกัด,29/12/2558," 1,000,000 ",ประกอบกิจการขายส่งอาหาร,143/55 ซอยซอยคู้บอน 27 แยก 42  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
722,0103558023641,หจ.อินทีเรีย ซัพพลาย บาย บาลานซ์,3/12/2558," 1,000,000 ",ขายส่งของใช้ในครัวเรือนที่ทำจากสิ่งทอ,111/943 ซอยร่วมมิตรพัฒนา แยก 7  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
723,0105558197233,บจ.ที.ไอ.สยามเคมีคอล จำกัด,22/12/2558," 1,000,000 ",จำหน่ายอุปกรณ์ที่ใช้ในห้องทดลอง เครื่องเวชภัณฑ์ เคมีภัณฑ์ น้ำยาเคมีและวัสดุที่ใช้เกี่ยวกับอุตสาหกรรม,20 ซอยรามอินทรา 21 แยก 26  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
724,0105558197390,บจ.ไทย แอนนา ดอนนา จำกัด,23/12/2558," 1,000,000 ",ปรกอบกิจการ นำเข้าและจัดจำหน่าย อุปกรณ์เครื่องสำอาง ครีมโลชั่น แชมพู ทุกประเภทที่ใช้กับ ผิวหน้า,179/33 ซอยร่วมพัฒนา แยก 8  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
725,0105558189397,บจ.จีทู แอพพลิเคชั่น จำกัด,2/12/2558," 1,000,000 ",ประกอบกิจการจำหน่าย อุปกรณ์เกี่ยวกับคอมพิวเตอร์ เช่นเครื่องคอมพิวเตอร์แม่ข่าย เครื่องคอมพิวเตอร์,119/191 หมู่บ้านสราญสิริ ถนนสายไหม  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
726,0103558023683,หจ.อินเวนเตอร์ เทค,3/12/2558," 1,000,000 ",ประกอบกิจการจำหน่ายอุปกรณ์คอมพิวเตอร์ อุปกรณ์ฮาร์ดแวร์ อุปกรณ์ไฟฟ้า,62/39 ซอยรามอินทรา 65 แยก 2-4  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
727,0105558192681,บจ.วินด์ฟอลล์ เทรดดิ้ง จำกัด,11/12/2558," 1,000,000 ",ประกอบกิจการซื้อขายเครื่องจักร และเครื่องทุ่นแรงทุกชนิด และให้คำปรึกษาเกี่ยวกับเครื่องจักร,4 ซอยรามอินทรา 8 แยก 5  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
728,0105558198965,บจ.รุ่งฉัตรค้าวัสดุก่อสร้าง จำกัด,28/12/2558," 1,000,000 ",ประกอบกิจการค้า วัสดุก่อสร้าง อุปกรณ์และเครื่องมือใช้ในการก่อสร้าง,111/431 หมู่บ้านอัมรินทร์นิเวศน์ 3 ผัง 1 ซอยสายไหม 13 ถนนสายไหม  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
729,0103558024001,หจ.กันไฮยา,16/12/2558," 1,000,000 ",จำหน่าย เสื้อผ้าสำเร็จรูป สินค้าอุปโภค บริโภค ทุกชนิด,884 ซอยรามอินทรา 5  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
730,0105558191600,บจ.เลิฟยู มาร์เก็ตติ้ง จำกัด,8/12/2558," 1,000,000 ",ประกอบกิจการจำหน่าย เป็นตัวแทนจำหน่าย ทั้งปลีกและส่ง ยาสามัญประจำบ้านทุกชนิดทุกประเภท,7 ซอยรามอินทรา 14 แยก 18  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
731,0105558199180,บจ.เอ็ม ดี ที อินเตอร์เนชั่นแนล จำกัด,28/12/2558," 1,000,000 ",ขายปลีก เครื่องสำอาง น้ำหอม อาหารเสริม และเครื่องดื่มเพื่อสุขภาพ,20 ซอยรามอินทรา 21 แยก 26  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
732,0105558194668,บจ.รีไซเคิ้ล ไทย-เจแปน เทรดดิ้ง จำกัด,16/12/2558," 1,000,000 ",ประกอบกิจการนำเข้าของเก่าจากประเทศญี่ปุ่น,134/19 ซอยคู้บอน 27 แยก 15  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
733,0105558196539,บจ.พูลสิน (2015) จำกัด,21/12/2558," 1,000,000 ",จำหน่ายอาหาร ไทย-จีน และเครื่องดื่ม,761 ถนนรามอินทรา  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
734,0105558189851,บจ.ไบโอ-โซลูชั่น (ประเทศไทย) จำกัด,2/12/2558," 1,000,000 ",บริการที่ปรึกษาด้านการค้าและการลงทุน ทั้งในประเทศและระหว่างประเทศ,10 ซอยรามอินทรา 5 แยก 7-2 ถนนรามอินทรา  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
735,0105558198922,บจ.เก้าอี้สี่ขา จำกัด,28/12/2558," 1,000,000 ",ซื้อ จัดหา รับ เช่าซื้อ ถือกรรมสิทธิ์ ครอบครอง ปรับปรุงใช้และจัดการโดยประการอื่นซึ่งทรัพย์สิน,51 ซอยพหลโยธิน 63 แยก 2  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
736,0105558190182,บจ.ฟูจิ คอร์ปอเรชั่น จำกัด,3/12/2558," 1,000,000 ",ประกอบกิจการให้คำปรึกษาด้านการบริหารจัดการการวางแผนกลยุทธ์ แผนองค์กร การตลาด,20 ซอยรามอินทรา 21 แยก 26  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
737,0105558195508,บจ.เจนออราเคิล จำกัด,18/12/2558," 1,000,000 ",ทำการวิจัยและส่งเสริมการวิจัย เป็นผู้ซื้อและขายวิธีการผลิตหรือจัดทำเทคโนโลยีต่างๆ,71 ซอยรามอินทรา 31  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
738,0103558023713,หจ.ได้ดีไซน์ สตูดิโอ,4/12/2558," 1,000,000 ",ประกอบกิจการออกแบบ ตกแต่งภายใน ต่อเติมอาคาร รับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย,62/39 ซอยรามอินทรา 65 แยก 2-4  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
739,0105558193289,บจ.วีว่า เจเนอรัล เซอร์วิส จำกัด,14/12/2558," 1,000,000 ",กิจกรรมการแปลความหมาย,20 ซอยรามอินทรา 21 แยก 26 ถนนรามอินทรา  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
740,0105558198108,บจ.ดับบลิวเอสเอสเอาท์ซอร์สซิ่ง จำกัด,24/12/2558," 1,000,000 ",ประกอบกิจการรับจ้างเหมาแรงงานเพื่อทำงานให้กับบริษัท บุคคลและห้างร้านต่างๆ,90/30 ห้องเลขที่ AA6 ถนนสายไหม  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
741,0105558199414,บจ.จัสต์ กอล์ฟ จำกัด,29/12/2558," 1,000,000 ",ประกอบกิจการ บริการจัดหาสนามกอล์ฟ ไว้บริการนักท่องเที่ยวทั้งในและต่างประเทศ,234/31 ถนนพหลโยธิน  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
742,0105558192321,บจ.ซันบริดจ์(สยาม) จำกัด,9/12/2558," 1,000,000 ",ประกอบกิจการรถเช่า ขายตั๋วเครื่องบิน ตั๋วโดยสาร จองโรงแรม ที่พักทั้งในประเทศและต่างประเทศ,88/192 ซอยรามอินทรา 65 แยก 8  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
743,0105558199732,บจ.เบสท์สปอร์ต จำกัด,29/12/2558," 1,000,000 ",ประกอบกิจการ บริหารจัดการงานแข่งขันกีฬาทุกชนิด และรับจัดจ้างทำของรางวัลด้านการกีฬา,68/48 ซอยสายไหม 45/1  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
744,0105558195117,บจ.เสงี่ยม สังข์ สง่า จำกัด,17/12/2558," 1,000,000 ",ประกอบกิจการบริการ นวดแผนโบราณ นวดสปา รับบริบาล ดูแลผู้สูงอายุ,399 ถนนสุขาภิบาล 5  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
745,0103558023748,หจ.วิลล่า ซาลอน,4/12/2558," 1,000,000 ",งานบริการตัดผม แต่งผม,4/39 ถนนสุขาภิบาล 5  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
746,0105558197772,บจ.เฮลท์ตี้ พรีเมี่ยม โปรดัค จำกัด,24/12/2558," 1,000,000 ",ประกอบกิจการผลิต จำหน่าย ตัวแทนจำหน่าย นำเข้าและส่งออก อาหารเสริม อาหารบำรุง ผลิตภัณฑ์เพื่อสุขภาพ,14 ซอยโชคชัย4 ซอย18 ถนนโชคชัย4  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
747,0105558196181,บจ.เพชร ไบโอฟูเอล จำกัด,21/12/2558," 1,000,000 ",ประกอบกิจการโรงงานผลิตชิ้นไม้,91/1381 ซอยนวลจันทร์56แยก1  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
748,0103558024493,หจ.อินดี้ พรีเพรส ซิสเต็มส์,25/12/2558," 1,000,000 ",ประกอบกิจการออกแบบสื่อพิมพ์ แยกสี ทำเพลท Print on Demand,25 ซอยสังคมสงเคราะห์ 16  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
749,0105558192185,บจ.กรีน อินโนเวทีฟ ไบโอเทคโนโลยี โฮลดิ้ง จำกัด,9/12/2558," 1,000,000 ",อาหารเสริมสำหรับพืช อาหารเสริมสำหรับสัตว์ วัคซีนพืช ปุ๋ยชนิดต่าง ๆ,8/124 โครงการเวิร์คเพลส รัชดา-รามอินทรา ถนนรัชดา-รามอินทรา  แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230
750,0105558198345,บจ.ฟอร์เวิร์ด เคมิคอล จำกัด,25/12/2558," 1,000,000 ",ผลิต นำเข้า ส่งออก ผลิตภัณฑ์น้ำยาล้างจาน น้ำยาซักผ้า ผลิตเคมีภัณฑ์,259 ซอยประเสริฐมนูกิจ 29 ถนนประเสริฐมนูกิจ  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230
751,0105558195061,บจ.พี เบสเตอร์ จำกัด,17/12/2558," 1,000,000 ",การผลิต เครื่องมือแพทย์ และอุปกรณ์ทางการแพทย์,8 ซอยแยกสวนสยาม 3 แยก 9  แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230
752,0105558189176,บจ.ที.โอ.บี. ก่อสร้าง จำกัด,1/12/2558," 1,000,000 ",รับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ งานก่อสร้างทุกชนิด,79/70 ซอยประเสริฐมนูกิจ 29 แยก 2 ถนนประเสริฐมนูกิจ  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
