นิติบุคคลจัดตั้งเดือนกรกฎาคม  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
331,0105558109547,บจ.ลีสุ่นจิน จำกัด,6/7/2558," 2,000,000 ",ประกอบกิจการนำเข้าส่งออก ซื้อขาย อุปกรณ์ อะไหล่ ซึ่งสินค้าทุกชนิด,2143 ซอยกาญจนาภิเษก 8  แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160
332,0105558113609,บจ.สบาย ลาติน เอ็นเตอร์เทนเม้นท์ จำกัด,13/7/2558," 2,000,000 ",ประกอบกิจการให้บริการรับสอน เต้น การแสดง การเต้นโชว์,529/84 ถนนบางแวก  แขวงบางแวก เขตภาษีเจริญ กรุงเทพมหานคร 10160
333,0105558124015,บจ.บวรเวช (222) จำกัด,29/7/2558," 2,000,000 ",การขายสินค้าจำพวกยาแผนปัจจุบันและแผนโบราณ รวมถึงสมุนไพร,87/8 ถนนราชพฤกษ์  แขวงบางแวก เขตภาษีเจริญ กรุงเทพมหานคร 10160
334,0105558108303,บจ.บลู วินโดว์ จำกัด,2/7/2558," 2,000,000 ",ประกอบกิจการออกแบบงานสถาปัตยกรรมไทย สถาปัตยกรรมทั่วไป รวมถึงอุปกรณ์โคมไฟโบราณจัดทำแบบประกอบการบูรณะ,257/3 หมู่ที่ 17  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170
335,0105558109610,บจ.มารีน โฟร์เซ่น ฟู้ดส์ จำกัด,6/7/2558," 2,000,000 ",ประกอบกิจการส่งออกปลาแช่แข็งทุกชนิด,69 ซอยบางพรม 37  แขวงบางพรม เขตตลิ่งชัน กรุงเทพมหานคร 10170
336,0105558112653,บจ.ซิกม่าเอฟ จำกัด,10/7/2558," 2,000,000 ",การก่อสร้างอาคาร,55/23 (หมู่บ้านธีรินทร์ตลิ่งชัน) ถนนแก้วเงินทอง  แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170
337,0105558113307,บจ.พรีเมี่ยม ออโต้ คาร์ จำกัด,10/7/2558," 2,000,000 ",ประกอบกิจการขายส่งและขายปลีกรถยนต์ อะไหล่รถยนต์รวมถึงศูนย์บริการซ่อมรถยนต์,"58/4 โครงการศูนย์รวมรถยนต์ ห้องเลขที่ จี7,จี8 หมู่ที่ 19 ถนนกาญจนาภิเษก  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170"
338,0105558115881,บจ.พีเค เทอราปี จำกัด,16/7/2558," 2,000,000 ",ประกกอบกิจการให้บริการรักษาทางกายภาพบำบัด,80 ชั้นที่ 2 ซอยบรมราชชนนี 53  แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170
339,0105558110294,บจ.อามา โคโลนี่ส์ จำกัด,7/7/2558," 2,000,000 ",ขายอาหารและเครื่องดื่ม เช่น ชา กาแฟ น้ำผลไม้ น้ำแร่ นม ขนมเค้ก,252-254 ถนนมหาราช  แขวงพระบรมมหาราชวัง เขตพระนคร กรุงเทพมหานคร 10200
340,0105558118821,บจ.ทริปเปิ้ล อี ไลท์ติ้ง จำกัด,21/7/2558," 2,000,000 ",ประกอบกิจการค้าประเภทอุปกรณ์ไฟส่องสว่าง เครื่องใช้ไฟฟ้า อุปกรณ์ไฟฟ้าทุกชนิด เครื่องมือเครื่องใช้,80-82 ถนนตรีเพชร  แขวงวังบูรพาภิรมย์ เขตพระนคร กรุงเทพมหานคร 10200
341,0105558108885,บจ.ไอเดียล เอฟเอ็กซ์ (ไทยแลนด์) จำกัด,3/7/2558," 2,000,000 ",บริการรับเป็นที่ปรึกษา ให้คำแนะนำ ด้านการลงทุน การเงิน การบัญชี ปัญหาเกี่ยวกับการบริการจัดการธุรกิจ,177/62 ซอยสุขาภิบาล 5 ซอย 69  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
342,0105558109211,บจ.ซีต้า เทรด (ไทยแลนด์) จำกัด,3/7/2558," 2,000,000 ",ประกอบกิจการนำเข้าและส่งออกผลิตภัณฑ์สินค้าที่เกี่ยวกับการเกษตรทุกชนิดสินค้าทั่วไป,43/14 ซอยชินเขต 12  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
343,0105558109709,บจ.อินฟินิท มอเตอร์สปอร์ต จำกัด,6/7/2558," 2,000,000 ",ประกอบกิจการบำรุงรักษายานยนต์ทั่วไป,113/34 ซอยกำแพงเพชร 6ซอย7แยก3-6 ถนนแจ้งวัฒนะ  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
344,0105558115059,บจ.เมทราเวทเธอร์ (ประเทศไทย) จำกัด,14/7/2558," 2,000,000 ",ประกอบกิจการบริการให้ข้อมูลเกี่ยวกับสภาพอากาศในเชิงพาณิชย์โดยให้บริการทั้งองค์กรธุรกิจ,47/352 ซอยงามวงศ์วาน 47 แยก 12  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
345,0105558107242,บจ.อินโนเวชั่น ไอเดีย จำกัด,1/7/2558," 2,000,000 ",ผลิต จัดจำหน่าย เครื่องกำเนิดโอโซน ระบบคลอรีนไดออกไซด์,333/236 หมู่ที่ 2 ถนนสายไหม  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
346,0105558107773,บจ.ทัช ลิสซิ่ง จำกัด,2/7/2558," 2,000,000 ",ประกอบกิจการค้า ยานพาหนะทุกชนิด อุปกรณ์การพิมพ์ สิ่งพิมพ์ กระดาษ,1/1 หมู่บ้านรัชธานี 7 ซอยสายไหม 23/1 ถนนสายไหม  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
347,0105558109652,บจ.เบบี้คิดดี้ จำกัด,6/7/2558," 2,000,000 ",ประกอบกิจการบริการให้คำปรึกษาและแนะนำเกี่ยวกับการพัฒนาบุคคล,111/463 ชั้นที่ 2 ซอยร่วมมิตรพัฒนา แยก 7  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
348,0105558110464,บจ.คิง สตรอง ทิกเก็ต แอนด์ เซอร์วิส จำกัด,7/7/2558," 2,000,000 ",ให้บริการด้านการจองตั๋วโดยสารเครื่องบิน โรงแรม ที่พัก และจัดประชุมสัมนา,149/24 ซอยคู้บอน 27 แยก 54  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
349,0105558111983,บจ.เลิร์นนิ่ง อิน วันเดอร์แลนด์ จำกัด,9/7/2558," 2,000,000 ",ประกอบกิจการที่เกี่ยวข้องกับกิจกรรมการเรียนการสอนภาษาสำหรับบุคคล หน่วยงานภาครัฐเอกชนทั้งในต่างประเทศ,79/179 หมู่บ้านพฤกษาวิลล์ 12A ถนนสายไหม  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
350,0105558122918,บจ.แอพพลาย เทนชั่น เมเชอร์เมนท์ จำกัด,28/7/2558," 2,000,000 ",ประกอบกิจการนำเข้า จำหน่าย อุปกรณ์อิเล็กทรอนิกส์ อะไหล่ และอุปกรณ์สำหรับรถบรรทุกรถแบ็คโค รถขุดเจาะ,77/694 หมู่บ้านชลลดา ซอยพหลโยธิน 54/1 แยก 4-45  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
351,0105558108559,บจ.หยงซึ่ง อินเตอร์เนชั่นแนล เทรดดิ้ง จำกัด,3/7/2558," 2,000,000 ",ประกอบกิจการ เป็นตัวแทน ซื้อ ขาย เช่าซื้อ ให้เช่า ซึ่งอสังหาริมทรัพย์,456/16 ถนนนวลจันทร์  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
352,0105558108702,บจ.แอดวานซ์ บิสซิเนส คอนเซปส์ จำกัด,3/7/2558," 2,000,000 ",ประกอบกิจการให้บริการจัดกิจกรรม อบรม สัมนา พัฒนาศักยภาพของผู้เข้าอบรมและสัมนาทุกประเภท,8/133 ซอยนาคนิวาส 48 แยก 14-1 ถนนนาคนิวาส  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
353,0105558111487,บจ.ไทย จี้ เซี้ยง ฟูด จำกัด,8/7/2558," 2,000,000 ",ประกอบกิจการผลิตและจำหน่ายผลไม้อบแห้งตามฤดูกาล,2 ซอยลาดพร้าววังหิน 47 ถนนลาดพร้าววังหิน  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
354,0105558113064,บจ.อัลฟ่า แฟคทอรี่ จำกัด,10/7/2558," 2,000,000 ",จัดตั้ง ดำเนินการ ลงทุนทำโรงงานประกอบ โชว์รูม ศูนย์บริการ ตัวแทนจำหน่าย อู่ซ่อม โรงเรียนสอนขับรถยนต์,1/698 ถนนประเสริฐมนูกิจ  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
355,0105558115679,บจ.ริคเต็ด เคนเนลส์ (ไทย) จำกัด,15/7/2558," 2,000,000 ",ให้บริการในการดูแลสัตว์เลี้ยง,38 ซอยนาคนิวาส 35 ถนนนาคนิวาส  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
356,0105558117396,บจ.เจ เอ เอส พัฒนาวิชาการ จำกัด,17/7/2558," 2,000,000 ",ประกอบกิจการให้การปรึกษาและให้บริการสนับสนุนแก่บุคคล คณะบุคคล นิติบุคคล หน่วยงานภาครัฐ รัฐวิสาหกิจ,10 ซอยรามอินทรา 58 แยก 3-5  แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230
357,0105558117418,บจ.นิว อีเดน คอเปอร์เรชั่น จำกัด,17/7/2558," 2,000,000 ",กิจกรรมเกี่ยวกับอหังสาริมทรัพย์,508/119 หมู่บ้านคาซ่าซิตี้ 1 ถนนสุคนธสวัสดิ์  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
358,0105558118198,บจ.เอ แอนด์ ที เท็กซ์ไทน์ (ประเทศไทย) จำกัด,20/7/2558," 2,000,000 ",รับติดตั้ง และ ขายปลีก-ส่งม่านทุกชนิด,21/132 ซอยนวลจันทร์ 50  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
359,0105558121237,บจ.ดับบลิว ที ไบค์ จำกัด,24/7/2558," 2,000,000 ",ขายปลีกและขายส่ง จักรยาน อะไหล่และอุปกรณ์อื่นๆ ที่เกี่ยวข้องกับจัรยานทุกปรเภท,1 ซอยประดิษฐ์มนูธรรม 31 ถนนประดิษฐ์มนูธรรม  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
360,0105558121466,บจ.วาย.อี.เอส. เฮลท์ (ประเทศไทย) จำกัด,24/7/2558," 2,000,000 ",ผลิต จำหน่าย อาหารเสริม ผลิตภัณฑ์ที่เกี่ยวกับสุขภาพ เครื่องสำอางค์,228 ถนนเสนานิคม 1  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
361,0103558014781,หจ.บิวตี้ กรุงเทพกรีฑา,16/7/2558," 2,000,000 ",จำหน่ายสินค้า สินค้าอุปโภค บริโภคทุกชนิด,26/1 ซอยกรุงเทพกรีฑา 19  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
362,0103558015109,หจ.สมดุลย์ พิพัฒน์พงษ์ การฟาร์ม,21/7/2558," 2,000,000 ",ทำฟาร์ม เลี้ยงไก่เนื้อ,233 ซอยลาดพร้าว 136 ถนนลาดพร้าว  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
363,0103558015168,หจ.ซานตาราจ,22/7/2558," 2,000,000 ",จำหน่ายเครื่องประดับ เครื่องแต่งกาย เครื่องอุปโภค,188/7 ถนนกาญจนาภิเษก  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
364,0103558015401,หจ.มันจีท แฟชั่น,23/7/2558," 2,000,000 ",ขายส่ง ขายปลีก เสื้อผ้าสำเร็จรูปทุกชนิด,9 ซอยกรุงเทพกรีฑา 10  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
365,0105558107277,บจ.จิลเลียน ไมล์ จำกัด,1/7/2558," 2,000,000 ",ประกอบธุรกิจบริการ ให้คำปรึกษาเกี่ยวกับการเดินทางทั้งในและนอกประเทศ,26 ซอยรามคำแหง 81/1 ถนนรามคำแหง  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
366,0105558109458,บจ.อาลีบาบา ฮอลิเดย์ จำกัด,6/7/2558," 2,000,000 ",ประกอบกิจการ โรงแรมภัตตาคาร บาร์ ไนท์คลับ,233 ถนนลาดพร้าว 101  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
367,0105558110961,บจ.อินเตอร์ ฮานาโร (ไทยแลนด์) จำกัด,8/7/2558," 2,000,000 ",นำเข้า จำหน่ายสินค้าอุปโภค บริโภค,99/635 ซอยราษฎร์พัฒนา 22  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
368,0105558110987,บจ.ลิมอวน จำกัด,8/7/2558," 2,000,000 ",ประกอบกิจการค้าอุปกรณ์ไฟฟ้า อิเล็คทรอนิค บริการติดตั้งและซ่อมแซมสินค้าดังกล่าว,2 ซอยลาดพร้าว 101 ซอย 30(บงกชพัฒนา)  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
369,0105558111860,บจ.เอเวอร์ลาสติ้ง อินเตอร์เทรด จำกัด,9/7/2558," 2,000,000 ",ส่งออกสินค้าอุปโภค บริโภค เสื้อผ้า รองเท้า กระเป๋า ปลาแห้ง,162/1 ซอยลาดพร้าว 101/1 ถนนลาดพร้าว  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
370,0105558114982,บจ.อัลตร้า เทรดดิ้ง เทค จำกัด,14/7/2558," 2,000,000 ",นำเข้า จำหน่าย อุปกรณ์ไฟฟ้าและอิเล็คทรอนิค เช่น อุปกรณ์เครื่องหยอดเหรียญทุกชนิดเป็นต้น,398 ซอยลาดพร้าว 101/1 แยก 9  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
371,0105558116063,บจ.วิจินซ่า โกลบอล (ไทยแลนด์) จำกัด,16/7/2558," 2,000,000 ",จำหน่ายสินค้าอุปโภคบริโภค เพื่อการส่งออกไปยังต่างประเทศ,273 ซอยหัวหมาก 31  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
372,0105558116233,บจ.ชินกุ จำกัด,16/7/2558," 2,000,000 ",ประกอบกิจการค้าขายอาหารและเครื่องดื่ม,7/7 ศูนย์การค้าเดอะพาซิโอทาวน์ ชั้นที่ 2 ห้องเลขที่ C-202/2 ถนนรามคำแหง  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
373,0105558118937,บจ.มหาจักร แอร์ เซอร์วิส แอนด์ โซลูชั่น จำกัด,21/7/2558," 2,000,000 ",ประกอบกิจการติดตั้ง บริการซ่อมแซมและบำรุงรักษาเครื่องปรับอากาศ เครื่องระบายอากาศต่างๆทุกชนิด,225 ถนนรามคำแหง  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
374,0105558119127,บจ.เวิลด์คลีน เอ็นเนอร์ยี่ จำกัด,21/7/2558," 2,000,000 ",ประกอบกิจการรับกำจัดขยะ ผลิตไฟฟ้า พลังงานความร้อน และเชื้อเพลิง,"343,345,347 ถนนรามคำแหง  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240"
375,0105558119291,บจ.เดอะ บราวนี่เบเกอรี่ จำกัด,21/7/2558," 2,000,000 ",ผลิต จำหน่ายเบเกอรี่ ขนม อาหาร เครื่องดื่ม อุปกรณ์และวัตถุดิบ สำหรับผลิตสินค้าดังกล่าว,222 ซอยลาดพร้าว134(เทพทวี) ถนนลาดพร้าว  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
376,0105558119348,บจ.ไท่ หยิง จำกัด,22/7/2558," 2,000,000 ",ประกอบกิจการ จำหน่ายสินค้า ประเภทเครื่องประดับกายและจิวเวอรี่ทุกชนิด,53/140 ซอยรามคำแหง 24/3  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
377,0105558119461,บจ.เบคเกอร์รี่ แอนด์ มอร์ จำกัด,22/7/2558," 2,000,000 ",ประกอบกิจการร้านอาหาร เบเกอรี่ ไอศกรีม,112/15 ซอยนวมินทร์ 111  แขวงนวมินทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10240
378,0105558119542,บจ.ฟาสต์คูล จำกัด,22/7/2558," 2,000,000 ",ประกอบกิจการผลิต จำหน่าย ตัวแทน ตู้เย็น เครื่องทำความสะอาด เครื่องเย็น ปรับอากาศ ซ่อมแซม ทุกชนิด,5/35 ซอยนวมินทร์ 56 ถนนนวมินทร์  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240
379,0105558120541,บจ.นาว ออเทอร์ อัลเทอร์เนทีฟส์ จำกัด,23/7/2558," 2,000,000 ",ประกอบกิจการแปลสอนเป็นล่ามภาษาต่างประเทศ เป็นที่ปรึกษาด้านภาษาต่างประเทศ,49/79 ซอยรามคำแหง 90  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
380,0105558120591,บจ.เวอร์ชวล มอลล์ จำกัด,23/7/2558," 2,000,000 ",จำหน่ายสินค้า อุปโภค บริโภค ทางอิเล็คทรอนิคส์ (มิใช่ธุรกิจขายตรง),14 ซอยหัวหมาก 13  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
381,0105558122811,บจ.โปรเฟสชั่นแนล โก เกรน จำกัด,28/7/2558," 2,000,000 ",จำหน่ายข้าวสาร ข้าวกล้อง และปลายข้าวบรรจุถุง,9/117 ซอยรามคำแหง 144  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
382,0105558123442,บจ.เจเอส พีอาร์ แอนด์ มาเก็ตติ้ง จำกัด,28/7/2558," 2,000,000 ",จัดงานแสดง อีเว้นท์ คอนเสิร์ต สื่อโฆษณาทุกชนิด,7/56 อัสสกาญจน์เพลส ซอยรามคำแหง 105/1  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
383,0105558124104,บจ.คูเมล อาบีดิ จำกัด,29/7/2558," 2,000,000 ",ประกอบกิจการ ขายปลีก ขายส่งรองเท้า เครื่องหนัง เสื้อผ้าสำเร็จรูปทุกชนิด,515 ห้องเลขที่ อี11-อี12 ถนนรามคำแหง 59  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
384,0103558015664,หจ.ราม อินเตอร์เทรด,28/7/2558," 2,000,000 ",จำหน่าย เครื่องประดับ เครื่องนุ่งห่ม เครื่องอุปโภค บริโภค,406 ซอยรามคำแหง 2 ซอย 8  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250
385,0103558015672,หจ.โปรดักส์ กรุ๊ปส์,28/7/2558," 2,000,000 ",จำหน่ายเครื่องประดับกาย กระเป๋า รองเท้า ทุกชนิด,2 ซอยอ่อนนุช 70 แยก7-1  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
386,0105558107013,บจ.บี ทเวนตี้วัน จำกัด,1/7/2558," 2,000,000 ",ประกอบกิจการค้า ซื้อขาย แลกเปลี่ยน ให้เช่า จัดไฟแนนซ์ รับจำนำ รถยนต์ใหม่และเก่าทุกชนิดทุกยี่ห้อ,94 ถนนศรีนครินทร์  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
387,0105558108338,บจ.บิวด์ อัพ คอนสตรัค จำกัด,2/7/2558," 2,000,000 ",บริการจัดการ งานเลี้ยง งานสังสรรค์ งานบริการ งานทุกประเภท,3 ซอยพระรามเก้า 62 (ซอย 8 เสรี 8)  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
388,0105558108842,บจ.โปรฟาสท์ ฮาร์ดแวร์ แอนด์ ฟาสเทนเนอร์ จำกัด,3/7/2558," 2,000,000 ",ประกอบกิจการสั่งเข้ามาจำหน่ายในประเทศและส่งออกไปจำหน่ายยังต่างประเทศ,700/38 อาคารรีเจ้นท์ศรีนครินทร์ทาวเวอร์ ซอยประจิต ถนนศรีนครินทร์  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
389,0105558113293,บจ.ไอเอ็นวาย เทค จำกัด,10/7/2558," 2,000,000 ",ซื้อมาขายไปซึ่งชิ้นส่วนแม่พิมพ์ และวัสดุที่ใช้ในการผลิต ชิ้นส่วนแม่พิมพ์,12/162 ซอยพัฒนาการ 51 ถนนพัฒนาการ  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
390,0105558113901,บจ.เอ็มเอสสตาร์ดอม จำกัด,13/7/2558," 2,000,000 ",ประกอบกิจการค้า ข้าว โพด มันสำปะหลัง และพืชผลทางการเกษตรทุกชนิด,21/24 ซอยพัฒนาการ 76 ถนนพัฒนาการ  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
391,0105558114630,บจ.เอสอีเอ คอนทิเนนเทิล จำกัด,14/7/2558," 2,000,000 ",ประกอบกิจการ วัสดุก่อสร้าง อุปกรณ์และเครื่องมือใช้ในการก่อสร้าง เคร่องมือช่างทุกประเภท สี เครื่องมือ,446 ซอยพัฒนาการ 63 ถนนพัฒนาการ  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
392,0105558114974,บจ.อาร์ต ฟาเซ็ท จำกัด,14/7/2558," 2,000,000 ",ผลิตและจำหน่ายเครื่องประดับอัญมณีและนำเข้าส่งออก,64/43 ซอยสุขาภิบาล 2 ซอย 31  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250
393,0105558117051,บจ.ธารธรรมรักษ์ จำกัด,17/7/2558," 2,000,000 ",ให้เช่าอาคารสำนักงาน,589 ซอยพระรามเก้า 49 (ถนนเสรี6)  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
394,0105558118759,บจ.สเต็ปส์ คอสเมติกส์ (ประเทศไทย) จำกัด,21/7/2558," 2,000,000 ",ประกอบกิจการค้าเครื่องสำอางค์ เวชสำอางค์ อุปกรณ์เครื่องมือและเครื่องใช้เสริมความงาม,111 ซอยอ่อนนุช 35 ถนนสุขุมวิท 77  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
395,0105558119275,บจ.ไท่ หนิง กรุ๊ป (ไทยแลนด์) จำกัด,21/7/2558," 2,000,000 ",ให้บริการ รับติดตั้งอุปกรณ์เครื่องมือเครื่องใช้ตกแต่งภายในบ้าน และอาคาร,54 ซอยพัฒนาการ 61  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
396,0105558120877,บจ.พลยานันท์ จำกัด,23/7/2558," 2,000,000 ",ประกอบกิจการจัดทำซอฟต์แวร์สำเร็จรูป พร้อมจัดหาคอมพิวเตอร์ และอุปกรณ์ที่ต้องใช้ร่วมกัน,261 ซอยพัฒนาการ 61  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
397,0105558121326,บจ.เคเจ โฮลดิ้ง จำกัด,24/7/2558," 2,000,000 ",ประกอบกิจการการจัดงานแสดง อีเว้นท์ งานโฆษณา,4 ซอยพัฒนาการ 20 แยก 6  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
398,0105558121342,บจ.ไท่หง กรุ๊ป จำกัด,24/7/2558," 2,000,000 ",เป็นตัวแทนในการจอง หรือจำหน่ายตั๋วเครื่องบิน,20/48 หมู่บ้านเพอร์เฟคมาสเตอร์พีซ เดอะ เมโทร ถนนมอเตอร์เวย์  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
399,0105558123141,บจ.อุรัศยา มารีน ลูบริแคนท์ จำกัด,28/7/2558," 2,000,000 ",ประกอบกิจการนำเข้าและเป็นตัวแทนจำหน่ายผลิตภัณฑ์หล่อลื่น,5/113 ซอยอนามัย ถนนศรีนครินทร์  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
400,0105558124490,บจ.วินเทค อินเตอร์เน็ต เทคโนโลยี จำกัด,29/7/2558," 2,000,000 ",ขายส่งอุปกรณ์และชิ้นส่วนทางอิเล็กทรอนิคและทางการสื่อสารโทรคมนาคม,760/427 ซอยพัฒนาการ 38 ถนนพัฒนาการ  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
401,0105558124589,บจ.เอฟ เค ทูลลิ่ง จำกัด,29/7/2558," 2,000,000 ",ประกอบการขายเครื่องจักรและอุปกรณ์เพื่อใช้ในงานอุตสาหกรรม,270 ซอยกาญจนาภิเษก 39 แยก 10  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250
402,0105558124597,บจ.ฉีจี จองไท่ จำกัด,29/7/2558," 2,000,000 ",บริการด้านอาหารในภัตตาคาร ร้านอาหาร,760/427 ซอยพัฒนาการ 38 ถนนพัฒนาการ  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
403,0103558015079,หจ.จีรี กรุ๊ปส์,21/7/2558," 2,000,000 ",จำหน่ายเครื่องประดับ เครื่องแต่งกาย เครื่องอุปโภค บริโภค,23/19 ซอยบางนา-ตราด 2  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
404,0105558107455,บจ.เค แอนด์ พี โคเรีย จำกัด,1/7/2558," 2,000,000 ",ประกอบกิจการบริการด้านอาหารในภัตตาคาร/ร้านอาหาร,10 ซอยสุขุมวิท 64 ถนนสุขุมวิท  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
405,0105558109105,บจ.เอ็น.ซี ลักกี้ สตาร์ จำกัด,3/7/2558," 2,000,000 ",ส่งออก ค้าขาย เสื้อผ้า รองเท้า กระเป๋า เครื่องหนังทุกชนิด,45/1-2 อาคารชุด อุดมสุขทาวเวอร์ ชั้นที่ 1 ซอยสุขุมวิท 103  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
406,0105558110502,บจ.คิง คัลเจอร์ จำกัด,7/7/2558," 2,000,000 ",ประกอบธุรกิจให้บริการเกี่ยวกับการจัดหาห้องพัก,2 ซอยบางนา-ตราด 21 แยก 3 ถนนบางนา-ตราด  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
407,0105558115555,บจ.เวค แอนด์ วันเดอร์ จำกัด,15/7/2558," 2,000,000 ",ประกอบกิจการค้าผ้าผ้าทอจากใยสังเคราะห์ด้ายด้ายยางยืดเส้นใยไนล่อนเส้นด้ายยืดเครื่องนุ่งห่มเสื้อผ้าฯลฯ,11 ซอยวชิรธรรมสาธิต 36 ถนนสุขุมวิท 101/1  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
408,0105558118694,บจ.ทรัพย์มงคล 999 จำกัด,21/7/2558," 2,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย และงานก่อสร้างอื่นทุกชนิด,17 ซอยสุขุมวิท 62 แยก 5  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
409,0105558120583,บจ.ดีท็อป อินเตอร์เนชั่นแนล เทรดดิ้ง จำกัด,23/7/2558," 2,000,000 ",ประกอบกิจการนำเข้า ส่งออก ขายในประเทศ อวน เบ็ด เอ็นเบ็ด โซ่ อุปกรณ์การประมงทุกชนิด,1312 ซอยบางนา-ตราด 27  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
