นิติบุคคลจัดตั้งเดือนกันยายน  2558,,,,,,,,
ทั่วประเทศ,,,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
"1,090",0105558141718,บจ.เคทูซีนเนอร์จี จำกัด,1/9/2558," 1,000,000 ",เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัด เป็นผู้ถือหุ้นในบริษัทจำกัดและมหาชน,90/219 ซอยวัชรพล 1/4  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,091",0105558142358,บจ.เคเคทีซี อิควิปเม้นท์ จำกัด,2/9/2558," 1,000,000 ",ประกอบกิจการขายสินค้า ประเภท เครื่องมือช่าง,60/87 หมู่บ้านมัณฑวรรณ ซอยสายไหม 37  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,092",0105558142366,บจ.สตูดิโอ แพสชั่นฟรุ้ต จำกัด,2/9/2558," 1,000,000 ",ผลิต รับจ้างอัด บันทึก เพื่อให้เป็นเสียงเพลง ดนตรี ทำนอง คำพูด,71 ซอยรามอินทรา 31  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,093",0105558142587,บจ.เบสท์ คอนเทค เอ็นจิเนียริ่ง จำกัด,2/9/2558," 1,000,000 ",ประกอบกิจการออกแบบ ก่อสร้าง ติดตั้ง ระบบต่างๆภายในอาคาร โรงงาน ที่อยู่อาศัย สำนักงานต่างๆ,643/9 ซอยพหลโยธิน 58 แยก 85  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,094",0105558142595,บจ.เบรด ปริ้นท์ จำกัด,2/9/2558," 1,000,000 ",ประกอบกิจการให้บริการออกแบบ ผลิต ติดตั้ง ป้ายสื่อโฆษณา อิงค์เจ็ท ไวนิล แผ่นพับ สติ๊กเกอร์ต่างๆ,119/83 ซอยสายไหม 15 (หมู่บ้านอัมรินทร์ฯ 3 ผัง 4)  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,095",0105558143966,บจ.แอลอีดี เมน. ไฮเดฟฟิเนชัน จำกัด,4/9/2558," 1,000,000 ",ประกอบกิจการจำหน่าย ให้เช่า และติดตั้งจอ แอลอีดี และอุปกรณ์ต่อพ่วง เพื่อการโฆษณา และงานอีเว้นท์ต่างๆ,137/418 ซอยคู้บอน 27 แยก 21  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,096",0105558144261,บจ.บางกอกฟู้ดส์1988 จำกัด,4/9/2558," 1,000,000 ",นำเข้า ส่งออกแปรรูป และจำหน่าย กระเพาะปลา อาหารทะเลสด และ อาหารทะเลแช่แข็ง,7 ซอยสายไหม 50 (เคหะทัพฟ้า 2)  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,097",0105558145004,บจ.บี เอ็นเนอร์ยี่ คอนเวอร์เจนซ์ จำกัด,7/9/2558," 1,000,000 ",ประกอบกิจการทางด้านธุรกิจพลังงานทดแทน พลังงานหมุนเวียน อาทิการผลิตไฟฟ้าจากก๊าซชีวภาพ,2/5 ซอยรามอินทรา 5 แยก 11 ถนนรามอินทรา  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,098",0105558145942,บจ.บีเคเค คอนซัลติ้ง เซอร์วิสเซส จำกัด,9/9/2558," 1,000,000 ",เป็นที่ปรึกษาด้านระบบเครือข่ายความปลอดภัยข้อมูล การประเมินความเสี่ยง การป้องกันระบบความปลอดภัย,77/630 ซอยพหลโยธิน 54/1 แยก 4-45 (ม.ชลลดา)  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,099",0105558146621,บจ.เวนเตอร์ จำกัด,9/9/2558," 1,000,000 ",ประกอบกิจการบริการทำเว็บไซต์ ซอฟต์แวร์ ดูแลฮาร์ดแวร์ในบริษัท,2 ซอยพหลโยธิน 48 แยก 50  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,100",0105558146701,บจ.71 บ็อค จำกัด,9/9/2558," 1,000,000 ",ประกอบกิจการขายเสื้อผ้าสำเร็จรูป,1/236 ซอยสายไหม 23/1  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,101",0105558146710,บจ.จีอี แอสเซ็ท จำกัด,9/9/2558," 1,000,000 ",ประกอบกิจการให้เช่าอสังหาริมทรัพย์,88 ถนนลาดปลาเค้า  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,102",0105558146728,บจ.จีอี แมเนจเม้นท์ จำกัด,9/9/2558," 1,000,000 ",ประกอบกิจการห้างสรรพสินค้า พลาซ่า,88 ถนนลาดปลาเค้า  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,103",0105558147091,บจ.เค เอฟ ที คอร์เปอร์เรชั่น (ประเทศไทย) จำกัด,9/9/2558," 1,000,000 ",ประกอบกิจการค้าเกี่ยวกับอาหารทะเล,78/12-14 (ชั้น 2-4) ถนนแจ้งวัฒนะ  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,104",0105558147210,บจ.เอ ริช ออแกนิก ไรซ์ จำกัด,9/9/2558," 1,000,000 ",ประกอบกิจการค้าข้าว ข้าวโพด มันสำปะหลัง สำปะหลังอัดเม็ด กาแฟ ปาล์มน้ำมัน ปอ ฝ้ายของป่า,70/157 ซอยรามอินทรา65 แยก2-4  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,105",0105558147261,บจ.ศิริ อินโฟ เซอร์วิส จำกัด,9/9/2558," 1,000,000 ",ประกอบกิจการรับจ้างออกแบบ ขายติดตั้ง ดูแลระบบกล้องวงจรปิด อุปกรณ์เชื่อมต่อที่เกี่ยวข้องทุกชนิด,98/19 หมู่บ้านไลฟ์ บางกอกบูเลอวาร์ด ซอยรามอินทรา 23 ถนนรามอินทรา  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,106",0105558147562,บจ.เวียดนามเบอร์เกอร์รี่ จำกัด,10/9/2558," 1,000,000 ",ประกอบกิจการค้าอาหาร และเครื่องดื่ม,333/233 ซอยสายไหม 54 (หมู่บ้านซิลค์วิลเลจ)  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,107",0105558147686,บจ.ทิพย์ เซ็นเตอร์ คาร์ จำกัด,10/9/2558," 1,000,000 ",ประกอบกิจการขายรถยนต์ใหม่ชนิดรถยนต์นั่งส่วนบุคคลรถกะบะ,65/15 ซอยรามอินทรา 14 ถนนรามอินทรา  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,108",0105558148020,บจ.เอพลัส ไฮบริด แมททีเรียล (ประเทศไทย) จำกัด,11/9/2558," 1,000,000 ",ประกอบกิจการขายวัสดุก่อสร้าง,56/249 ซอยพหลโยธิน 59 แยก 3  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,109",0105558148429,บจ.ณ นำทรัพย์ จำกัด,11/9/2558," 1,000,000 ",ประกอบกิจการเป็นตัวแทนจำหน่ายกาแฟสำเร็จรูป,77/1010 หมู่บ้านชลลดา ซอยพหลโยธิน 54/1 แยก 4-45 ถนนสายไหม  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,110",0105558148739,บจ.รื้อถอนไทย ผู้ชำนาญการ จำกัด,11/9/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย ถนน สะพาน,328/2 ถนนพหลโยธิน  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,111",0105558148887,บจ.เอ็กตร้า ไลฟ์ เอ็นจิเนียริ่ง จำกัด,11/9/2558," 1,000,000 ",ประกอบกิจการรับเหมาติดตั้งไฟฟ้า,39/122 ซอยลาดปลาเค้า 60 ถนนรามอินทรา  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,112",0105558149387,บจ.อรพรรณ จ็อบเวล จำกัด,14/9/2558," 1,000,000 ",ประกอบกิจการรับจ้างออกแบบ ตกแต่งดูแลรักษาต้นไม้,33/49 ถนนรามอินทรา  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,113",0105558149395,บจ.ลา วี เฮลธ์ จำกัด,14/9/2558," 1,000,000 ",ประกอบกิจการค้าขายปลีก ขายส่งอาหารเสริมทุกชนิด,299/699 หมู่บ้านมัณฑนา เลค-วัชรพล ถนนสุขาภิบาล 5  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,114",0105558149506,บจ.บีพี ลิฟวิ่ง โปรดักส์ จำกัด,14/9/2558," 1,000,000 ",ปรกอบกิจการค้า เครื่องเคหภัณฑ์ เครื่องเรือน เฟอร์นิเจอร์ เครื่องแก้ว เครื่องเรือนเครื่องปรับอากาศ,29 ซอยรามอินทรา 8 แยก 22  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,115",0105558149981,บจ.ซัคเซส มาร์เก็ตติ้ง จำกัด,15/9/2558," 1,000,000 ",ประกอบกิจการเกี่ยวกับการจัดงานแสดงสินค้า,11 ซอยรามอินทรา 39 แยก 4  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,116",0105558150334,บจ.วีโดโม่ จำกัด,16/9/2558," 1,000,000 ",ประกอบกิจการให้บริการด้านสื่อโฆษณาประชาสัมพันธ์ในทางธุรกิจรับเป็นที่ปรึกษาและให้คำแนะนำการสร้างสรรค์,108/690 ซอยพหลโยธิน 69/4  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,117",0105558150725,บจ.พี เอ เค แลบบอราทอรี่ จำกัด,16/9/2558," 1,000,000 ",ประกอบกิจการขายส่งสินค้าทางเภสัชภัณฑ์ทั้งชนิดเคมีภัณฑ์ ยาและอุปกรณ์ทางแพทย์ผลิตภัณฑ์เคมีที่ใช้ภายนอก,181/64 ซอยหมู่บ้านสินทรัพย์นคร  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,118",0105558150750,บจ.ดี มายด์ เซอร์วิส จำกัด,16/9/2558," 1,000,000 ",จำหน่ายและบริการระบบปรับอากาศ-ระบบน้ำร้อน สำหรับบ้านพักอาศัย อาคาร และโรงงาน,88/49 ซอยรามอินทรา 65 แยก 8  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,119",0105558150792,บจ.สยาม เมดิเทค จำกัด,16/9/2558," 1,000,000 ",ประกอบกิจการผลิตและนำเข้าเพื่อจำหน่ายเครื่องมือแพทย์ บอร์ดวงจรอิเล็กทรอนิกส์,339 ซอยร่วมพัฒนา 33  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,120",0105558151101,บจ.พาวเวอร์ ซันไลท์ เอ็นจิเนียริ่ง จำกัด,17/9/2558," 1,000,000 ",ประกอบกิจการจำหน่าย ระบบโซ่ล่าเซล ข้อต่อและการเดินสายไฟ การเดินสายโทรคมนาคม สร้างเครือข่ายคอมพิวเตอร,56/277 ซอยพหลโยธิน 59 แยก 3 ถนนพหลโยธิน  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,121",0105558151675,บจ.ยูนิเวอร์แซล แคปปิตอล โฮลดิ้งส์ จำกัด,17/9/2558," 1,000,000 ",ประกอบกิจการเช่าซื้อ ให้เช่า ยานพาหนะทุกประเภท อุปกรณ์เกี่ยวกับยานพาหนะ อสังหาริมทรัพย์,36/29 ซอยสายไหม 18 (ไพรแสง)  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,122",0105558152078,บจ.เอสพีเอส.คอน จำกัด,18/9/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,199/15 ซอยร่วมมิตรพัฒนา แยก 10  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,123",0105558152116,บจ.สมาร์ทเวย์ เฮลท์แคร์ จำกัด,18/9/2558," 1,000,000 ",ประกอบกิจการค้าผลิตภัณฑ์อาหารเสริมสุขภาพและผลิตภัณฑ์เครื่องสำอางค์,5/41 หมู่บ้านชัยพฤกษ์ ถนนวัชรพล  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,124",0105558152132,บจ.มาสเตอร์ เอ็นจิเนีย จำกัด,18/9/2558," 1,000,000 ",ออกแบบ วางแผน จัดระบบควบคุม รับเหมา รับช่วงงานหรือให้ช่วงงาน,84 ซอยลาดปลาเค้า 72  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,125",0105558152205,บจ.เดอะ ฟูล ลากูน จำกัด,18/9/2558," 1,000,000 ",ประกอบกิจการประมงการค้า สินค้าสัตว์น้ำ ผลิตภัณฑ์สัตว์น้ำ และอุตสาหกรรมสัตว์น้ำ,188/83 ถนนสายไหม  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,126",0105558152230,บจ.บอกเล่าเก้าสิบ จำกัด,18/9/2558," 1,000,000 ",จัดสร้างและจัดจำหน่ายภาพยนตร์ รับจ้างถ่ายทำภาพยนตร์ ละคร สารคดี เขียนบทภาพยนตร์ บทละคร,11/129 ซอยพหลโยธิน48 แยก5  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,127",0105558152361,บจ.เอส ไวทาลิตี้ จำกัด,18/9/2558," 1,000,000 ",การผลิตและการส่งไฟฟ้า,1/11 ซอยสายไหม 55 (หมู่บ้านลานมณี) ถนนพหลโยธิน  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,128",0105558152370,บจ.ฟ้าหลวง ครีเอชั่น จำกัด,18/9/2558," 1,000,000 ",ประกอบกิกจารงานโฆษณา และประชาสัมพันธ์ ผลิตสื่อสิ่งพิมพ์ โทรทัศน์ วิทยุ สื่อในบ้าน และนอกบ้าน,32/2 ซอยรามอินทรา 55/8  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,129",0105558152388,บจ.คัซสตูเด่ม จำกัด,18/9/2558," 1,000,000 ",กิจกรรมทางกฎหมายและบัญชี,1/11 ซอยสายไหม 55 (หมู่บ้านลานมณี) ถนนพหลโยธิน  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,130",0105558152795,บจ.เบส ออฟ เจแปน จำกัด,21/9/2558," 1,000,000 ",นำเข้าสินค้าอุปโภค บริโภค,71 ซอยรามอินทรา 31  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,131",0105558153350,บจ.อิราไทย อินเตอร์เนชั่นแนล เทรด จำกัด,22/9/2558," 1,000,000 ",การนำเข้า ส่งออก เครื่องมือแพทย์ อุปกรณ์ทางการแพทย์ เครื่องมือเครื่องใช้ทางวิทยาศาสตร์,29/67 หมู่บ้านเดอะ คอนเนค12 ซอยรามอินทรา65แยก2-2-2 ถนนรามอินทรา  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,132",0105558153520,บจ.โกลเด้น ไทย ออร์แกนิค จำกัด,22/9/2558," 1,000,000 ",ผลิต จำหน่ายพืชผลทางการเกษตร เกี่ยวกับข้าวทุกประเภท และผลิตภัณฑ์ที่เกี่ยวข้อง,70/48 ซอยรามอินทรา 65 แยก 2-4  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,133",0105558153601,บจ.บูม อินเตอร์ กรุ๊ป (2559) จำกัด,22/9/2558," 1,000,000 ",ประกอบกิจการให้บริการรักษาความปลอดภัย,125/1 ซอยสายไหม 15/1 ถนนสายไหม  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,134",0105558153651,บจ.พิธิยาการพิมพ์(ประเทศไทย) จำกัด,22/9/2558," 1,000,000 ",ประกอบกิจการโรงพิมพ์ รับพิมพ์สิ่งพิมพ์ทุกชนิด,18 ซอยรามอินทรา 8 แยก 24 ถนนรามอินทรา  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,135",0105558153961,บจ.มัทธิว สทิวเด็นท์ เซอร์วิส เซ็นเตอร์ จำกัด,22/9/2558," 1,000,000 ",ให้คำปรึกษาในการศึกษาต่อต่างประเทศ บริการรับยื่นวีซ่านักเรียนทุกประเทศ,38/179 ซอยรามอินทรา 55/8  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,136",0105558154054,บจ.ดีเด่น โลจิสติกส์ จำกัด,23/9/2558," 1,000,000 ",การบริการ เป็นที่ปรึกษาและเป็นตัวแทนทางด้านการขนส่งทั้งทางบก ทางน้ำ ทางอากาศ,299/798 ถนนสุขาภิบาล 5  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,137",0105558154127,บจ.เพื่อนมั่นคง จำกัด,23/9/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง บ้าน อาคาร โรงงาน ทั้งหน่วยงานราชการและเอกชน,59/27 ซอยรามอินทรา 5 แยก 1 ถนนรามอินทรา  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,138",0105558154798,บจ.ออลเวย์แฮปปี้ จำกัด,23/9/2558," 1,000,000 ",ประกอบกิจการขนส่ง สินค้า และคนโดยสารทั้งทางบก และทางอากาศ ทางน้ำ ทั้งใน และต่างประเทศ,244 ห้อง 4 ซอยพหลโยธิน 48  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,139",0105558154801,บจ.เอ็น เอ็น เจ คอนสตรัคชั่น จำกัด,23/9/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร,4 ซอยรามอินทรา 5 แยก 4  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,140",0105558155034,บจ.ทีเอ็มเจ แอโร่ เซอร์วิส จำกัด,24/9/2558," 1,000,000 ",ประกอบกิจการให้บริการ ให้คำปรึกษาและสนับสุนการซ่อมอากาศยาน,90/9 ซอยสายไหม 51 (หมู่บ้านเลิศปิยะวรรณ) ถนนสายไหม  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,141",0105558155221,บจ.เอสบี โซลูชั่น แอนด์ เซอร์วิส จำกัด,24/9/2558," 1,000,000 ",ประกอบกิจการพัฒนาโปรแกรม,166/24 ซอยคู้บอน 27 แยก 11  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,142",0105558155867,บจ.อาร์อี โฮลดิ้ง จำกัด,25/9/2558," 1,000,000 ",ประกอบการผลิต จำหน่าย และส่งออกชีวมวลอัดแท่ง,222/312 ซอยร่วมมิตรพัฒนา แยก 5 ถนนรามอินทรา  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,143",0105558156375,บจ.มงคล999 ออร์แกไนซ์เซอร์ จำกัด,25/9/2558," 1,000,000 ",กิจกรรมขององค์กรสมาชิกผู้ประกอบวิชาชีพ,1016 หมู่ที่ 7  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,144",0105558156421,บจ.โชคดี 168 จำกัด,28/9/2558," 1,000,000 ",ประกอบกิจการจำหน่ายปลีกและส่งอาหารและเครื่องดื่มรวมทั้งสินค้าอุปโภค บริโภคทุกประเภท,78/2 ซอยวัชรพล 2  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,145",0105558156715,บจ.ภารดี ฮอลิเดซ์ จำกัด,28/9/2558," 1,000,000 ",ประกอบกิจการจำหน่ายตั๋วเครื่องบิน,148/32 ซอยคู้บอน 27 แยก 52  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,146",0105558158483,บจ.ดั๊ค บา ดู จำกัด,30/9/2558," 1,000,000 ",ประกอบกิจการผลิตงานโฆษณา ภาพยนตร์ รายการทีวี,222/57 ซอยร่วมมิตรพัฒนาแยก 5  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,147",0107558000415,บมจ.แอ็คเค้าน์ แชนเนล จำกัด (มหาชน),23/9/2558," 1,000,000 ",ประกอบกิจการให้บริการรับจดทะเบียนบริษัท,56/249 ซอยรามอินทรา 34 แยก 21  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,148",0103558018558,หจ.คัลเลอร์ พริ้นท์,9/9/2558," 1,000,000 ",การให้บริการออกแบบสิ่งพิมพ์,12 หมู่บ้านชัยภัทรวิลเลจ ซอยลาดพร้าววังหิน 83 ถนนลาดพร้าววังหิน  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,149",0103558018604,หจ.อิซซี่ สวีทส์,9/9/2558," 1,000,000 ",ประกอบกิจการ ขายไอศกรีม,"69,69/1,69/2 ถนนประดิษฐ์มนูธรรม  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230",,
"1,150",0103558018663,หจ.เอสเอ็นซีซี,10/9/2558," 1,000,000 ",ประกอบกิจการงานโยธาทุกประเภท,3 หมู่ที่ 4 ถนนเสนานิคม 1 ซอย 25 แยก 10  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,151",0103558018779,หจ.ดับบลิวเอส ทรานสปอร์ต,11/9/2558," 1,000,000 ",ให้บริการรับส่งผู้โดยสารและสิ่งของทั่วราชอาณาจักร,35 ซอยโชคชัย 4 ซอย 44 ถนนโชคชัย 4  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,152",0103558018922,หจ.เดอะ บาร์เบอร์ช็อป,15/9/2558," 1,000,000 ",งานบริการตัดผม แต่งผม,111/1 หมู่บ้านไซมิส บลอสซั่ม แอท แฟชั่น ถนนรัชดา-รามอินทรา  แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230,,
"1,153",0105558141653,บจ.ซีนิธ แอล เอส เอนเนอร์จี จำกัด,1/9/2558," 1,000,000 ",ประกอบกิจการผลิตและจำหน่ายสารเคมี ที่ใช้ในห้องปฏิบัติการ และใช้ในโรงงานอุตสาหกรรม,53 ซอยรามอินทรา 58 แยก 3-13  แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230,,
"1,154",0105558142323,บจ.จีไนน์ ไดแอกนอสติคส์ จำกัด,2/9/2558," 1,000,000 ",ผลิต นำเข้า ส่งออก และจัดจำหน่ายอุปกรณ์ทางการแพย์,9/99 ซอยสุคนธสวัสดิ์ 25  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,155",0105558142765,บจ.เอที เคเบิล เน็ทเวอร์ค จำกัด,2/9/2558," 1,000,000 ",ให้บริการโทรคมนาคม,81 ถนนโชคชัย 4  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,156",0105558142773,บจ.เทสล่า อิเล็กทรอนิกส์ อินเตอร์เนชั่นแนล จำกัด,2/9/2558," 1,000,000 ",ประกอบกิจการค้า อุปกรณ์สำหรับให้แสงสว่าง เครื่องใช้ไฟฟ้า และอิเล็กทรอนิกส์,129/20 หมู่บ้านทรัพย์หมื่นแสน ซอยนวมินทร์ 163 ถนนนวมินทร์  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,,
"1,157",0105558142820,บจ.เสฏฐิภัทร999999 จำกัด,2/9/2558," 1,000,000 ",บริการ ออกแบบ ตกแต่งภายในและภายนอก อาคาร อาคารพักอาศัย และงานก่อสร้างอื่น,18 ซอยรามอินทรา 58 แยก 3-9  แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230,,
"1,158",0105558142838,บจ.อีซี่ ช้อปปิ้ง ออนไลน์ จำกัด,2/9/2558," 1,000,000 ",ซื้อ ขายสินค้าและบริการผ่านเว็บไซต์,153 ถนนสตรีวิทยา 2  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,159",0105558143010,บจ.เซกัง (ประเทศไทย) จำกัด,3/9/2558," 1,000,000 ",ประกอบกิจการจำหน่ายผลิตภัณฑ์ประเภทแผงโฟโต้โวทาอิคและอุปกรณ์แปลงแรงดันไฟฟ้าอินเวอร์เตอร์,48/13 ซอยสุคนธสวัสดิ์ 38  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,160",0105558143052,บจ.เอสเอ็มเอสที จำกัด,3/9/2558," 1,000,000 ",ประกอบกิจการค้าผลิตภัณฑ์น้ำยาคาร์แคร์ และผลิตภัณฑ์น้ำยาล้างทำความสะอาด ผลิตภัณฑ์ซัก อบ รีด,246 ซอยรามอินทรา 64  แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230,,
"1,161",0105558143150,บจ.กู๊ด สปิริต จำกัด,3/9/2558," 1,000,000 ",ประกอบกิจการค้าส่งค้าปลีก นำเข้าส่งออก ผลิตภัณฑ์เครื่องดื่มแอลกอฮอล์ ทุกชนิด,201 ซอยโชคชัย 4 ซอย 54 ถนนโชคชัย 4  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,162",0105558143222,บจ.โชมาซอฟท์ จำกัด,3/9/2558," 1,000,000 ",ประกอบกิจการผลิตและจำหน่ายโปรแกรม แอพพลิเคชั่น สำหรับมือถือและอุปกรณ์อิเล็คโทรนิคทุกชนิด,8 ซอยรามอินทรา 81/1  แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230,,
"1,163",0105558143567,บจ.สปอร์ต อินสไปร์ จำกัด,3/9/2558," 1,000,000 ",ประกอบกิจการนำเข้าส่งออก จำหน่าย เสื้อผ้าสำเร็จรูป ถุงเท้า รองเท้า เครื่องอุปโภค,88/31 ซอยรามอินทรา 58 แยก 3  แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230,,
"1,164",0105558144229,บจ.สกายเท็กซ์ ไลฟ์ จำกัด,4/9/2558," 1,000,000 ",นำเข้า ส่งออก จำหน่ายซึ่งสินค้าที่กำหนดไว้ในวัตถุที่ประสงค์ของบริษัท,20/71 ซอยนาคนิวาศ 46 ถนนนาคนิวาศ  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,165",0105558144474,บจ.เอ็มยูยู จำกัด,7/9/2558," 1,000,000 ",ประกอบกิจการขายปลีกอาหาร เครื่องดื่ม เสื้อผ้า เครื่องแต่งกาย ยาสูบ เฟอร์นิเจอร์ เครื่องใช้ในบ้านเครื,8 ซอยเสนานิคม 1 ซอย 25 แยก 8 ถนนเสนานิคม 1  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,166",0105558144601,บจ.สตาร์ อเวนิว โกลบอล จำกัด,7/9/2558," 1,000,000 ",นำเข้าส่งออก ผลิตภัณฑ์เครื่องสำอาง จัดจำหน่ายเครื่องสำอาง,48/13 ซอยสุคนธสวัสดิ์ 38  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
