นิติบุคคลจัดตั้งเดือนตุลาคม  2558,,,,,,,,
ทั่วประเทศ,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
"1,237",0105558174608,บจ.สอบบัญชี วาย เอ็น เจ อินเตอร์เนชั่นแนล จำกัด,30/10/2558," 1,000,000 ",ให้บริการทำบัญชี ตรวจสอบบัญชี วางระบบบัญชี,99/197 ถนนสุขาภิบาล 5  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210,,
"1,238",0125558024487,บจ.เฟอร์นิช อินทีเรีย จำกัด,12/10/2558," 1,000,000 ",ประกอบกิจการให้บริการด้านวิศวกรรม และ สถาปัตยกรรม,7/15 ซอยงามวงศ์วาน 47 แยก 6 (ชินเขต 2/6)  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210,,
"1,239",0103558020692,หจ.โบลา(ไทยแลนด์),13/10/2558," 1,000,000 ",จำหน่าย เครื่องอุปโภคบริโภคทุกชนิด,20/12 ซอยพหลโยธิน 48 แยก 17/1  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,240",0103558021303,หจ.อินเตอร์บิม,22/10/2558," 1,000,000 ",ค้าขาย ปลีก ส่ง ผลิตภัณฑ์อาหารเสริมบำรุงร่างกาย ผลิตภัณฑ์เกี่ยวกับความสวยความงามทุกประเภท,93/81 อาคารแอลพีเอ็น ถนนลาดปลาเค้า  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,241",0105558159056,บจ.มีนนาร่า เฟอร์นิเจอร์ จำกัด,1/10/2558," 1,000,000 ",ประกอบกิจการนำเข้าส่งออก ซื้อมาขายไป ผลิตและจำหน่ายเฟอร์นิเจอร์ รับออกแบบเฟอร์นิเจอร์,80 ซอยคู้บอน 27 แยก 40  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,242",0105558159331,บจ.เอ็นพี อินเตอร์พาร์ท จำกัด,1/10/2558," 1,000,000 ",ประกอบกิจการนำเข้า จำหน่ายเครื่องจักร พร้อมอะไหล่และอุปกรณ์ให้โรงงานอุตสาหกรรมทั่วไป,102/90 ซอยสายไหม 85  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,243",0105558159358,บจ.ก๊อด อาร์เต้ จำกัด,1/10/2558," 1,000,000 ",รับจ้างออกแบบฉากภาพยนตร์ ฉากโฆษณา ตกแต่งภายใน บ้าน อาคาร สำนักงาน,30/39 ซอยสายไหม 58 ถนนสายไหม  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,244",0105558159455,บจ.ทรีท แคร์ ออล จำกัด,2/10/2558," 1,000,000 ",ประกอบกิจการ นำเข้า ส่งออก ซื้อ ขาย ออกแบบและซ่อมแซมบำรุงรักษา เครื่องจักรทุกประเภท,13 ซอยพหลโยธิน 69  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,245",0105558159498,บจ.ฟร้อนเทจ เอ็นเทอร์ไพรซ์ จำกัด,2/10/2558," 1,000,000 ",ประกอบกิจการค้าวัสดุก่อสร้าง เครื่องปรับอากาศ อุปกรณ์ไฟฟ้า,1271 ซอยหมู่บ้านรามอินทรานิเวศน์  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,246",0105558159897,บจ.ซัลมา เอ็นจิเนียริ่ง แอนด์ เซอร์วิส จำกัด,2/10/2558," 1,000,000 ",ประกอบกิจการซ่อมเครื่องจักรที่ใช้งานทั่วไป,56/297 ซอยพหลโยธิน 59 แยก 3 ถนนพหลโยธิน  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,247",0105558160712,บจ.รักษาความปลอดภัย พุทธรักษ์ กรุ๊ป จำกัด,5/10/2558," 1,000,000 ",ประกอบกิจการให้บริการปรับปรุงภูมิทัศน์,34 ถนนร่วมมิตรพัฒนา  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,248",0105558161557,บจ.ฟาสท์ วัน มาร์เกตติ้ง จำกัด,6/10/2558," 1,000,000 ",จำหน่ายป้ายไฟ ป้ายไฟโฆษณา ป้ายอาคาร,188/14 ซอยวัชรพล 1/6 ถนนวัชรพล  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,249",0105558161697,บจ.ภิญญดา 2016 จำกัด,7/10/2558," 1,000,000 ",ประกอบกิจการนำเข้าส่งออก สมุนไพรแปรรูป ผลไม้แบบสด แบบแห้ง ผลไม้แปรรูป พืชสวน บุหรี่ยาเส้น  เครื่องดื,175 ซอยพหลโยธิน48  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,250",0105558162031,บจ.อีคอน อินโน-เทค จำกัด,7/10/2558," 1,000,000 ",ประกอบกิจการค้า เครื่องเคหภัณฑ์ เครื่องเรือน เฟอร์นิเจอร์ เครื่องแก้ว เครื่องครัว รวมทั้งอะไหล่,98/80 ซอยรามอินทรา 23  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,251",0105558162103,บจ.ฮินท์ คอร์ปอเรชั่น จำกัด,7/10/2558," 1,000,000 ",ประกอบกิจการให้บริการผลิตรายการโทรทัศน์ สื่อมัลติมีเดีย,181/93 ซอยหมู่บ้านสินทรัพย์นคร  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,252",0105558162138,บจ.ลีออนเทค อินโนเวชั่นส์ จำกัด,7/10/2558," 1,000,000 ",ประกอบกิจกาารจำหน่าย ติดตั้ง และบริการ ระบบกล้องวงจรปิด CCTV ตู้สาขาโทรศัพท์ PABX คีย์การ์ด,78/90 ซอยวัชรพล 2  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,253",0105558162405,บจ.ซีเทค อินโนเวชั่น จำกัด,8/10/2558," 1,000,000 ",จำหน่ายอุปกรณ์ ไฟฟ้าแรงดันสูง และอุปกรณ์เครื่องมือช่างที่เกี่ยวข้อง,6/546 ซอยคู้บอน 27 แยก 56  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,254",0105558162545,บจ.ดิสคัฟเวอร์ เจแปน จำกัด,8/10/2558," 1,000,000 ",ประกอบกิจการขายวัสดุก่อสร้าง อุปกรณ์ เครื่องมือใช้ในการก่อสร้าง,71 ซอยรามอินทรา 31  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,255",0105558163517,บจ.วัฒนาแอร์ เอส ซูเลชั่น จำกัด,9/10/2558," 1,000,000 ",ประกอบกิจการ จำหน่ายให้บริการติดตั้งควบคุม บำรุงรักษาซ่อมแซมเครื่องปรับอากาศ เช่น แอร์,161 ซอยรามอินทรา 8 แยก 2  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,256",0105558163720,บจ.อินฟินนิที 888 (ประเทศไทย) จำกัด,9/10/2558," 1,000,000 ",ประกอบกิจการผลิต ขายส่ง ขายปลีก เครื่องสำอาง,62 ซอยแจ้งวัฒนะ 4 แยก 9  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,257",0105558164254,บจ.โชริเฮลท์ฟู้ด จำกัด,12/10/2558," 1,000,000 ",จำหน่ายอาหารเสริม ปลีก-ส่ง,119/228 หมู่บ้านสราญสิริ ถนนสายไหม  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,258",0105558164637,บจ.สัปปุริส ไอที คอลซัลติ้ง จำกัด,12/10/2558," 1,000,000 ",ประกอบกิจการให้คำปรึกษาและบริการด้านไอที และโปรแกรมคอมพิวเตอร์,20 ซอยรามอินทรา 21 แยก 26  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,259",0105558165005,บจ.ทีซี เซ็นเตอร์ จำกัด,13/10/2558," 1,000,000 ",ประกอบกิจการนายหน้า ตัวเเทน ตัแทนค้าต่างในกิจกรและธุรกิจที่ระบุไว้ในวัตถุประสงค์,99/236 ซอยรามอินทรา 65 แยก 4  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,260",0105558165226,บจ.เพอร์เฟค ดีไซน์ (ประเทศไทย) จำกัด,13/10/2558," 1,000,000 ",ประกอบกิจการออกแบบและตกแต่งภายใน,26/144 ถนนพหลโยธิน  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,261",0105558165765,บจ.เน็คท์คิวบ์ จำกัด,14/10/2558," 1,000,000 ",กิจการพัฒนาซอฟต์แวร์คอมพิวเตอร์,222/5 ซอยร่วมมิตรพัฒนา แยก 5  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,262",0105558165846,บจ.จีเทค คอร์ปอเรชั่น จำกัด,14/10/2558," 1,000,000 ",ประกอบกิจการจำหน่ายสินค้าปลีกและส่ง วัสดุโษฆณา,333 ซอยพหลโยธิน 48  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,263",0105558166079,บจ.ออล อินกริเดียนส์ กรุ๊ป จำกัด,14/10/2558," 1,000,000 ",การขายส่งสินค้าทางเภสัชภัณฑ์และทางการแพทย์เครื่องหอมและเครื่องสำอาง,18/123 ซอยรามอินทรา 65  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,264",0105558166338,บจ.ยูนิค อินเตอร์เนชั่นแนล(ไทยแลนด์) จำกัด,15/10/2558," 1,000,000 ",ประกอบกิจการให้บริการนำเข้าส่งออก จำหน่ายปลีก ส่งสินค้าทุกประเภทตามที่ระบุไว้ในวัตถุประสงค์,161/53 ซอยรามอินทรา 8 แยก 2  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,265",0105558166681,บจ.เอ็มโอเอ็นจี การโยธา จำกัด,15/10/2558," 1,000,000 ",ประกอบกิจการรับจ้างถมดิน,6 ซอยสุขาภิบาล 5 ซอย 11 ถนนสุขาภิบาล 5  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,266",0105558167172,บจ.ลีนโนเวชั่น จำกัด,16/10/2558," 1,000,000 ",ผลิตและจำหน่ายโปรแกรมซอฟแวร์ บริการรับเป็นที่ปรึกษา อบรมให้ความรู้เกี่ยวกับโปรแกรมซอฟแวร์คอมพิวเตอร์,8/75 ซอยลาดปลาเค้า 77  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,267",0105558167512,บจ.พีอาร์ที โซลูชั่น จำกัด,16/10/2558," 1,000,000 ",รับติดตั้งโครงข่ายโทรคมนาคม,161/31 ซอยคู้บอน 27 แยก 11  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,268",0105558168365,บจ.อินเทลลิเจนท์ แอดวานซ์ เซอร์วิส จำกัด,19/10/2558," 1,000,000 ",ประกอบกิจการรับเหมาติดตั้งเสาส่งสัญญาณโทรคมนาคม,98/39 หมู่บ้านซิตี้โฮม - สายไหม ซอยสายไหม 48/1  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,269",0105558168578,บจ.เอฟ แอนด์ พี เอฟฟีเชี่ยนท์ เอนเนอจี คอนสตรัคชั่น จำกัด,19/10/2558," 1,000,000 ",ประกอบกิจการก่อสร้างที่ต้องใช้ทักษะพิเศษหรืออุปกรณ์ก่อสร้างพิเศษ,62/33 ถนนพหลโยธิน  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,270",0105558168934,บจ.ตัสนีม จำกัด,20/10/2558," 1,000,000 ",ประกอบกิจการเกี่ยวกับการบริการนำเข้าส่งออก เครื่องสำอางค์ เครื่องหนัง กระเป๋า รองเท้า เสื้อผ้า,2/14 ซอยสายไหม25(นภากาศ)  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,271",0105558168985,บจ.มายด์นนท์ คอนซัลแทนท์ จำกัด,20/10/2558," 1,000,000 ",ประกอบกิจการประมูลเพื่อรับจ้าง,37/311 ซอยลาดปลาเค้า 62  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,272",0105558169086,บจ.ยูสบาย จำกัด,20/10/2558," 1,000,000 ",ประกอบกิจการรับ-ส่ง เอกสาร พัสดุภัณฑ์ รับส่งสินค้า ทุกชนิดทุกประเภท,46 ซอยวัชรพล 1/10  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,273",0105558169469,บจ.ชัยแสง2015 จำกัด,21/10/2558," 1,000,000 ",ประกอบกิจการร้านอาหาร ร้านกาแฟและเครื่องดื่ม ร้านของหวาน เค้กขนมปัง,88/293 ซอยรามอินทรา65 แยก8 ถนนรามอินทรา65  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,274",0105558169582,บจ.อีทีซี อีควิปเม้นต์ จำกัด,21/10/2558," 1,000,000 ",ประกอบกิจการค้าโทรศัพท์ ตู้สาขาโทรศัพท์ กล้องวงจรปิด คีย์การ์ด และอุปกรณ์สื่อสาร,49 ซอยสุขาภิบาล 5 ซอย 10/3  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,275",0105558169841,บจ.เอส.เค.เอส. คอนสตรัคชั่น เซอร์วิส(ประเทศไทย) จำกัด,21/10/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างทั่วไป อาคาร บ้านจัดสรรอาคารชุดสำนักงาน โรงงานโกดัง,12/261 ซอยพหลโยธิน 48 แยก 20  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,276",0105558170068,บจ.พรไพรินทร์ เอ็นจิเนียริ่ง จำกัด,21/10/2558," 1,000,000 ",ประกอบกิจการให้บริการติดตั้งอุปกรณ์การสื่อสารทุกชนิด,102/595 ซอยคู้บอน 27 แยก 10 ถนนคู้บอน  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,277",0105558170394,บจ.กัซโท อิเล็กทรอนิกส์ จำกัด,22/10/2558," 1,000,000 ",ประกอบกิจการ ขายอุปกรณ์และชิ้นส่วนทางอิเล็กทรอนิกส์ ทางการสื่อสารโทรคมนาคม,170 ซอยลาดปลาเค้า 76 แยก 1  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,278",0105558170980,บจ.ไฮ เดสทิเนชั่น จำกัด,22/10/2558," 1,000,000 ",ร้ายขายปลีกผลิตภัณฑ์งานฝีมือคนไทย และของที่ระลึก,329 ซอยรามอินทรา 65 ถนนรามอินทรา  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,279",0105558170998,บจ.สุวรรณโนราห์ จำกัด,22/10/2558," 1,000,000 ",ประกอบกิจการค้าอุปกรณ์นิรภัย และอุปกรณ์จราจรทุกชนิด,14/29 ซอยสุขาภิบาล 5 ซอย 5 แยก 2  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,280",0105558171137,บจ.เอช. เอ็ม. ยุง อาร์ท สตูดิโอ จำกัด,26/10/2558," 1,000,000 ",ประกอบกิจการ รับจัดงานแสดงและเทศการศิลปะ และรับจัดงานเลี้ยงทั่วไป,10/36 ตรอกหมู่บ้านฝนทองนิเวศน์  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,281",0105558171463,บจ.พลีโน่ อินเตอร์เนชั่นแนล (ไทยแลนด์) จำกัด,26/10/2558," 1,000,000 ",การขายสินค้าไม่ว่าอย่างใดอย่างเดียวก็ตาม,105/16 หมู่บ้านพลีโน่ พหลโยธิน-สายไหม ถนนสายไหม  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,282",0105558171935,บจ.ไอไอมิวสิคซีน จำกัด,27/10/2558," 1,000,000 ",ประกอบกิจการ โรงเรียนสอนดนตรี (เมื่อได้รับอนุญาตจากหน่วยงานที่เกี่ยวข้องแล้ว),90/195 ถนนวัชรพล  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,283",0105558172494,บจ.ซี.เอฟ. สยาม ซัพพลาย จำกัด,27/10/2558," 1,000,000 ",ประกอบกิจการค้า เคมีภัณฑ์ เครื่องมือแพทย์ เครื่องมือเครื่องใช้ทางวิทยาศาสตร์,119/419 ซอยสายไหม 15  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,284",0105558172982,บจ.คิราน่า พร็อพเพอร์ตี้ แมนเนจเม้นท์ จำกัด,28/10/2558," 1,000,000 ",ให้เช่าอสังหาริมทรัพย์ ซื้อขายอสังหาริมทรัพย์,1/1 ซอยวัชรพล 1/1 แยก 2  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,285",0105558173041,บจ.เพียวเวรา จำกัด,28/10/2558," 1,000,000 ",ประกอบกิจการผลิต จำหน่าย ตัวแทนจำหน่ายผลิตภัณฑ์เสริมอาหาร,8 ซอยรามอินทรา 6/1  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
"1,286",0105558173954,บจ.จีไอเอสที จำกัด,30/10/2558," 1,000,000 ",กิจกรรมการจัดทำโปรแกรมคอมพิวเตอร์,188/15 ซอยวัชรพล 1/6 ถนนวัชรพล  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,287",0105558174004,บจ.ไทยพาวเวอร์มีเดีย จำกัด,30/10/2558," 1,000,000 ",ประกอบกิจการ บริการจำหน่ายอุปกรณ์สื่อการเรียนการสอนทุกประเภท,17/25 ซอยวัชพล2 ถนนวัชพล  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,288",0105558174357,บจ.โคแอค กราวด์ จำกัด,30/10/2558," 1,000,000 ",ประกอบกิจการให้บริการเคลือบพื้นอุตสาหกรรม เคลือบกันซึมพื้นอาคาร พื้นสนามกีฬา งานตีเส้น,140/19 ซอยหมู่บ้าน ก.ม.24  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,,
"1,289",0105558174438,บจ.แคร์กิฟเวอร์ เอเชีย (ประเทศไทย) จำกัด,30/10/2558," 1,000,000 ",ประกอบกิจการ สถาบันหรือสถานที่ศึกษา ฝึกอบรมการดูแลผู้สูงอายุ และผู้ป่วย รวมทั้งฝึกอบรมแม่บ้าน,18/24 เดอะ ซิตี้ รามอินทรา ซอย01 กาญจนาภิเษก5/7 ถนนกาญจนาภิเษก  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,290",0105558174551,บจ.กาญจนบุรี พร็อพเพอร์ตี้ จำกัด,30/10/2558," 1,000,000 ",ประกอบกิจการเป็นตัวแทนนายหน้า จัดหา รับฝากขาย ที่ดิน โรงเรือน และอสังหาริมทรัพย์ทุกประเภท,159/663 ซอยคู้บอน 27 แยก 60  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
"1,291",0103558020064,หจ.เคที เฟอร์นิเจอร์ 2015,1/10/2558," 1,000,000 ",ประกอบกิจการซื้อมาขายไปประเภทวัสดุก่อสร้าง เช่น สี ลามิเนต ไม้ กาว,131 ซอย01 กาญจนาภิเษก 7/1  แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230,,
"1,292",0103558020102,หจ.พรพันธ์ 2015,2/10/2558," 1,000,000 ",จำหน่าย เครื่องแก้ว,15/4 ซอยรามอินทรา 40  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,,
"1,293",0103558020943,หจ.บิลเดอร์ 2060,15/10/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง และให้บริการเกี่ยวกับธุรกิจอสังหาริมทรัพย์ รวมทั้งซื้อขายที่ดิน,19 ซอยรามอินทรา 58 แยก 3 ถนนรามอินทรา  แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230,,
"1,294",0103558021770,หจ.เอสทีเอ็น โค้ทติ้งส์,30/10/2558," 1,000,000 ",ประกอบกิจการติดตั้ง ซ่อมแซม ระบบงานพื้น และกันซึม และทาสีทั่วไป,151/23 ซอยนวลจันทร์ 56 แยก 7  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,,
"1,295",0105558158696,บจ.เค.เอ.เอ. เอ็นจิเนียริ่ง จำกัด,1/10/2558," 1,000,000 ",ประกอบกิจการซื้อขาย นำเข้า อุปกรณ์ อะไหล่โรงงานอุตสาหกรรมทุกประเภท รวมถึงการให้บริการติดตั้ง,5 ซอยลาดพร้าววังหิน 39 ถนนลาดพร้าววังหิน  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,296",0105558159013,บจ.เอช แอนด์ เจ เมดิกา จำกัด,1/10/2558," 1,000,000 ",ประกอบกิจการค้าผลิตภัณฑ์อาหารเสริมลดน้ำหนัก และผลิตภัณฑ์ที่เกี่ยวกับความงามทุกชนิด,48/152 ซอยประดิษฐ์มนูธรรม 19 ถนนประดิษฐ์มนูธรรม  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,297",0105558159161,บจ.เพ็ทซิสเตอร์ จำกัด,1/10/2558," 1,000,000 ",จำหน่ายสินค้าสัตว์เลี้ยง,48/71 ซอยสุคนธสวัสดิ์ 38  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,298",0105558159587,บจ.ชูโชค การก่อสร้าง จำกัด,2/10/2558," 1,000,000 ",รับเหมา ถม ขุด หิน ดิน,91/952 ซอยนวลจันทร์ 56 แยก 1  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,,
"1,299",0105558159595,บจ.แพ็คเกจจิ้ง โซไซตี้ จำกัด,2/10/2558," 1,000,000 ",ประกอบกิจการซื้อมาขายไปเกี่ยวกับผลิตภัณฑ์บรรจุภัณฑ์ทุกชนิด (Trading) และส่งออก(Export),9/11 ซอยรามอินทรา 40 แยก 35  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,,
"1,300",0105558160178,บจ.เมธรรมภา จำกัด,2/10/2558," 1,000,000 ",จำหน่ายอาหารเสริม ยาลดความอ้วน และเวชสำอาง,44 ซอยโชคชัย 4 ซอย 31/1 ถนนโชคชัย 4  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,301",0105558160364,บจ.เจ.บี.เอ็น. เมดิคอล จำกัด,5/10/2558," 1,000,000 ",ประกอบกิจการผลิต จำหน่าย นำเข้า เครื่องมือแพทย์ เครื่องใช้ทางวิทยาศาสตร์ เคมีภัณฑ์,508/29 ถนนสุคนธสวัสดิ์  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,302",0105558160518,บจ.ไอดี แอนด์ เอ จำกัด,5/10/2558," 1,000,000 ",ประกอบกิจการงานสถาปัตยกรรมและการให้คำปรึกษาที่เกี่ยวข้อง และการออกแบบและตกแต่งภายใน,45 ซอยรามอินทรา 67 แยก 10 ถนนรามอินทรา  แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230,,
"1,303",0105558160658,บจ.เอ็นพี ทรีทต์ จำกัด,5/10/2558," 1,000,000 ",ขายส่งสินค้าเฉพาะอย่างอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่นโดยได้ค่าตอบแทนหรือตามสัญญาจ้าง,6 ซอยสังคมสงเคราะห์ 12/1  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,304",0105558160895,บจ.เดอะ เฟรชชี่ เฟส จำกัด,5/10/2558," 1,000,000 ",ประกอบกิจการค้า เสื้อผ้า ผ้าสำเร็จรูป เครื่องสำอาง อุปกรณ์เครื่องมืองเครื่องใช้เสริมความงาม,18/195 ซอยประเสริฐมนูกิจ 25 แยก 2 ถนนประเสริฐมนูกิจ  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,305",0105558161000,บจ.ไฮน์เออ จำกัด,5/10/2558," 1,000,000 ",ประกอบกิจการรับจ้างผลิตและวางแผนสื่อรายการวิทยุ รายการโทรทัศน์ ภาพยนต์และโฆษณา ตลอดจนสื่อโฆษณาอื่นๆ,88/142 หมู่บ้านบางกอกบูเลอวาร์ด รามอินทรา3 ถนนกาญจนาภิเษก  แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230,,
"1,306",0105558161328,บจ.เอาท์ดอร์คอนเนอร์ จำกัด,6/10/2558," 1,000,000 ",ขายอุปกรณ์แค้มป์ปิ้ง เสื้อผ้า รองเท้า เตนท์ ถุงนอน แผ่นรองนอน ถุงกันน้ำ เสื้อชูชีพ กระเป๋าเป้ ฯลฯ,21 ซอยลาดปลาเค้า26  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,307",0105558161590,บจ.เมรูโตะ เทรดดิ้ง จำกัด,6/10/2558," 1,000,000 ",การขายส่งเครื่องสำอาง,18/236 ซอยนวลจันทร์ 28 ถนนนวลจันทร์  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,,
"1,308",0105558161735,บจ.นภัทร์ อินเตอร์(2011) จำกัด,7/10/2558," 1,000,000 ",ประกอบกิจการค้าปุ๋ยเคมี ปุ๋ยอินทรีย์ ปุ๋ยอินทรีย์ผสมเคมี และปุ๋ยอื่นๆทุกชนิด,46/156 ถนนนวลจันทร์  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,,
"1,309",0105558161794,บจ.อีเกิ้ล การ์เดี้ยน แอนด์ เซอร์วิสเซส จำกัด,7/10/2558," 1,000,000 ",ประกอบกิจการให้บริการงานด้านรักษาความปลอดภัยอาคารสถานที่ สำนักงาน ที่ทำการทุกประเภท,456/26 ถนนนวลจันทร์  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,,
"1,310",0105558162413,บจ.ครีเอทีฟ พลาซ่า จำกัด,8/10/2558," 1,000,000 ",รับจัดงานอีเว้นท์ อบรม สัมมนา,888/29-32 ชั้นที่ 2 ถนนนวลจันทร์  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,,
"1,311",0105558162499,บจ.ชิน อินดัสตรี้ จำกัด,8/10/2558," 1,000,000 ",ออกแบบ ผลิตเครื่องจักร และติดตั้งระบบ วิศกรรม ให้คำปรึกษาและจำหน่ายเครื่องจักร,47 ซอยลาดปลาเค้า 38 ถนนลาดปลาเค้า  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
"1,312",0105558162782,บจ.โอริเว่ จิวเวลรี่ จำกัด,8/10/2558," 1,000,000 ",ประกอบกิจการค้าทอง เงิน นาก เพชร พลอย อัญมณี,"69,69/1,69/2 ศูนย์การค้าเซ็นทรัลเฟสติวัล อีสท์ วิลล์ ห้องเลขที่ 229/1 ชั้น 2 ถนนประดิษฐ์มนูธรรม  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230",,
"1,313",0105558162944,บจ.ดรีม แบงคอก จำกัด,8/10/2558," 1,000,000 ",ประกอบกิจกรรมการผลิตรายการโทรทัศน์,15 ซอยสตรีวิทยา 2 ซอย 17 ถนนโชคชัย 4/72  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
