นิติบุคคลจัดตั้งเดือนสิงหาคม  2558,,,,,,,,
ทั่วประเทศ,,,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
525,0105558133481,บจ.ปารามิตา ฟาร์มาซูติคอล จำกัด,19/8/2558," 1,000,000 ",ประกอบกิจการจัดจำหน่ายผลิตภัณฑ์ ยา อาหารเสริม,44 ซอยสุขุมวิท 59 (บุญชนะ)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
526,0105558133561,บจ.ปารามิตา โมเดล แอนด์ ทาเลนท์ จำกัด,19/8/2558," 1,000,000 ",ประกอบกิจการให้บริการจัดหานายแบบ-นางแบบเพื่อการโฆษณาในธุรกิจบันเทิง,44 ซอยสุขุมวิท 59 (บุญชนะ)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
527,0105558133961,บจ.ไฟน์เนส เนเชอร์ ซัพพลีเม้นท์ จำกัด,19/8/2558," 1,000,000 ",จัดจำหน่ายอาหารเสริมเพื่อสุขภาพ ภายใต้แบรนด์ของบริษัท,191/40 อาคารซีทีไอ ทาวเวอร์ ชั้นที่ 22 ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
528,0105558134703,บจ.ซินเนอร์จี คอนเซาท์ติ้ง จำกัด,19/8/2558," 1,000,000 ",ประกอบธุรกิจบริการรับเป็นที่ปรึกษาและให้คำแนะนำด้านบริหารงานพาณิชยกรรม,1/87 ถนนสุขุมวิท 44/1  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,,
529,0105558134908,บจ.คิดดู มีเดีย จำกัด,20/8/2558," 1,000,000 ",ประกอบกิจการเป็นผู้ให้บริการเว็บไซต์,"399 อาคารอินเตอร์เชนจ 21 ชั้นที่ 32,33 ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110",,
530,0105558136129,บจ.วีคิวพี จำกัด,21/8/2558," 1,000,000 ",ให้บริการเป็นที่ปรึกษาด้านการตลาด,219/2 อาคารอโศกทาวเวอร์ส ถนนสุขุมวิท 21(อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
531,0105558136552,บจ.แม๊กซ์ซี่มัส คอร์ปอเรชั่น จำกัด,21/8/2558," 1,000,000 ",ซื้อ ขาย แลก เปลี่ยน เช่า ให้เช่า เช่าซื้อ เป็นเจ้าของ ยึดครอง จำนอง หรือขายฝาก ที่ดิน อาคาร,2/259 ซอยสุขุมวิท 42  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,,
532,0105558136579,บจ.เจเคเอส ซาลอน จำกัด,21/8/2558," 1,000,000 ",ประกอบกิจการซักรีดเสื้อผ้า,818 ถนนสุขุมวิท  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,,
533,0105558136854,บจ.เอ็น ที เค อินเตอร์เทรด จำกัด,24/8/2558," 1,000,000 ",ประกอบกิจการนำเข้าส่งออก ซึ่งสินค้าตามที่กำหนดไว้ในวัตถุประสงค์,12/5 ซอยสุขุมวิท 67 ถนนสุขุมวิท  แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
534,0105558137184,บจ.เซาท์ บีช เรสซิเดนซ์ (ไทยแลนด์) จำกัด,24/8/2558," 1,000,000 ",โรงแรม รีสอร์ทและห้องชุด,142 อาคารทู แปซิฟิค เพลส ชั้น 19 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
535,0105558137320,บจ.วิวัฏฏะคลินิก จำกัด,24/8/2558," 1,000,000 ",ประกอบกิจการสถานพยาบาล,503 ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
536,0105558137389,บจ.กัสโม่ กรุ๊ป จำกัด,24/8/2558," 1,000,000 ",ขายปลีก ขายส่ง อาหารเสริม,1000/7-8 ห้องที่ 6 อาคารลิเบอร์ตี้พลาซ่า ชั้น 19 ซอยสุขุมวิท 55  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
537,0105558138245,บจ.ฟูเท็งโค (ประเทศไทย) จำกัด,26/8/2558," 1,000,000 ",ประกอบกิจการให้บริการด้านวิจัย ค้นคว้าพัฒนาผลผลิตทางการเกษตรและพลังงานทดแทนทุกประเภท,219/2 ซอยอโศก ถนนสุขุมวิท 21  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
538,0105558138423,บจ.ไทรทัน-อิส จำกัด,26/8/2558," 1,000,000 ",ประกอบกิจการรับจ้างผลิตภาพยนตร์ สารคดี วีดีโอ และภาพยนตร์โฆษณา,180 ซอยเจริญมิตร ถนนสุขุมวิท  แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
539,0105558138474,บจ.กูนสตูดิโอ จำกัด,26/8/2558," 1,000,000 ",นำเข้าส่งออก สินค้าเกี่ยวกับอุปกรณ์ทางด้านศิลป์และภาพพิมพ์,13 ซอยนภาศัพท์ แยก 1  แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110,,
540,0105558138547,บจ.วิลล่า เฮริเทจ จำกัด,26/8/2558," 1,000,000 ",ประกอบการค้า นวดแผนไทย สปา คลินิก ความสวย ความงาม,299/9 ถนนสุขุมวิท 21 (อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
541,0105558138792,บจ.ร๊อกเก็ต ไซเอนซ์ จำกัด,26/8/2558," 1,000,000 ",ประกอบกิจการให้คำปรึกษาด้านซอฟต์แวร์ และให้บริการด้านการพัฒนาเทคโนโลยี,1108/31 ถนนสุขุมวิท  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,,
542,0105558138903,บจ.เดอะ ลิตเติ้ล พี จำกัด,26/8/2558," 1,000,000 ",ประกอบกิจการบริการสวนสนุก สนามเด็กเล่น จำหน่ายหนังสือและสื่อสิ่งพิมพ์ บริการสอนร้องเพลง,335 ห้องเลขที่ พี 1 ซอยสุขุมวิท 55 (ทองหล่อ)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
543,0105558139152,บจ.เอสพีซีจี ลีสซิ่ง จำกัด,27/8/2558," 1,000,000 ",ให้เช่า ให้เช่าซื้อ ขายแลกเปลี่ยนจำนำและจำหน่ายสังหาริมทรัพย์โดยประการอื่นรวมทั้งเครื่องจักรกลรถยนต์,333/20 ซอยสุขุมวิท 55 (ทองหล่อ) ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
544,0105558140223,บจ.เออาร์พี เลิร์นนิ่ง จำกัด,28/8/2558," 1,000,000 ",ประกอบกิจการให้บริการฝึกอบรม ให้คำปรึกษาด้านทรัพยากรบุคคลแก่บริษัทและองค์กรต่างๆ,93/123 ซอยสุขุมวิท 39 (พร้อมพงษ์) ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
545,0105558140401,บจ.สปริงไทด์ (ไทยแลนด์) จำกัด,28/8/2558," 1,000,000 ",ประกอบกิจการให้บริการด้านการบริหารหรือด้านเทคนิคแก่วิสาหกิจในเครือ หรือสาขาของตนทั้งในและต่างประเท,137/10 ซอยสุขุมวิท 9 (ซอยรื่นจิต) ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
546,0105558140436,บจ.ริช สปอร์ต โฮลดิ้ง จำกัด,28/8/2558," 1,000,000 ",เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัด เป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชน,116/20 ถนน ณ ระนอง  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
547,0105558140509,บจ.เอ แอนด์ พี ลัคซูรี่ จำกัด,28/8/2558," 1,000,000 ",ประกอบกิจการออกแบบเครื่องประดับ,199/1 ถนนสุขุมวิท 50  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,,
548,0105558140592,บจ.ส.เทรนนิ่ง เซ็นเตอร์ จำกัด,28/8/2558," 1,000,000 ",การเรียนการสอนด้านเทคโนโลยีสารสนเทศ,259/13 ชั้นที่ 2 ซอยปรีดี พนมยงค์ 13 ถนนสุขุมวิท 71  แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
549,0105558140673,บจ.พิควีอัพ เซอร์วิส จำกัด,28/8/2558," 1,000,000 ",ประกอบกิจการขนส่งผู้โดยสารโดยรถยนต์,139 อาคารเดอะ โอภัส ชั้นที่ 7 ห้องเลขที่ 705 ซอยสุขุมวิท 63  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
550,0105558140924,บจ.ไทย ฮาชินารี จำกัด,31/8/2558," 1,000,000 ",ประกอบกิจการ นำเข้า ขายส่ง ขายปลีก เครื่องจักร อะไหล่ และรับติดตั้งอุปกรณ์ ที่ใช้ในโรงงานอุตสาหกรรม,10/1 อาคารไวท์แมนชั่น ห้อง 32 ซอยเมธีนิเวศน์ ถนนสุขุมวิท24  แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110,,
551,0105558141173,บจ.มังคี แอนด์ เฟรนด์ จำกัด,31/8/2558," 1,000,000 ",ประกอบกิจการรับทำสิ่งพิมพ์ แผ่นพับ โบว์ชัวร์,118/79 อาคารยังเพลส ชั้นที่ 3 ห้องเลขที่ เอ 314 ซอยสุขุมวิท 23 ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
552,0107558000334,บมจ.พลังงานจูล จำกัด (มหาชน),14/8/2558," 1,000,000 ",ประกอบกิจการเกี่ยวกับพลังงานไฟฟ้า โรงผลิตไฟฟ้าทุกประเภท และลงทุนในธุุรกิจเกี่ยวข้องกับพลังงานไฟฟ้า,59/13 ซอยสุขุมวิท 26 ถนนสุขุมวิท  แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110,,
553,0103558015958,หจ.วิน แอนด์ เวลธ์ 555,4/8/2558," 1,000,000 ",ซื้อมาขายไปสินค้าอุปโภคบริโภค เกษตรกรรม,42/358 ซอยนิมิตรใหม่ 40  แขวงสามวาตะวันออก เขตคลองสามวา กรุงเทพมหานคร 10120,,
554,0103558017322,หจ.บูรพา การ์เด้นท์,24/8/2558," 1,000,000 ",ประกอบกิจการ ให้บริการรับจัดสวน ตกแต่งสวน,775/119 ถนนนิมิตใหม่  แขวงทรายกองดิน เขตคลองสามวา กรุงเทพมหานคร 10120,,
555,0103558017543,หจ.วิพัฒนทรัพย์,26/8/2558," 1,000,000 ",ประกอบกิจการรับผลิต ผลิตภัณฑ์ต่างๆ ที่ทำจากไฟเบอร์ พลาสติก โพลิเมอร์ ไม้ และโลหะ,29 ซอยเจริญราษฎร์ 2 แยก 1  แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120,,
556,0103558017560,หจ.ไนท์ แอนด์ พัฒนา แนนี่,26/8/2558," 1,000,000 ",ประกอบกิจการให้บริการเกี่ยวกับ ศูนย์ดูแล พยาบาลดูแล ผู้สูงอายุ เด็ก ผู้ป่วย,3599/68 ตรอกนอกเขต  แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120,,
557,0105558126361,บจ.เจริญกรุงรุ่งเรือง จำกัด,5/8/2558," 1,000,000 ",ประกอบกิจการ รับซ่อมแซม บำรุงรักษา จัดซื้อจัดหา อุปกรณ์ เครื่องจักร เครื่องยนต์ เรือเดินทะเล,40 ซอยวัดราชสิงขร  แขวงวัดพระยาไกร เขตบางคอแหลม กรุงเทพมหานคร 10120,,
558,0105558126506,บจ.อิน อินน์ ฮอสปิทัลลิตี้ จำกัด,5/8/2558," 1,000,000 ",ประกอบกิจโรงแรม,83/1 ถนนนนทรี  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
559,0105558126514,บจ.แคร์ แอคเคาน์ติ้ง จำกัด,5/8/2558," 1,000,000 ",ประกอบกิจการรับทำบัญชี และการตรวจสอบบัญชี การให้คำปรึกษาด้านบัญชี,66/173 ซอยสาธุประดิษฐ์ 58 แยก 2 (พาสุข) ถนนสาธุประดิษฐ์  แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120,,
560,0105558127006,บจ.โอเอซิสเตอร์ จำกัด,5/8/2558," 1,000,000 ",ซื้อ จัดหา รับ เช่า เช่าซื้อ ถือกรรมสิทธิ์ ครอบครอง ปรับปรุง และจัดการโดยประการอื่น ซึ่งทรัพย์สิน,126/4 ซอยนางลิ้นจี่ 6 ถนนนางลิ้นจี่  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,,
561,0105558127405,บจ.ไอดีซีโอนิค จำกัด,6/8/2558," 1,000,000 ",กิจกรรมการบริหารจัดการและประมวลผลข้อมูล,269/2 ซอยโชคชัยจงจำเริญ ถนนพระราม 3  แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120,,
562,0105558127421,บจ.เอ็นดีที เมเนจเม้นท์ อินเตอร์เนชั่นแนล จำกัด,6/8/2558," 1,000,000 ",ประกอบกิจการจำหน่าย นำเข้า ส่งออก ซื้อมาขายไป สินค้าอุตสาหกรรมทุกประเภท,504 ถนนนิมิตใหม่  แขวงสามวาตะวันออก เขตคลองสามวา กรุงเทพมหานคร 10120,,
563,0105558127626,บจ.เอสเปเซีย จำกัด,6/8/2558," 1,000,000 ",นำเข้า ส่งออก วัตถุดิบอาหารแปรรูป,2 ซอยเจริญกรุง 58  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,,
564,0105558127898,บจ.เกรซ โฮลดิ้ง(ไทยแลนด์) จำกัด,7/8/2558," 1,000,000 ",ประกอบกิจการค้าขายพืชผลทางการเกษตร,27/4-5 ซอยศรีบำเพ็ญ  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,,
565,0105558128151,บจ.ทีดีเค วินเนอร์ ไลฟ์ จำกัด,7/8/2558," 1,000,000 ",ประกอบกิจการ จำหน่ายเครื่องสำอาง อาหารเสริม และสินค้าอุปโภค บริโภคทุกชนิด ผ่านระบบอินเตอร์เน็ต,629/480 ถนนสาธุประดิษฐ์  แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120,,
566,0105558128533,บจ.เธิร์ด คอนเนอร์ จำกัด,10/8/2558," 1,000,000 ",ประกอบกิจการ การให้บริการคำปรึกษาทางด้านการขาย และ การวิจัยตลาด,"43 อาคารไทย ซีซี ทาวเวอร์ ชั้นที่ 21 ห้องเลขที่ 210,211 ถนนสาทรใต้  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120",,
567,0105558128665,บจ.เอ็มเจ ทรานส์ 2008 จำกัด,10/8/2558," 1,000,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้า และคนโดยสารทั้งทางบกทางน้ำทางอากาศ ทั้งภายในประเทศและระหว่างประเทศ,25/21 ซอยนิมิตใหม่ 28  แขวงทรายกองดิน เขตคลองสามวา กรุงเทพมหานคร 10120,,
568,0105558128746,บจ.บางกอกซีเนียร์แคร์ จำกัด,10/8/2558," 1,000,000 ",กิจกรรมอื่นๆ ด้านสุขภาพของมนุษย์ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,924/20 ถนนเจริญราษฎร์ 7  แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120,,
569,0105558128894,บจ.เทอร์ร่า มีเดีย แอนด์ คอนซัลติ้ง จำกัด,10/8/2558," 1,000,000 ",ประกอบกิจการให้บริการสื่อโฆษณา,91 ซอยจันทน์ 16 แยก 8  แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120,,
570,0105558130091,บจ.อัลตร้าวิชั่น (ไทยแลนด์) จำกัด,11/8/2558," 1,000,000 ",ประกอบกิจการนำเข้า ส่งออก และจัดจำหน่ายเครื่องจักร,507/321 อาคารเฟรท ลิ้งค์ส ชั้นที่ 6 ซอยสาธุประดิษฐ์ 31 ถนนสาธุประดิษฐ์  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
571,0105558130325,บจ.ทองไหลมา อินเตอร์ โลจิสติกส์ จำกัด,11/8/2558," 1,000,000 ",ประกอบกิจการเดินเอกสารและพิธีการทางศุลกากรต่างๆ,9 ซอยเจริญกรุง 109 แยก 16 ถนนเจริญกรุง  แขวงบางคอแหลม เขตบางคอแหลม กรุงเทพมหานคร 10120,,
572,0105558130473,บจ.พาราซโซ่ อินเตอร์เทรด จำกัด,13/8/2558," 1,000,000 ",นำเข้า-ส่งออก บานประตู วงกบ เฟอร์นิเจอร์ ประเภทไม้และพลาสติก,11/6 ถนนรัชดาภิเษก  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
573,0105558130651,บจ.เอ็มซีทีซี เพาเวอร์ จำกัด,13/8/2558," 1,000,000 ",ประกอบกิจการสั่งเข้ามาจำหน่ายในประเทศและส่งออกไปจำหน่ายยังต่างประเทศ,219 ซอยจันทน์ 49  แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120,,
574,0105558130732,บจ.โชคลาภเงินทอง จำกัด,13/8/2558," 1,000,000 ",รับจ้างแสดงละคร ภาพยนตร์ มิวสิควีดีโอเพลง รับเป็นพรีเซ็นเตอร์ พิธีกร,71 ซอยแฉล้มนิมิตร 12 ถนนสุดประเสริฐ  แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120,,
575,0105558130899,บจ.เอ็มเคที โฟรเซ็น ฟู้ด จำกัด,13/8/2558," 1,000,000 ",ประกอบกิจการนำเข้า ส่งออก กุ้งหอย ปู ปลา เพื่อจำหน่ายทั้งปลีกและส่ง,16 ซอยพระรามที่ 3 ซ. 29  แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120,,
576,0105558131054,บจ.ยูไนเต็ด พาร์ทเนอส์ จำกัด,14/8/2558," 1,000,000 ",ประกอบธุรกิจบริการ รับเป็นที่ปรึกษา ให้คำแนะนำ การบริหารงานด้านบุคคลและช่วยจัดหาแรงงาน,149/254 ถนนนนทรี  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
577,0105558131275,บจ.ปารวี ทรานสปอร์ต จำกัด,14/8/2558," 1,000,000 ",ให้บริการรถตู้โดยสารสาธารณประจำทางและไม่ประจำทาง,42/120 ซอยนิมิตใหม่ 20  แขวงทรายกองดิน เขตคลองสามวา กรุงเทพมหานคร 10120,,
578,0105558132719,บจ.เพาเวอร์ทู จำกัด,18/8/2558," 1,000,000 ",ประกอบกิจการก่อสร้าง ติดตั้งเครื่องจักร และอุปกรณ์ไฟฟ้าแก่โรงงานอุตสาหกรรม,1479/22 หมู่บ้านพฤกษาวิลล์ 62/2 ถนนนิมิตใหม่  แขวงทรายกองดิน เขตคลองสามวา กรุงเทพมหานคร 10120,,
579,0105558132956,บจ.รัชนีกร แอนด์ แอสโซซิเอทส์ จำกัด,18/8/2558," 1,000,000 ",ให้บริการด้านกฎหมาย,120/2 ซอยงามดูพลี  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,,
580,0105558133057,บจ.เฟอรารี่ ออโต้เซอร์วิส จำกัด,18/8/2558," 1,000,000 ",การซ่อมบำรุงและการซ่อมตัวถังประตูหน้าต่างและอื่นๆ ที่คล้ายกัน,688/1 ถนนนิมิตใหม่  แขวงทรายกองดิน เขตคลองสามวา กรุงเทพมหานคร 10120,,
581,0105558133120,บจ.มายด์ อัพ จำกัด,18/8/2558," 1,000,000 ",กิจกรรมการเรียนการสอนภาษา,54/6 อาคารซี ถนนนราธิวาสราชนครินทร์  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
582,0105558133286,บจ.ปริภูมิ ดีไซน์ จำกัด,18/8/2558," 1,000,000 ",ประกอบกิจการค้า ให้คำปรึกษา วางแผน บริหาร ดำเนินการและตรวจสอบ โครการก่อสร้างต่างๆ,42 ซอยสาธุประดิษฐ์ 4  แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120,,
583,0105558133774,บจ.พี-เอซ อะลูมิเนียม จำกัด,19/8/2558," 1,000,000 ",ประกอบธุรกิจรับติดตั้งกระจก อลูมิเนียม สติ๊กเกอร์ ฟิล์มกรองแสง และประเภทโลหะทุกชนิด,576/1 ถนนสาธุประดิษฐ์  แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120,,
584,0105558133804,บจ.บี กู๊ด เทสตี้ จำกัด,19/8/2558," 1,000,000 ",ประกอบกิจการค้าผลไม้อบแห้ง,483/49 ตรอกวัดจันทร์ใน  แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120,,
585,0105558133871,บจ.ซันลีฟู้ดส์ จำกัด,19/8/2558," 1,000,000 ",ประกอบกิจการค้า ผัก ผลไม้ ข้าวโพด เครื่องดื่ม เครื่องปรุงรส และเครื่องบริโภคอื่นๆ,2 ซอยนราธิวาสราชนครินทร์ 8 ถนนนราธิวาสราชนครินทร์  แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120,,
586,0105558134011,บจ.บี เอส เจ โปรดักชั่น จำกัด,19/8/2558," 1,000,000 ",ประกอบการนำเข้าและส่งออกผลิตภัณฑ์อาหารเสริม เครื่องสำอาง เครื่องมือแพทย์,1597 ถนนนิมิตใหม่  แขวงทรายกองดิน เขตคลองสามวา กรุงเทพมหานคร 10120,,
587,0105558134061,บจ.ทาร์เก็ต คาร์ เซ็นเตอร์ (ไทยแลนด์) จำกัด,19/8/2558," 1,000,000 ",ประกอบกิจการนำเข้าและจำหน่ายทั้งขายปลีก-ขายส่ง รถยนต์ทุกประเภท,629/631 ถนนสาธุประดิษฐ  แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120,,
588,0105558134096,บจ.เอช.พี.บี. อินเตอร์เทรด จำกัด,19/8/2558," 1,000,000 ",ประกอบกิจการซื้อมา-ขายไป สินค้าทุกประเภท,99/276 ถนนนนทรี  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
589,0105558134673,บจ.เจ้เกียวฟู้ด จำกัด,19/8/2558," 1,000,000 ",ประกอบกิจการค้า ผลิตและจำหน่าย ขาเห็ดปรุงรส น้ำพริก ผลไม้แปรรูป และอาหารสำเร็จรูปอื่นๆ,9-11 ซอยจันทร์ 29  แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120,,
590,0105558135351,บจ.ธิดา อินเตอร์เทรด จำกัด,20/8/2558," 1,000,000 ",การขายส่งเครื่องสำอาง,591 ซอยจันทร์ 16 ถนนทนุรัตน์  แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120,,
591,0105558135670,บจ.มิสเตอร์.ลอว์ จำกัด,20/8/2558," 1,000,000 ",ประกอบกิจการให้คำปรึกษากฎหมาย บริการงานด้านกฎหมายทุกประเภท,1916/2 ถนนทนุรัตน์  แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120,,
592,0105558136242,บจ.เคพีเอ็น คอนเน็ค จำกัด,21/8/2558," 1,000,000 ",รับบริการติดตั้ง ออกแบบ วางระบบ ซ่อมแซมและจำหน่ายอุปกรณ์คอมพิวเตอร์,49/533 ซอยนิมิตใหม่ 34  แขวงสามวาตะวันออก เขตคลองสามวา กรุงเทพมหานคร 10120,,
593,0105558136412,บจ.เค เอส เค ทีม จำกัด,21/8/2558," 1,000,000 ",รับจัดประชุมและสัมมนานอกสถานที่,556/146 ซอยสะพานยาวบ้านใหม่  แขวงวัดพระยาไกร เขตบางคอแหลม กรุงเทพมหานคร 10120,,
594,0105558136714,บจ.ชมพลวร จำกัด,24/8/2558," 1,000,000 ",ประกอบกิจการนำเข้าส่งออก ชา และสินค้าที่เกี่ยวเนื่องกับชา ยาและอาหารสัตว์ อุปกรณ์แค้มปิ้งเต้นท์,59/455 ซอยนิมิตใหม่ 28  แขวงสามวาตะวันออก เขตคลองสามวา กรุงเทพมหานคร 10120,,
595,0105558136722,บจ.กตัญญูประกาศิต จำกัด,24/8/2558," 1,000,000 ",ประกอบกิจการด้านการแสดงโดยมี นักแสดง นักดนตรี นักร้อง,88/57 อาคารพาร์โก้ ถนนนางลิ้นจี่  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,,
596,0105558136790,บจ.ธิงค์อัพ จำกัด,24/8/2558," 1,000,000 ",ประกอบกิจการให้บริการเกี่ยวกับการออกแบบ การผลิต การจัดหา การจัดทำสื่อโฆษณาและงานประชาสัมพันธ์,2529/13 หมู่บ้านเอสต้าโฮม ไพรเวทพาร์ค ตรอกนอกเขต ถนนพระราม 3  แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120,,
597,0105558137630,บจ.ออเรนจ์ เทคโนโลยี จำกัด,25/8/2558," 1,000,000 ",ประกอบกิจการผลิต นำเข้า ส่งออก จำหน่าย ติดตั้งอุปกรณ์และเครื่องใช้ต่างๆเกี่ยวกับเทคโนโลยีอาร์เอฟไอดี,43 อาคารไทยซีซี ทาวเวอร์ ชั้นที่ 15 ถนนสาทรใต้  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,,
598,0105558138041,บจ.ซินเนอร์จิสติ๊ก แอดไวเซอรี่ จำกัด,25/8/2558," 1,000,000 ",ประกอบกิจการให้บริการคำปรึกษาด้านการทำธุรกิจ  การเงิน การลงทุน ภาษีการจดทะเบียนนิติบุคคล,395/5 ชั้นที่ 4 ถนนสาธุประดิษฐ์  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
599,0105558138105,บจ.ลักซ์ เจอร์นี จำกัด,26/8/2558," 1,000,000 ",ประกอบกิจการค้า ตัวแทนจำหน่ายตั๋วเครื่องบิน,99/16 หมู่บ้านอรุณพัฒน์ 3 ถนนสาธุฯ-พระราม 3  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
600,0105558138229,บจ.เซนทริโอ พร็อพเพอร์ตี้ คอนซัลแตนท์ จำกัด,26/8/2558," 1,000,000 ",ประกอบกิจการเป็นนายหน้าอสังหาริมทรัพย์และรับบริการประเมินทรัพย์สิน บริการหาข้อมูล(research)ในทรัพย์ส,1 อาคารคิวเฮ้าส์ ลุมพินี ชั้นที่ 27 ห้องเลขที่ 2773 ถนนสาทรใต้  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,,
601,0105558138768,บจ.อาหารสยาม (2513) จำกัด,26/8/2558," 1,000,000 ",ประกอบกิจการค้าขายและธุรกิจลงทุน ได้แก่ จัดหาวัตถุดิบทั้งในและต่างประเทศและขยายการลงทุนในประชาคมเศร,1 อาคารเอ็มไพร์ ทาวเวอร์ ชั้นที่ 43 ถนนสาทรใต้  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,,
602,0105558139586,บจ.เสนาะโสต จำกัด,27/8/2558," 1,000,000 ",ประกอบกิจการพัฒนาซอฟแวร์,27/111 อาคารสาทรพาร์คเพลส ถนนสาทรใต้  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,,
